Vehicle;Origin;Manufacturer;Payload mass to … (kg);Launches[a];Date of flight;
LEO;GTO;Other;First[b];Latest;
New Line 1 (partially reusable)[108]; China;LinkSpace;;;7002200000000000000?200 to SSO[108];5000000000000000000?0;2020[108];;
OmegA; United States;NG Innovation;;7004101000000000000?10,100[109];7003780000000000000?7,800 to GEO[109];5000000000000000000?0;2021[109];;
OS-M1; China;OneSpace;7002205000000000000?205[110];;7002143000000000000?143 to SSO;5000000000000000000?0;2018[110][t];;
Pegasus; United States;NG Innovation;7002500000000000000?500[112];;;7001430000000000000?43[112][113];1990;2016;
Prime; United Kingdom;Orbex;7002220000000000000?220[114];;7002150000000000000?150 to SSO[d][115];5000000000000000000?0;2021[115];;
Proton-M / M+; Russia  Soviet Union;Khrunichev;7004230000000000000?23,000 (M+)[116] 7004216000000000000?21,600 (M)[117];7003692000000000000?6,920 (M+) 7003615000000000000?6,150 (M);;7002103000000000000?103[118][119][120];2001;2018;
PSLV-CA; India;ISRO;7003210000000000000?2,100[121];;7003110000000000000?1,100 to SSO;7001130000000000000?13[121];2007;2018;
PSLV-XL; India;ISRO;7003380000000000000?3,800[121];7003130000000000000?1,300;7003175000000000000?1,750 to SSO 7003135000000000000?1,350 to TMI[122];7001200000000000000?20[121];2008;2018;
Rokot; Russia;Khrunichev;7003195000000000000?1,950[123];;7003120000000000000?1,200 to SSO;7001320000000000000?32[123];1990;2018[i][124];
Safir; Iran;Iranian Space Agency;7001650000000000000?65[125];;;7000600000000000000?6[125][u];2008;2015;
Shavit; Israel;IAI;7002300000000000000?300[126];;;7001100000000000000?10[127];1988;2016;
Simorgh; Iran;Iranian Space Agency;7002350000000000000?350[128];;;7000100000000000000?1[128];2017[v];2017;
Space Launch System Block 1 with ICPS; United States;NASA / Boeing (core) NG Innovation (SRBs);7004950000000000000?95,000[129];;7004260000000000000?26,000 to TLI[129];5000000000000000000?0;2020[130];;
SLS Block 1B with EUS; United States;NASA / Boeing NG Innovation;7005105000000000000?105,000[131];;7004370000000000000?37,000 to TLI[129];5000000000000000000?0;2024[132];;
SLS Block 2 with EUS and advanced boosters; United States;NASA / Boeing NG Innovation;7005130000000000000?130,000[133];;7004450000000000000?45,000 to HCO[129];5000000000000000000?0;2029[134];;
Soyuz-FG; Russia;TsSKB-Progress;7003690000000000000?6,900[135];;;7001670000000000000?67[136][137];2001;2018[i];
Soyuz-2.1a; Russia;TsSKB-Progress;7003702000000000000?7,020 from Baikonur[138];;;7001290000000000000?29[139][137][140];2006[w];2018;
Soyuz-2.1b; Russia;TsSKB-Progress;7003820000000000000?8,200 from Baikonur[138];7003240000000000000?2,400[141];;7001280000000000000?28[142][137];2006;2018;
Soyuz ST-A; Russia  Europe;TsSKB-Progress Arianespace;7003780000000000000?7,800 from Kourou[143];7003281000000000000?2,810 with Fregat[144];;7000500000000000000?5[137];2011;2017;
Soyuz ST-B; Russia  Europe;TsSKB-Progress Arianespace;7003900000000000000?9,000 from Kourou[145];7003325000000000000?3,250 with Fregat[144];7003440000000000000?4,400 to SSO[146];7001140000000000000?14[137];2011;2018;
Soyuz-2-1v; Russia;TsSKB-Progress;7003280000000000000?2,800[147];;7003140000000000000?1,400 to SSO;7000400000000000000?4[147];2013;2018;
Soyuz-5; Russia;TsSKB-Progress RSC Energia;7004180000000000000?18,000[148];;7003250000000000000?2,500 to GEO;5000000000000000000?0;2022[149][150];;
Soyuz-5 super-heavy derivative; Russia;TsSKB-Progress RSC Energia;7004880000000000000?88,000–115,000[150];;7004200000000000000?20,000 to TLI[151];5000000000000000000?0;2028[151];;
SS-520; Japan;IHI Aerospace;7000400000000000000?4[152];;;7000200000000000000?2[153];2017[154][x];2018;
SSLV; India;ISRO;7002500000000000000?500[155];;7002300000000000000?300 to SSO;5000000000000000000?0;2019[156];;
Unha; North Korea;KCST;7002100000000000000?100[157];;;7000400000000000000?4[158];2009[y];2016;
Vector-R; United States;Vector Space Systems;7001640000000000000?64[159];;;5000000000000000000?0;2019[75][z];;
Vector-H; United States;Vector Space Systems;7002160000000000000?160[160];;;5000000000000000000?0;2019[160];;
Vega; Europe;ESA / ASI;7003150000000000000?1,500[h][161];;7003133000000000000?1,330 to SSO[162];7001130000000000000?13[163];2012;2018;
Vega C; Europe;ESA / ASI;7003220000000000000?2,200[h][164];;;5000000000000000000?0;2019[164];;
Vega E; Europe;ESA / ASI;7003300000000000000?3,000[h][165];;;5000000000000000000?0;2024[166];;
Vulcan / Centaur; United States;ULA;7004250000000000000?25,000[167];7004150000000000000?15,000[167];7003730000000000000?7,300 to GEO[167][168];5000000000000000000?0;2021[169];;
Vulcan / ACES; United States;ULA;7004374000000000000?37,400[34][170][aa];7004185000000000000?18,500[aa];7004130000000000000?13,000 to TLI[aa];5000000000000000000?0;2023[171];;
Zenit-3F; Ukraine;Yuzhnoye;;;7003174000000000000?1,740 to GEO[172];7000400000000000000?4[173];2011;2017;
Zenit-3SL; Ukraine;Yuzhmash RSC Energia;7003700000000000000?7,000[173];7003616000000000000?6,160;;7001360000000000000?36[173];1999;2014;
Zenit-3SLB / 3M; Ukraine;Yuzhmash RSC Energia;;7003375000000000000?3,750[173];;7000600000000000000?6[173];2008;2013;
Zero; Japan;Interstellar Technologies;;;7002100000000000000?100 to SSO[d][174];5000000000000000000?0;2020[174];;
Zhuque-1; China;LandSpace;7002300000000000000?300[175];;7002200000000000000?200 to SSO;7000100000000000000?1[176];2018[176];2018;
Zhuque-2; China;LandSpace;7003400000000000000?4,000[177];;7003200000000000000?2,000 to SSO;5000000000000000000?0;2020[178];;
