Vehicle;Origin;Manufacturer;Mass to … (kg);Launches (+ suborbital);Date of flight;
LEO;GTO;Other;First;Last;
Antares 110–130; United States;Orbital;7003510000000000000?5,100[6];;7003150000000000000?1,500 to SSO;7000500000000000000?5[6];2013;2014;
Atlas-Centaur; United States;Lockheed;7003113400000000000?1,134[189];7003222200000000000?2,222[190];;7002148000000000000?148;1962;1983;
Atlas G; United States;Lockheed;7003590000000000000?5,900[191];7003222200000000000?2,222;1,179 to HCO[191];7000700000000000000?7[191];1984;1989;
Atlas H/MSD; United States;Lockheed;7003363000000000000?3,630[192];;;7000500000000000000?5;1983;1987;
Atlas I; United States;Lockheed Martin;7003590000000000000?5,900[191];7003234000000000000?2,340[191];;7001110000000000000?11[191];1990;1997;
Atlas II; United States;Lockheed Martin;7003678000000000000?6,780[191];7003281000000000000?2,810;2,000 to HCO[191];7001100000000000000?10[191];1991;1998;
Atlas IIA; United States;Lockheed Martin;7003731600000000000?7,316[191];7003318000000000000?3,180;2,160 to HCO[191];7001230000000000000?23[191];1992;2002;
Atlas IIAS; United States;Lockheed Martin;7003861800000000000?8,618[191];7003383300000000000?3,833;2,680 to HCO[191];7001300000000000000?30[191];1993;2004;
Atlas IIIA; United States;Lockheed Martin;7003868600000000000?8,686[191];7003406000000000000?4,060;2,970 to HCO[191];7000200000000000000?2[191];2000;2004;
Atlas IIIB/DEC; United States;Lockheed Martin;7004107590000000000?10,759[191];7003460900000000000?4,609[191];;7000100000000000000?1[191];2002;2002;
Atlas IIIB/SEC; United States;Lockheed Martin;7004102180000000000?10,218[193];7003419300000000000?4,193[191];;7000300000000000000?3[191];2003;2005;
Black Arrow; United Kingdom;RAE;7001730000000000000?73[194];;;7000200000000000000?2 (+2);1969[note 5];1971;
Commercial Titan III; United States;Martin Marietta;7004131000000000000?13,100[195];;;7000400000000000000?4;1990;1992;
Delta 0300; United States;McDonnell Douglas;;7002340000000000000?340[196];7002747000000000000?747 to SSO[197];7000300000000000000?3[198];1972;1973[199];
Delta 0900; United States;McDonnell Douglas;7003130000000000000?1,300[200];;7002818000000000000?818 to SSO[198];7000200000000000000?2[198];1972;1972;
Delta 1410; United States;McDonnell Douglas;7002340000000000000?340[201];;;7000100000000000000?1[198];1975;1975;
Delta 1604; United States;McDonnell Douglas;7002390000000000000?390[202];;;7000200000000000000?2[198];1972;1973;
Delta 1900; United States;McDonnell Douglas;7003180000000000000?1,800[198];;;7000100000000000000?1[198];1973;1973;
Delta 1910; United States;McDonnell Douglas;7003106600000000000?1,066[203];;;7000100000000000000?1[198];1975;1975;
Delta 1913; United States;McDonnell Douglas;7002328000000000000?328[204];;;7000100000000000000?1[198];1973;1973;
Delta 1914; United States;McDonnell Douglas;;7002680000000000000?680[205];;7000200000000000000?2[198];1972;1973;
Delta 2310; United States;McDonnell Douglas;7002336000000000000?336[206];;;7000300000000000000?3[198];1974;1981;
Delta 2313; United States;McDonnell Douglas;;;7002243000000000000?243 to GEO[207];7000300000000000000?3[198];1974;1977;
Delta 2910; United States;McDonnell Douglas;7003188700000000000?1,887[198];;;7000600000000000000?6[198];1975;1978;
Delta 2913; United States;McDonnell Douglas;7003200000000000000?2,000[208];7002700000000000000?700[208];;7000600000000000000?6[198];1975;1976;
Delta 2914; United States;McDonnell Douglas;;7002724000000000000?724[198];;7001300000000000000?30[198];1974;1979;
Delta 3910; United States;McDonnell Douglas;7003249400000000000?2,494[198];7003115400000000000?1,154 with PAM-D;;7001100000000000000?10[198];1980;1988;
Delta 3913; United States;McDonnell Douglas;7002816000000000000?816[209];;;7000100000000000000?1[198];1981;1981;
Delta 3914; United States;McDonnell Douglas;;7002954000000000000?954[198];;7001130000000000000?13[198];1975;1987;
Delta 3920; United States;McDonnell Douglas;7003345200000000000?3,452[198];7003128400000000000?1,284 with PAM-D;;7001100000000000000?10[198];1982;1989;
Delta 3924; United States;McDonnell Douglas;;7003110400000000000?1,104[198];;7000400000000000000?4[198];1982;1984;
Delta 4925; United States;McDonnell Douglas;7003340000000000000?3,400[210];7003131200000000000?1,312[198];;7000200000000000000?2[198];1989;1990;
Delta 5920; United States;McDonnell Douglas;7003384800000000000?3,848[211];;;7000100000000000000?1[198];1989;1989;
Delta II 6920; United States;McDonnell Douglas;7003398300000000000?3,983[198];;;7000300000000000000?3[198];1990;1992;
Delta II 6925; United States;McDonnell Douglas;;7003144700000000000?1,447[198];;7001140000000000000?14[198];1989;1992;
Delta II 7320; United States;Boeing IDS / ULA;7003286500000000000?2,865[198];;7003165100000000000?1,651 to SSO;7001120000000000000?12[198];1999;2015;
Delta II 7326; United States;Boeing IDS;;7002934000000000000?934[198];636 to TLI 629 to HCO;7000300000000000000?3[198];1998;2001;
Delta II 7420; United States;ULA;7003318500000000000?3,185[198];;7003196600000000000?1,966 to SSO;7001140000000000000?14[198];1998;2018;
Delta II 7425; United States;Boeing IDS;;7003110000000000000?1,100[198];804 to HCO;7000400000000000000?4[198];1998;2002;
Delta II 7426; United States;Boeing IDS;;7003105800000000000?1,058[198];734 to TLI 711 to HCO;7000100000000000000?1[198];1999;1999;
Delta II 7920; United States;Boeing IDS / ULA;7003503000000000000?5,030[198];;7003312300000000000?3,123 to SSO;7001290000000000000?29[198];1998;2017;
Delta II 7925; United States;Boeing IDS / ULA;;7003181900000000000?1,819[198];1,177 to TLI 1,265 to HCO;7001690000000000000?69[198];1990;2009;
Delta II-H 7920H; United States;Boeing IDS / ULA;7003609700000000000?6,097[198];;;7000300000000000000?3[198];2003;2011;
Delta II-H 7925H; United States;Boeing IDS / ULA;;7003217100000000000?2,171;1,508 to HCO[198];7000300000000000000?3[198];2003;2007;
Delta III 8930; United States;Boeing IDS;7003829200000000000?8,292[198];7003381000000000000?3,810;;7000300000000000000?3[198];1998;2000;
Delta IV M; United States;Boeing IDS;7003944000000000000?9,440[34];7003444000000000000?4,440;7003769000000000000?7,690 to polar;7000300000000000000?3[35];2003;2006;
Delta IV M+(5,2); United States;ULA;7004114700000000000?11,470[34];7003549000000000000?5,490;7003960000000000000?9,600 to polar;7000300000000000000?3[35];2012;2018;
Diamant; France;SEREB;7002107000000000000?107[212][213];;;7001120000000000000?12;1965;1975;
Dnepr; Ukraine;Yuzhmash;7003370000000000000?3,700[214];;;7001220000000000000?22[214];1999;2015[215];
Energia[note 6]; Soviet Union;NPO Energia;7005100000000000000?100,000[216];;7004200000000000000?20,000 to GEO[216] 32,000 to TLI[216];7000100000000000000?1 (failed to orbit)[217];1987;1987;
Energia-Buran; Soviet Union;NPO Energia (Launcher) NPO Molniya (Orbiter);7004300000000000000?30,000[216] [note 7];;;7000100000000000000?1;1988;1988;
Falcon 1; United States;SpaceX;7002470000000000000?470[218];;;7000500000000000000?5[218];2006;2009;
Falcon 9 v1.0; United States;SpaceX;7004104500000000000?10,450[219];7003454000000000000?4,540[219];;7000500000000000000?5[220];2010;2013;
Falcon 9 v1.1; United States;SpaceX;7004131500000000000?13,150[note 8][221];7003485000000000000?4,850[221];;7001150000000000000?15[220];2013;2016;
Feng Bao 1; China;Shanghai Bureau ?2;7003250000000000000?2,500[222];;;7000800000000000000?8 (+3)[223];1972;1981;
GSLV Mk.I(a); India;ISRO;7003500000000000000?5,000[54];7003154000000000000?1,540[224];;7000100000000000000?1[224];2001;2001;
GSLV Mk.I(b); India;ISRO;7003500000000000000?5,000[54];7003215000000000000?2,150[224];;7000400000000000000?4[224];2003;2007;
GSLV Mk.I(c); India;ISRO;7003500000000000000?5,000[54];;;7000100000000000000?1[224];2010;2010;
H-I; Japan  United States;Mitsubishi;7003140000000000000?1,400[225];;;7000900000000000000?9;1986;1992;
H-II / IIS; Japan;Mitsubishi;7004100600000000000?10,060[226];7003400000000000000?4,000[227];;7000700000000000000?7[227];1994;1999;
H-IIA 2022; Japan;Mitsubishi;;7003450000000000000?4,500[61];;7000300000000000000?3[61];2005;2007;
H-IIA 2024; Japan;Mitsubishi;7004110000000000000?11,000[228];7003500000000000000?5,000[61];;7000700000000000000?7[61];2002;2008;
J-I; Japan;Nissan Motors[229];7003100000000000000?1,000[230];;;5000000000000000000?0 (+1);1996;1996;
Kaituozhe-1; China;CALT;7002100000000000000?100[231];;;7000200000000000000?2;2002;2003;
Kosmos-3M; Soviet Union  Russia;NPO Polyot;7003150000000000000?1,500[232];;;7002442000000000000?442[233];1967;2010;
Lambda 4S; Japan;Nissan Motors[229];7001260000000000000?26[234];;;7000500000000000000?5;1966;1970;
Long March 1; China;CALT;7002300000000000000?300[235];;;7000200000000000000?2[236];1970;1971;
Long March 1D; China;CALT;7002740000000000000?740[237];;;5000000000000000000?0 (+3)[236];1995[note 9];2002;
Long March 2A; China;CALT;7003200000000000000?2,000[238];;;7000400000000000000?4[77];1974;1978;
Long March 2E; China;CALT;7003920000000000000?9,200[77];;;7000700000000000000?7[77];1990;1995;
Long March 3; China;CALT;7003500000000000000?5,000[79];;;7001140000000000000?14[79];1984;2000;
Long March 3B; China;CALT;7004112000000000000?11,200[78];7003510000000000000?5,100;7003570000000000000?5,700 to SSO;7001120000000000000?12[79];1996;2012;
Long March 4A; China;CALT;7003400000000000000?4,000;;;7000200000000000000?2[80];1988;1990;
M-V; Japan;Nissan Motors[229] (1997–2000) IHI Aerospace[38] (2000-2006);7003185000000000000?1,850[234];;;7000700000000000000?7;1997;2006;
Molniya; Soviet Union;RSC Energia;7003180000000000000?1,800[239];;;7001400000000000000?40[240];1960;1967;
Molniya-M; Soviet Union  Russia;RSC Energia;7003240000000000000?2,400[241];;;7002280000000000000?280[242];1965;2010;
Mu-3C; Japan;Nissan Motors[229];7002195000000000000?195[234];;;7000400000000000000?4;1974;1979;
Mu-3H; Japan;Nissan Motors[229];7002300000000000000?300[234];;;7000300000000000000?3;1977;1978;
Mu-3S; Japan;Nissan Motors[229];7002300000000000000?300[234];;;7000400000000000000?4;1980;1984;
Mu-3SII; Japan;Nissan Motors[229];7002770000000000000?770[234];;;7000800000000000000?8;1985;1995;
Mu-4S; Japan;Nissan Motors[229];7002180000000000000?180[234];;;7000400000000000000?4;1971;1972;
N1; Soviet Union;NPO Energia;7004950000000000000?95,000[note 10] [243][244][245];;;7000400000000000000?4[246] (never reached orbit);1969;1972;
N-I; Japan  United States;Mitsubishi;7003120000000000000?1,200[247];;;7000700000000000000?7;1975;1982;
N-II; Japan  United States;Mitsubishi;7003200000000000000?2,000[248];;;7000800000000000000?8;1981;1987;
Naro-1; South Korea  Russia;KARI/Khrunichev;7002100000000000000?100[249];;;7000300000000000000?3;2009;2013;
Paektusan; North Korea;KCST;7002700000000000000?700[250];;;5000000000000000000?0 (+1);1998;1998;
Polyot; Soviet Union;RSC Energia;7003140000000000000?1,400;;;7000200000000000000?2;1963;1964;
Proton-K; Soviet Union  Russia;Khrunichev;7004197600000000000?19,760[251];7003493000000000000?4,930[252];;7002311000000000000?311[253];1965;2012;
PSLV-G; India;ISRO;7003320000000000000?3,200[121];7003105000000000000?1,050;7003160000000000000?1,600 to SSO;7001120000000000000?12[121];1993;2016[254];
Saturn I; United States;Chrysler (S-I) Douglas (S-IV);7003900000000000000?9,000[255];;;7001100000000000000?10[256];1961;1965[256];
Saturn IB; United States;Chrysler (S-IB) Douglas (S-IVB);7004186000000000000?18,600[257];;;7000900000000000000?9[258];1966;1975;
Saturn V; United States;Boeing (S-IC) North American (S-II) Douglas (S-IVB);7005140000000000000?140,000[259][260];;7004470000000000000?47,000 to TLI[261];7001130000000000000?13[262][263] [note 11];1967;1973;
Scout; United States;US Air Force/NASA;7002174000000000000?174[264];;;7002125000000000000?125;1961;1994;
Shtil'; Russia;Makeyev;280–420[265];;;7000200000000000000?2[266];1998;2006;
SLV; India;ISRO;7001400000000000000?40[267];;;7000400000000000000?4[267];1979;1983[267];
Soyuz; Soviet Union;RSC Energia;7003645000000000000?6,450;;;7001310000000000000?31[268];1966;1976;
Soyuz-L; Soviet Union;RSC Energia;7003550000000000000?5,500;;;7000300000000000000?3[269];1970;1971;
Soyuz-M; Soviet Union;RSC Energia;7003660000000000000?6,600;;;7000800000000000000?8[270];1971;1976;
Soyuz-U; Soviet Union  Russia;TsSKB-Progress;7003665000000000000?6,650 from Baikonour[271] 7003615000000000000?6,150 from Plesetsk[271];;;7002786000000000000?786[272][140][137];1973;2017;
Soyuz-U2; Soviet Union  Russia;TsSKB-Progress;7003705000000000000?7,050;;;7001720000000000000?72[273];1982;1995;
Space Shuttle; United States;ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter);7004244000000000000?24,400[note 7];7003494400000000000?4,944 with IUS[274] 7003120000000000000?1,200 with PAM-D[275];7003355000000000000?3,550 to escape with IUS[274];7002135000000000000?135[276];1981;2011;
Sputnik 8K71PS; Soviet Union;RSC Energia;7002500000000000000?500[277];;;7000200000000000000?2;1957;1957;
Sputnik 8A91; Soviet Union;RSC Energia;7003132700000000000?1,327;;;7000200000000000000?2;1958;1958;
Start-1; Russia;MITT;7002532000000000000?532;;7002350000000000000?350 to SSO[278];7000500000000000000?5[279];1993;2006;
Strela; Russia;Khrunichev;7003140000000000000?1,400[280];;;7000300000000000000?3[281];2003;2014;
Titan II GLV; United States;Martin Marietta;7003360000000000000?3,600[282];;;7001110000000000000?11 (+1);1964;1966;
Titan II(23)G; United States;Martin Marietta;7003360000000000000?3,600[283];;;7001130000000000000?13;1988;2003;
Titan IIIA; United States;Martin Marietta;7003310000000000000?3,100[284];;;7000400000000000000?4;1964;1965;
Titan IIIB; United States;Martin Marietta;7003300000000000000?3,000[285];;;7001700000000000000?70;1966;1987;
Titan IIIC; United States;Martin Marietta;7004131000000000000?13,100[286];;;7001360000000000000?36;1965;1982;
Titan IIID; United States;Martin Marietta;7004123000000000000?12,300[287];;;7001220000000000000?22;1971;1982;
Titan IIIE; United States;Martin Marietta;7004154000000000000?15,400[288];;;7000700000000000000?7;1974;1977;
Titan 34D; United States;Martin Marietta;7003451500000000000?4,515[289];;;7001150000000000000?15;1982;1989;
Titan IVA; United States;Martin Marietta;7004171100000000000?17,110[290];7003494400000000000?4,944 with IUS;7004140900000000000?14,090 to SSO[290] 7003453600000000000?4,536 to GSO with Centaur 7003355000000000000?3,550 to escape with IUS;7001220000000000000?22[291];1989;1998;
Titan IVB; United States;Lockheed Martin;7004216820000000000?21,682[292];7003576100000000000?5,761[292] (9,000 with upper stage);;7001170000000000000?17[291];1997;2005;
Tsyklon-2A; Soviet Union;Yuzhmash;7003335000000000000?3,350[293];;;7000800000000000000?8[294];1967;1969;
Tsyklon-2; Soviet Union  Ukraine;Yuzhmash;7003282000000000000?2,820[295];;;7002106000000000000?106[296];1969;2006[296];
Tsyklon-3; Soviet Union  Ukraine;Yuzhmash;7003192000000000000?1,920[297];;;7002122000000000000?122[298];1977;2009[298];
Vanguard; United States;Martin;7000900000000000000?9[299];;;7001110000000000000?11 (+1);1957;1959;
VLS-1; Brazil;AEB, IAE;7002380000000000000?380[300];;;7000200000000000000?2[note 12] (never reached orbit);1997;2003;
Volna; Russia;Makeyev;7002100000000000000?100[301];;;7000100000000000000?1 (+5)[266];1995[note 13];2005[266];
Voskhod; Soviet Union;RSC Energia;7003600000000000000?6,000[302];;;7002306000000000000?306;1963;1976;
Vostok-L; Soviet Union;RSC Energia;;;7002390000000000000?390 to TLI[303];7000400000000000000?4;1960;1960;
Vostok-K; Soviet Union;RSC Energia;7003246000000000000?2,460[304];;;7001160000000000000?16;1960;1964;
Vostok-2; Soviet Union;RSC Energia;7003473000000000000?4,730[304];;;7001450000000000000?45;1962;1967;
Vostok-2M; Soviet Union;RSC Energia;7003130000000000000?1,300[305];;;7001930000000000000?93;1964;1991;
Soyuz/Vostok; Soviet Union;RSC Energia;7003600000000000000?6,000[306];;;7000200000000000000?2;1965;1966;
Zenit-2; Soviet Union  Ukraine;Yuzhnoye;7004137400000000000?13,740[307];;;7001360000000000000?36[308];1985;2004[309];
Zenit-2M / 2SLB; Ukraine;Yuzhnoye;7004139200000000000?13,920[307];;;7000200000000000000?2[308];2007;2011;
