Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Tor-ramdisk;Anthony G. Basile;dev team;2008;20151215;?;2015-12-15;X;Gentoo Linux Embedded, uClibc;Tor server;Gratis;Active;
Trisquel GNU/Linux;Rubén Rodríguez Pérez (quidam);Rubén Rodríguez Pérez (quidam);2005;8.0;5 years[g 3];2018-04-18;100% Free: GNU FSDG;Ubuntu LTS;desktop;Gratis;Active;
TurnKey GNU/Linux;Alon Swartz, Liraz Siri;TurnKey GNU/Linux Team;2008;14.1;Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request);2016-04-15[37];Debian Social Contract and DFSG;Debian;server based software appliance library aiming to balance security and ease of use;Gratis;Active;
Ubuntu and Derivatives[38];Canonical Ltd.;Canonical Ltd.;2004;18.10;Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years.;2018-10-18[39];X;Debian;general, server, desktop;Gratis;Active;
Univention Corporate Server;Univention GmbH;Univention GmbH;2004;4.3;up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[40];2018-03-14;X;Debian;home, business, and school;Core Edition is gratis;Active;
Ututo;Diego Saravia, Daniel Olivera;UTUTO dev team;2000;XS 2012;?;2012-04-27;100% Free: GNU FSDG;Ututo XS: Gentoo Linux, Ututo UL: Ubuntu;general;Gratis;Active;
VectorLinux;Robert S. Lange;dev team;1999;7.1;?;2015-06-27;X;Slackware;desktop;Gratis;?;
Void Linux;Juan Romero Pardines;Juan RP and contributors;2008;Rolling;Rolling;2017-10-07;X;–;general;Gratis;Active;
Webconverger;Kai Hendry;Webconverger Limited;2007;35.0;?;2016-05-19;X;Debian;kiosk software, digital signage;Commercial;Active;
Xandros;Xandros Incorporated;Xandros Incorporated;2001;?;?;2007-07-26;X;Corel Linux;?;Commercial;Inactive;
Zentyal;eBox Technologies;eBox Technologies;2005;5;?;2016-11-29;X;Debian, Ubuntu;small business server;Some editions are gratis;?;
Zenwalk;Jean-Philippe Guillemin;dev team;2004;Rolling[41];?;2018-03-09;X;Slackware;general;Gratis;Active;
Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
