Parabola GNU/Linux-libre;Free only;7004230000000000000?23,000[146];?;Pacman;.pkg.tar.xz;None (install scripts) or Calamares;Yes;Yes;?;
Pardus;Free, and nonfree;7003400000000000000?4,000;?;PiSi;.pisi;YALI;Yes;?;?;
Parsix;Free, and nonfree;7004290000000000000?29,000;7004149000000000000?14,900;APT;.deb;;Yes;?;?;
PCLinuxOS;Free, and nonfree;7004120000000000000?12,000;?;APT, RPM;RPM;;Yes;?;?;
Puppy;Free, and nonfree;7002700000000000000?700;?;PupGet, DotPup;.pup, .pet;;Yes;?;?;
Red Hat Enterprise Linux;Free, and nonfree;7003300000000000000?3,000 (plus 7003915500000000000?9,155 from EPEL[147]);?;RPM, yum;RPM;Anaconda;Yes;?;?;
Rxart;Free, and nonfree;7003500000000000000?5,000;?;APT;.deb;;Yes;?;?;
Sabayon Linux;Free, and nonfree;7004131300000000000?>13,130;?;Portage, Entropy;ebuild, .tbz2;Calamares;Yes;?;?;
Scientific;Free, and nonfree;?;?;APT/yum;RPM;;Yes;?;?;
Slackware;Free, and nonfree;7003229200000000000?2,292;?;installpkg, upgradepkg;tgz, .txz, .tlz, .tbz;;No;Yes;Yes;
Slax;Free, and nonfree;7003205000000000000?2,050;?;none;.lzm;;;?;?;
SliTaz GNU/Linux;Free, and nonfree;7003338100000000000?3,381[148];?;Tazpkg;.tazpkg;tazinst;Yes;iPXE;iPXE;
Solus;Free, and nonfree;7003950000000000000?9,500;?;eopkg;.eopkg;os-installer;Yes;No;No;
Source Mage GNU/Linux;Free, and nonfree;7002118000000000000?118;7003887600000000000?8,876;Sorcery Package Manager;src;;Yes;?;?;
SUSE Linux;Free, and nonfree;7004240940000000000?24,094;7004113850000000000?11,385;YaST, Zypper;RPM;YaST;Yes;?;?;
Tiny Core Linux;Free, and nonfree;7004251600000000000?25,160;?;ab, tce-load;tcz;tc-install, core2usb;Yes;?;?;
Tiny SliTaz;Free, and nonfree;7001500000000000000?50;?;Web site[149];tazpkg;;No;?;iPXE;
Tor-ramdisk;Free, and nonfree;?;?;none;none;;No;?;?;
Trisquel;Free only;7004527480000000000?52,748[150];?;APT;.deb;Ubiquity;Yes;Yes;?;
TurnKey GNU/Linux;Free, and nonfree;7004572900000000000?57,290[132] plus ?30 custom packages;7004210410000000000?21,041[d] (currently TurnKey only supplies source code for custom packages);APT;.deb;DI-Live (custom fork of Debian Installer);No;No;No;
Ubuntu, Kubuntu, Xubuntu;Free, and nonfree;7004732290000000000?73,229[151];7004244740000000000?24,474[e];APT;.deb;Ubiquity;Yes;Yes;PXE;
Ututo;Free only;7003500000000000000?5,000;?;UTUTO Package Manager;ebuild;?;?;No;No;
Vector Linux;Free, and nonfree;?;?;slapt-get, gslapt, installpkg;tgz;;Yes;?;?;
Void Linux;Free, nonfree and multilib;7003600000000000000?6,000;7003671900000000000?6,719;xbps;.xbps;ncurses script;Yes;Yes;No;
XBMC Live;Free, and nonfree;?;?;APT;.deb;;No;?;?;
Zentyal;Free, and nonfree;?;?;APT;.deb;dpkg;Yes;?;?;
Zenwalk;Free, and nonfree;7003200000000000000?2,000;?;netpkg, installpkg, upgradepkg;tgz, txz;;Yes;?;?;
Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tools;Package format;Default installer;Graphical installation process;Netinstall;Netboot;
