Program;Operating systems;License;Costs;Protocols;Codecs;Encryption;Max conference peers;Other abilities;Latest release;
AudioCodes MobilityPLUS;Windows, Android, iOS;Proprietary;?;SIP, RTP, XMPP, STUN, ICE;G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus;TLS, SRTP;Unknown;Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.;2014; 4 years ago (2014);
MicroSIP;Windows;GPL;Free;SIP, STUN, ICE, SIMPLE;Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM;TLS, SRTP;Unknown;Video, voice, IM and Presence;3.18.3 March 2018; 9 months ago (2018-03);
Mirial Softphone (Mirial s.u.r.l.);Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86);Proprietary;not free;SIP, RTSP;H.323;DTLS-SRTP;Unknown;H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL);7.0.24; May 26, 2010; 8 years ago (2010-05-26), discontinued;
Mumble;Linux, macOS, iOS, Windows, Android;New BSD license;Free;ICE;CELT, Speex, Opus;TLS and OCB-AES128;No max (limited only by server bandwidth and memory);Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation;1.2.19; January 27, 2017; 22 months ago (2017-01-27);
Nymgo;Windows, Android, iOS;Proprietary;Free;SIP, RTP and RTCP;Unknown;Yes;No;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition;4.2.9; March 2013; 5 years ago (2013-03);
oovoo;macOS, iOS, Windows, Android;Proprietary;Free;SIP, RTP and RTCP;Unknown;Yes;12;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition;4.2.9; March 2013; 5 years ago (2013-03);
Phoner;Windows;Proprietary;Free;SIP, TAPI, CAPI;G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus;TLS, SRTP, ZRTP;8;Conferencing, call redirection, call recording;3.20 (13 April 2018; 8 months ago (2018-04-13)) [±][17];
PhonerLite;Windows;Proprietary;Free;SIP;G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus;TLS, SRTP, ZRTP;8;Conferencing, call redirection, call recording;2.64 (21 June 2018; 5 months ago (2018-06-21)) [±][18];
QuteCom;Linux, macOS, Windows XP-2000;GPL;Free;SIP;G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2), H.263, H.263+, H.264, Dirac[19];SRTP, but key exchange via Everbee key Exchange which is not a Standard;Unknown;Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing.;2.2.1 (22 June 2011; 7 years ago (2011-06-22)[20]) [±];
Ring by Savoir-faire Linux;Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X[21];GPL3;Free;SIP, RTP, STUN per account, SRV, DHT, P2P;Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4;Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS), multiple realms authentication mechanism;No limit;Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing;Android 20181124 (November 25, 2018; 24 days ago (2018-11-25)[22]) [±] Desktop 20180820 (August 20, 2018; 3 months ago (2018-08-20)[23]) [±] iOS 1.56 (November 26, 2018; 23 days ago (2018-11-26)[24]) [±];
Roger Wilco GameSpy;Windows;Proprietary;?;Proprietary;?;?;?;?;2001; 17 years ago (2001);
Skype;Windows, UWP;Windows, desktop;macOS;Linux;Android 6 and later;iOS & watchOS;Linux(with limited functionality),[25] macOS, Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Windows Phone , Android, iPhone, PSP;Proprietary;Free;Proprietary P2P protocol [a];SILK;TLS;25 starting with version 3.6.0.216. 10 with 2.x;Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...); depending on platform.;Windows, UWP 14.35.76.0 / 3 December 2018; 16 days ago (2018-12-03)[26] Windows, desktop 8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26] macOS 8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26] Linux 8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26] Android 6 and later 8.36.0.52 / 11 December 2018; 8 days ago (2018-12-11)[27] iOS & watchOS 8.35.0.71 / 3 December 2018; 16 days ago (2018-12-03)[27];Windows, UWP;Windows, desktop;macOS;Linux;Android 6 and later;iOS & watchOS;14.35.76.0 / 3 December 2018; 16 days ago (2018-12-03)[26];8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];8.36.0.52 / 11 December 2018; 8 days ago (2018-12-11)[27];8.35.0.71 / 3 December 2018; 16 days ago (2018-12-03)[27];
Windows, UWP;14.35.76.0 / 3 December 2018; 16 days ago (2018-12-03)[26];
Windows, desktop;8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];
macOS;8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];
Linux;8.34.0.78 / 13 November 2018; 36 days ago (2018-11-13)[26];
Android 6 and later;8.36.0.52 / 11 December 2018; 8 days ago (2018-12-11)[27];
iOS & watchOS;8.35.0.71 / 3 December 2018; 16 days ago (2018-12-03)[27];
TeamSpeak;Linux, Windows, macOS, FreeBSD, Android, iOS;Proprietary;Free;Unknown;CELT, Speex, Opus[28];Yes;32 unlicensed, 512 with non-profit license, 2000;Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX & OpenGL games, global public server list, plugin system;3.1.8;
TeamTalk;Linux, Windows, macOS, Android, iOS, Raspbian;Proprietary;Free;Proprietary;Opus, Speex, WebM;No;1000;Video, file sharing, desktop sharing, stream media files (MP3, AVI);5.1.3; May 2016; 2 years ago (2016-05);
TeamViewer;Windows (desktop app);macOS;Linux;Android;iOS;Windows (UWP app);BlackBerry OS;Chrome OS;Linux, Windows, macOS, iOS, Android[29];Proprietary;Free (personal use only);Unknown;Unknown;AES256;Unknown;Unknown;Windows (desktop app) 14.1.3399.0 / December 13, 2018; 6 days ago (2018-12-13)[30] macOS 14.0.1388 / November 15, 2018; 34 days ago (2018-11-15)[31] Linux 14.0.12762 / November 15, 2018; 34 days ago (2018-11-15)[32] Android 14.1.87 / December 13, 2018; 6 days ago (2018-12-13)[33] iOS 14.1.150505 / December 13, 2018; 6 days ago (2018-12-13)[34] Windows (UWP app) 13.0.100.0[35] BlackBerry OS 12.0.0.6394 / February 1, 2017; 22 months ago (2017-02-01)[36] Chrome OS 14.0.47319 / October 22, 2018; 58 days ago (2018-10-22)[37];Windows (desktop app);macOS;Linux;Android;iOS;Windows (UWP app);BlackBerry OS;Chrome OS;14.1.3399.0 / December 13, 2018; 6 days ago (2018-12-13)[30];14.0.1388 / November 15, 2018; 34 days ago (2018-11-15)[31];14.0.12762 / November 15, 2018; 34 days ago (2018-11-15)[32];14.1.87 / December 13, 2018; 6 days ago (2018-12-13)[33];14.1.150505 / December 13, 2018; 6 days ago (2018-12-13)[34];13.0.100.0[35];12.0.0.6394 / February 1, 2017; 22 months ago (2017-02-01)[36];14.0.47319 / October 22, 2018; 58 days ago (2018-10-22)[37];
Windows (desktop app);14.1.3399.0 / December 13, 2018; 6 days ago (2018-12-13)[30];
macOS;14.0.1388 / November 15, 2018; 34 days ago (2018-11-15)[31];
Linux;14.0.12762 / November 15, 2018; 34 days ago (2018-11-15)[32];
Android;14.1.87 / December 13, 2018; 6 days ago (2018-12-13)[33];
iOS;14.1.150505 / December 13, 2018; 6 days ago (2018-12-13)[34];
Windows (UWP app);13.0.100.0[35];
BlackBerry OS;12.0.0.6394 / February 1, 2017; 22 months ago (2017-02-01)[36];
Chrome OS;14.0.47319 / October 22, 2018; 58 days ago (2018-10-22)[37];
Telephone;macOS 10.10.2;BSD;Free;SIP, STUN, ICE;Unknown;No;Unknown;Address Book integration;1.1.4; March 6, 2012; 6 years ago (2012-03-06);
Toktumi Unlimited, Line2 Pro;Windows XP-Vista-7, macOS, iOS, Android;Proprietary;Free;Proprietary with SIP core;Unknown;Unknown;20;Conferencing, voicemail, caller ID, call-waiting, address book integration; auto-attendant, call-forwarding;Windows; August 2010; 8 years ago (2010-08); macOS; October 2010; 8 years ago (2010-10);
Tox;Linux, macOS, Windows, Android, FreeBSD;GPL;Free;Tox, VP8;Opus,;NaCl;Unknown;Voice, video, instant messaging, file transfers;Unknown;
Tru App;Windows 2000-XP-Vista-7, macOS, Linux iOS, Android, Symbian, BlackBerry OS,;Proprietary;Free;SIP, XMPP;Unknown;Unknown;Unknown;Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype;;
Tuenti;Android, iPhone, Windows Phone;Proprietary;Free;WebRTC, SIP, XMPP;iLBC, Opus;Yes;?;Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications.;;
Twinkle;Linux;GPL;Free;SIP;G.711 A-law ?-law, G.726, GSM, iLBC, Speex narrow wide ultrawide;SRTP, ZRTP;3;Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services;1.10.0 (July 15, 2016; 2 years ago (2016-07-15)) [±];
Ventrilo;macOS, Windows, iOS, Android;Proprietary;Free;Unknown;Unknown;No;8;Conferencing, chat, text-to-speech;3.0.8;
Viber;Linux,[b] macOS,[b] Windows,[b] Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone;Proprietary;?;Unknown;Unknown;Yes[40];Unknown;Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsoft's Windows Phone;Android: WhatsApp 9.5.0.6 (August 21, 2018; 3 months ago (2018-08-21)[41]) [±] iOS: 8.7.1 (April 21, 2018; 7 months ago (2018-04-21)[42]) [±] Windows Mobile: 6.6.1 (April 26, 2018; 7 months ago (2018-04-26)[43]) [±] BlackBerry 10 OS: 4.3.0.728 (April 23, 2014; 4 years ago (2014-04-23)[44]) [±];
Voice Operator Panel;Windows 2000-XP-Vista;Proprietary;?;SIP, RTP;Unknown;Unknown;Unknown;Call forwarding, call transfer, call recording, presence, Outlook integration, Windows Messenger-MSN-Live integration, CRM, built-in web browser, emailer, LDAP, APS.;1.3.2;
Vyke;iPhone, Android;Proprietary;Free;SIP;Unknown;TLS, SRTP;Unknown;P2P calls, instant messaging, text messaging, incoming calls, incoming messaging, voicemail, international mobile phone numbers, push notifications, address book integration;;iOS September 2016; 2 years ago (2016-09); Android August 2016; 2 years ago (2016-08);
Wire;Linux, Windows, macOS, iOS, Android, Web;GPLv3;Free;?;Template:Opus (audio), VP8 (video);DTLS, SRTP[45];10[46];End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only);?;
X-Lite;macOS, Windows;Proprietary;Free;SIP, STUN, ICE, TURN;H.263, H.263+, G.711, iLBC, Speex;No;3;VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC);5.3.3 July 10, 2018; 5 months ago (2018-07-10);
Yahoo! Messenger;Classic Mac OS (8, 9), macOS, Windows, (Linux, FreeBSD version VoIP incapable);Proprietary;Free;SIP (using TLS) and RTP (media);Unknown;Unknown;Unknown;Video, file transfer, PC to phone, phone to PC;Windows: 11.5.0.228; May 31, 2012; 6 years ago (2012-05-31) Mac: 3.0.1; July 20, 2011; 7 years ago (2011-07-20) Linux: 1.0.6; September 2003; 15 years ago (2003-09) SunOS 5.7: 0.99.17-1; September 2003; 15 years ago (2003-09) Solaris 8: 1.0.4; September 2003; 15 years ago (2003-09) FreeBSD 4-5: 1.0.4; September 2003; 15 years ago (2003-09) iOS: 2.2.6; July 12, 2012; 6 years ago (2012-07-12);
Yate Client;Linux, macOS, Windows;GPL;Free;SIP, IAX, XMPP, H.323;G.711a, G.711u, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729;SRTP, maybe ZRTP?;Unknown;;6.0.0; September 2017; 1 year ago (2017-09);
Zfone;Linux, macOS, Windows;Viewable source;Includes time bomb provision;SIP, RTP;Unknown;SRTP, ZRTP;Unknown;;Beta 2008-09-04 (Linux 0.9.224), (macOS 0.9.246), (Windows 0.9.206);
