Name;IP SLA Reports;Logical Grouping;Trending;Trend Prediction;Auto Discovery;Agentless;SNMP;Syslog;Plugins;Triggers / Alerts;MIB Compiler;WebApp;Distributed Monitoring;Inventory;Platform;Data Storage Method;License;Maps;Access Control;IPv6;Latest release date;Latest release version;
Nagios;Via plugin;Yes;Yes;No;Via plugin;Supported;Via plugin;Via plugin;Yes;Yes;No;Yes;Yes;Via plugin;C;Flat file, SQL (via ndoutils), MySql (Via Nconf);GNU GPL;Yes;Yes;Yes[2];2017-08-24;4.3.4[3];
NeDi;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Perl, PHP;Pg, MySQL, RRDTool, MariaDB;GPL3, Commercial;Yes;Yes;Yes;2016-04;1.6[4];
Netdisco;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Perl;PostgreSQL;BSD;Yes;Yes;Yes;2017-10;2.036011[5];
NeuralStar;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Unknown;MS SQL;Commercial;Yes;Yes;Yes;
CA UIM fka Nimsoft Monitor;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes;Yes;Unknown;SQLServer, Oracle, MySQL;Limited free, Commercial;Yes;Yes;Yes;2013-06-30;1.8.6;
Octopussy;No;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Full control;No;Yes;Perl, ASP;MySQL;GNU GPL;No;Yes;No;2017-06-03;1.0.16;
op5 Monitor;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Yes;Yes;Via plugin;C, PHP;Flat file, SQL;Limited free, Commercial;Yes;Yes;Yes;Monthly;7.3.0;
OpenKBM;Yes;Yes;Yes;No;Yes;Supported;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Unknown;Proprietary with JDBC support;Commercial;Yes;Yes;Yes;
OpenNMS;Yes;Yes;Yes;Supported;Yes;Supported;Yes;Yes;Yes;Yes;Yes;Full Control;Yes;Yes;Java;JRobin / RRDTool / Apache Cassandra, PostgreSQL;AGPLv3;Yes;Yes;Yes;2018-01-13;21.0.3;
Opmantek NMIS;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Full Control;No;Yes;Yes;Yes;Perl;MongoDB, RRDtool;GPL, Commercial;Yes;Yes;Yes;2015-10;8.5.10G;
OPNET's AppResponse Xpert;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes;No;Unknown;Unknown;Commercial;Yes;Yes;Unknown;
Opsview;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;No;Perl, C, ExtJS;SQL;Commercial;Yes;Yes;No;2017-07-11;5.4;
OSI NetExpert;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Java, C++;Oracle;Commercial;Yes;Yes;Yes;2013-04;10.0;
PA Server Monitor;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Viewing, Reporting;Yes;Yes;C++;SQLite, Microsoft SQL Server;Commercial;Yes;Yes;No;2014-7;5.5;
PacketTrap;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Viewing, Reporting;Yes;Yes;Unknown;SQL;Commercial;Yes;Yes;Yes;
Pandora FMS;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Perl, PHP, C++, JavaScript;MySQL, Oracle;GPLv2, Commercial;Yes;Yes;Yes;2017-07;7.0 NG 707;
PathSolutions TotalView;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Windows;SQLite;Commercial;Yes;Yes;No;2018-06-01;9.01;
Performance Co-Pilot;No;Yes;Yes;No;Yes;Optional, Limited;Yes;Yes;Yes;Yes;No;Viewing;Yes;Yes;C Perl, Python, POSIX, MinGW;Flat file;GPL, LGPL;No;Yes;Yes;2016-11-15;3.11.6;
PRTG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Windows;Flat file;Limited free, Commercial;Yes;Yes;Yes;2018-08-14;18.3.43.2323;
ScienceLogic;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Python;MySQL;Commercial;Yes;Yes;Yes;
SevOne;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;C, C++, PHP;MySQL;Commercial;Yes;Yes;Yes;2018-9;5.7.2.4[6];
Shinken;Via plugin;Yes;Yes;No;Yes;Supported;Via plugin;Via plugin;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes;Via plugin;Python;Flat file, MySQL, Oracle, Graphite, Sqlite, MongoDB;AGPL;Yes;Yes;Yes;2016-03-10;2.4.3;
Solarwinds;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;.NET;SQL;Commercial;Yes;Yes;Yes;;
Spiceworks;?;Yes;?;?;Yes;Yes;?;?;Yes;Yes;?;?;?;Yes;PHP;Sqlite;?;Yes;?;?;2018-03-21;7.5.00107;
CA Spectrum;Yes;Yes;Perf. AddOn;Perf. AddOn;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;C++, JavaScript;Sleepycat-QSL, MySQL;Commercial, per Device;Yes;Yes;Yes;2018-03;10.2;
Xymon/Hobbit;Yes;Yes;Yes;No;Via plugin;Via plugin;Via plugin;No;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes;Via plugin;C, Shell;Flat file, RRDTool, MySQL via plugin;GNU GPL;Via plugin;Apache ACL;No;2017-01-18;4.3.28;
Vigilo NMS;Yes (NMS and NOC editions);Yes;Yes;Yes via integration;Yes via integration;Yes;Yes;Yes via Prelude SIEM;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes (NMS and NOC editions);Yes via GLPI;Python, Perl;PostgreSQL, RRDtool;Free (GPLv2) OSS edition, Commercial NOC/NMS editions;Yes (NMS and NOC editions);Yes (NMS and NOC editions);Via plugin;2017-09-14;4.1.0;
Zabbix;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;C, PHP;Oracle, MySQL, PostgreSQL, IBM DB2, SQLite;GNU GPL;Yes;Yes;Yes;2018-10-01;4.0;
Zenoss Core;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Python, Java;ZODB, MariaDB, Apache HBase;Free Core GPL, Commercial Enterprise;Yes;Yes;Yes;2018-01-09;6.1.0;
IP SLA Reports;Logical Grouping;Trending;Trend Prediction;Auto Discovery;Agentless;SNMP;Syslog;Plugins;Triggers / Alerts;MIB Compiler;WebApp;Distributed Monitoring;Inventory;Platform;Data Storage Method;License;Maps;Access Control;IPv6;Latest release date;Latest release version;Name;
