Jumpshare;2 GB free, 1 TB paid;250 MB free, Unlimited paid;Yes;5GB per month free, 200GB per month on paid plan;None;Yes;?;?;?;?;No;2;Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips.;
Koofr[49];7000200000000000000?2 GB free, 7001100000000000000?10 GB to 7000100000000000000?1 TB paid;None;Yes;None;None;No;Yes;No;Yes;?;No;2;N/A;
MediaFire[50];7001100000000000000?10 GB, +7001500000000000000?50 GB for referrals up to 7000100000000000000?1 TB Pro accounts, 7002100000000000000?100 TB Business accounts;7000400000000000000?4 GB free,[51] 7001200000000000000?20 GB paid[52];Yes;7001100000000000000?10 TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[53];1 year account inactivity[54];Yes;Yes;No[55];Yes;?;Yes;10;Resuming of interrupted downloads possible.;
Mega[56];7001150000000000000?15 GB free, up to 7001500000000000000?50 GB free trial,[57] up to 7000800000000000000?8 TB paid;Available cloud drive space[58];No[59];7001100000000000000?10 GB free, Up to 7001960000000000000?96 TB per month paid.[60];3 months account inactivity/failure to reply to email[61];No;Yes;No;Yes[62];?;Yes;50;Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari[63] Supports HTML5 browsers.[64];
OneDrive[65];7000500000000000000?5 GB free (since 31 January 2016, previously 15 GB[66] and 25 GB since 2008),[67] +500 MB free for referrals up to 5 GB, 7002200000000000000?200 GB paid[68] 1 TB with paid Office 365 account.[69];7001100000000000000?10 GB[70];No;None;1 year of account inactivity[71];Yes;Yes[72];No[73];Yes (Office files only);No[74];?;5;Fetch files allows remote access of files on Windows with OneDrive installed[75] 25 GB free for grandfathered accounts before April 2012[76] * Currently requires user to request "unlimited" storage (10TB, able to be increased upon request), otherwise 1TB for Office 365 subscribers.;
SecureSafe[77];100MB free, up to 100GB paid [78];? 2GB limit for SecureSend;Yes;None;None;No;No;No;No[77];?;Yes;0.1;Offers Data Inheritance [79];
SugarSync[80];7001600000000000000?60 GB personal paid, Unlimited GB professional paid;None;No[81];10 GB/file/day free, 250 GB file/day paid;No expiration for paid accounts, 90 days of inactivity for free users;No;REST[82];?;Yes;?;No;0;If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.[83];
Tencent Weiyun[84];7000200000000000000?2 TB (10 GB free);1 GB regular upload, 32 GB Power Upload plug-in;Yes;None;45 days account inactivity;No;No;No;No;?;No;10;In English and Chinese (free version in Chinese only);
TitanFile;No free space, unlimited paid;7002100000000000000?100 MB free, 7000100000000000000?1 GB paid, 7000400000000000000?4 GB professional;Yes[85];None;None, unless set by user[85];No;Yes[86];Yes For enterprise clients only;Yes[87];?;Yes for paid plans[88];0;HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website.;
Tresorit[89];3 GB free trial, 100-1000 GB paid plans[90];500 MB free, 5 GB premium, 10 GB rest of paid plans[91];Yes;None;None;No;No;No;Yes[92] for paid plans;No;Yes[93];3;Files stored in Tresorit are encrypted using the most advanced encryption methods. No one, not even Tresorit administrators hold the users' decryption keys.;
vBoxxCloud[94];14-day free trial, 250mb size limit. 25 GB paid storage packs[95];Unlimited;Yes;None;None;Yes;Yes;No;Yes;No;No;20;GDPR Ready.[96] Security policies, audit logs, unlimited file size, online document editing, file locking. Available for Windows, macOS, iOS and Android[97];
Yandex Disk;up to 20 GB free (10 GB when registering), up to 1024 GB paid;2 GB upload via Web or WebDAV, 50 GB upload via application;Yes;200% of storage size per day;None[citation needed];No;YesREST, WebDAV, SDK[98];No;No;?;No;10;English, Russian, Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows, macOS, Linux, iOS, Android. Client-side encryption is available with 3rd party open source clients.;
Web host;Storage size;Max. file size;Direct access[1 1];Traffic or bandwidth limit;File expiration[1 2];Remote uploading?;Developer API?;FTP upload possible?;File versioning;Follows symlinks;Client-side encryption[1];Free GB (number only);Misc. notes;
