Maker;Model;Intro year;Screen size (inch);Self-lit;Screen type;Dimensions (HxWxD);Weight;Screen pixels;Pixel density (in pixels per inch);Touch screen;Button for Page-turn;Wireless network;Text-to-speech;Folders;Internal storage;micro SDHC;Web browser;Library DRM compatible;USB Content Management;
Deutsche Telekom;tolino shine;2013;6 in;Yes;E Ink Pearl;;183 g (6.5 oz);758 × 1024;212 ppi;Yes;No;Wi-Fi;No;Yes;4 GB (2 GB);Yes;Yes;Yes;No;
Deutsche Telekom;tolino vision;2014;6 in;Yes;E Ink Carta;;178 g;758 × 1024;212 ppi;Yes;No;Wi-Fi;No;Yes;2 GB;Yes;Yes;Yes;No;
Deutsche Telekom;tolino vision 4 HD;2016;6 in;Yes;E Ink Carta;;175 g;1448 × 1072;300 ppi;Yes;No;Wi-Fi (b/g/n);No;Yes;8 GB (6 GB available for user);No;Yes;Yes;No;
Elonex;621EB;2009;6 in;No;E Ink;;180 g (6.3 oz);600 × 800;167 ppi;No;Unknown;No;No;No;1 GB;Yes;No;Yes;No;
Icarus Reader;Icarus Excel;2012;9.7 in;No;E Ink Pearl;;530 g (19 oz);825 × 1200;150 ppi;No;Yes;Wi-Fi;Yes;Unknown;4 GB;Yes;Yes;Unknown;Unknown;
Icarus Reader;Icarus 8;2013;8 in;No;ePaper;;300 g (10.5 oz);768 × 1024;160 ppi;No;Unknown;Wi-Fi;Unknown;Yes;4 GB;Yes;Unknown;Yes;Unknown;
Icarus Reader;Icarus Essence;2013;6 in;No;ePaper;;220 g (7.8 oz);600 x 800;167 ppi;No;Unknown;Wi-Fi;Unknown;Yes;4 GB;Yes;Unknown;Yes;Unknown;
Icarus Reader;Icarus Sense G2;2011;6 in;No;E Ink;;220 g (7.8 oz);600 × 800;167 ppi;Yes;Unknown;Wi-Fi;No;Yes;2 GB (1.3 GB);Yes;Yes;Yes;Unknown;
Icarus Reader;Illumina Pro;2016;9.7 in;Yes;E Ink Pearl HD;;220 g (7.8 oz);825 x 1200;150 ppi;Yes;Yes;Wi-Fi;No;Yes;16 GB (11 GB);Yes;Yes;Yes;Yes;
Iriver;Iriver Story HD;2011;6 in;No;E Ink Pearl;;207 g (7.3 oz);768 × 1024;213 ppi;No;Yes;Wi-Fi;No;Yes;2 GB;SDHC;No;Yes;Yes;
JinKe;Hanlin V5;2009;5 in;No;E Ink;;160 g (5.6 oz);600 × 800;200 ppi;No;Unknown;No;Yes;Unknown;512 MB;SDHC 16 GB;No;Unknown;Unknown;
Boyue;Boyue Likebook Plus;2017;7.8 in;Yes;E Ink Carta;198 x 144 x 8.3mm;290 g (10.2 oz);1404 x 1872;300 ppi;Yes;No;Wi-Fi;No;Unknown;16 GB;No;Yes;PDF, EPUB, FB2, RTF, MOBI, TXT, HTML/HTM, DJVU/DJV, JPG, PNG, etc.;Yes;
Icarus;Icarus Illumina XL HD;2017;7.8 in;Yes;E Ink Carta;200 x 145 x 9mm;275 g (9.7 oz);1404 x 1872;300 ppi;Yes;No;Wi-Fi;No;Unknown;16 GB;No;Yes;Yes;Yes;
Tolino;Tolino Epos;2017;7.8 in;Yes;E Ink Carta;209 x 140 x 8.2mm;260 g (9.2 oz);1404 x 1872;300 ppi;Yes;No;Wi-Fi;No;Unknown;8 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Clara HD;2018;6 in;Yes;E Ink Carta;195.1 x 138.5 x 6.9mm;166 g (5.8 oz);1448 x 1072;300 ppi;Yes;No;Wi-Fi;No;shelves;8 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Aura One;2016;7.8 in;Yes;E Ink Carta;195.1 x 138.5 x 6.9mm;230 g (8.1 oz);1404 x 1872;300 ppi;Yes;No;Wi-Fi;No;shelves;8 / 32 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Aura Edition 2;2016;6 in;Yes;E Ink Carta;159 x 113 x 8.5mm;180 g (6.3 oz);768 x 1024;212 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Touch 2.0;2015;6 in;Yes;E Ink Pearl;;185 g (6.5 oz);600 x 800;167 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Glo HD;2015;6 in;Yes;E Ink Carta;;180 g (6.3 oz);1072 × 1448;300 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Aura H2O;2014;6.8 in;Yes;E Ink Carta;179 x 129 x 9.7mm;233 g (8.2 oz);1080 × 1430;265 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;Yes;Yes;Yes;Yes;
Kobo Inc.;Kobo Aura HD;2013;6.8 in;Yes;E Ink Pearl;;240 g (8.5 oz);1080 × 1440;265 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;Yes;Yes;Yes;Yes;
Kobo Inc.;Kobo Aura;2013;6 in;Yes;E Ink Pearl;;174 g (6.1 oz);758 x 1024;212 ppi;Yes;No;Wi-Fi;No;shelves;4 GB;Yes;Yes;Yes;Yes;
Kolporter;eClicto;2007;6 in;No;E Ink;;174 g (6.1 oz);600 × 800;167 ppi;No;Unknown;No;No;Unknown;512 MB;SD;No;Unknown;Unknown;
Manta;Ebook04;2014;6 in;No;E Ink;;Unknown;600 × 800;167 ppi;No;Yes;Wi-Fi;No;Yes;4 GB;up to 32 GB;Yes;Yes;Yes;
Onyx Inc.;BOOX C65 Storia;2013;6 in;No;E Ink;;186 g (8.4 oz);758 x 1024;212 ppi;Yes (Capacitive);No;Wi-Fi;Yes;Yes;4 GB;Yes;Unknown;No;Yes;
Onyx Inc.;BOOX C65 AfterGlow;2013;6 in;Yes;E Ink;;186 g (8.4 oz);758 x 1024;212 ppi;Yes (Capacitive);No;Wi-Fi;Yes;Yes;4 GB;Yes;Unknown;No;Yes;
Onyx Inc.;BOOX M92/92S Black Pearl;2011;9.7 in;No;E Ink Pearl;;520 g (18 oz);825 × 1200;150 ppi;Stylus;Yes;Wi-Fi;Yes;Yes;4 GB;Yes;Yes;No;Yes;
Onyx Inc.;BOOX M96;2014;9.7 in;No;E Ink Pearl;;520 g (18 oz);825 × 1200;150 ppi;Stylus;Yes;Wi-Fi, Bluetooth 4.0 Low Energy;Yes;Yes;4 GB;up to 32 GB SD Card;Yes;Yes;Yes;
Onyx Inc.;BOOX T68 Lynx;2014;6.8 in;Yes;E Ink Pearl;;236 g (8.325 oz);1080 x 1440;265 ppi;Yes (Capacitive);Yes;Wi-Fi, Bluetooth 4.0 Low Energy;Yes;Unknown;4 GB;up to 32 GB;Yes;Yes;Unknown;
Onyx Inc.;BOOX N96;2016;9.7 in;Yes (ML version only)[2];E Ink Pearl;;443-461 g (16 oz);825 × 1200;150 ppi;Yes (N96ML only with Stylus);Yes;Wi-Fi, Bluetooth 4.0 Low Energy;Yes;Yes;16 GB;up to 32 GB SD Card;Yes;Yes;Yes;
Onyx Inc.;BOOX Max;2016;13.3 in (letter=13.9 in, A4=14.3 in);No;E Ink Mobius;;496 g (17.5 oz);1200 × 1600;150 ppi;Stylus;Yes;Wi-Fi, Bluetooth 4.0 Low Energy;Yes;Yes;16 GB;up to 32 GB SD Card;Yes;Yes;Yes;
Onyx Inc.;BOOX Max Carta;2017;13.3 in (letter=13.9 in, A4=14.3 in);No;E Ink Carta;;550 g (19.5 oz);1650 × 2200;207 ppi;Stylus;Yes;Wi-Fi, Bluetooth 4.0 Low Energy;Yes;Yes;16 GB;up to 32 GB SD Card;Yes;Yes;Yes;
PocketBook;PocketBook CAD Reader;2014;13.3 in (letter=13.9 in, A4=14.3 in);No;E Ink Fina;;700 g;1200 × 1600;150 ppi;Unknown;Unknown;Wi-Fi;Unknown;Unknown;16 GB;up to 64 GB;Unknown;Unknown;Yes;
PocketBook;PocketBook CAD Reader Flex;2014;13.3 in (letter=13.9 in, A4=14.3 in);No;E Ink Mobius;;700 g;1200 × 1600;150 ppi;Unknown;Unknown;Wi-Fi;Unknown;Unknown;8 GB;up to 64 GB;Unknown;Unknown;Yes;
PocketBook;PocketBook 360 Plus;2011;5 in;No;E Ink;;150 g (5.3 oz);600 × 800;200 ppi;No;Unknown;Wi-Fi;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Pro 912;2011;9.7 in;No;E Ink;;565 g (20 oz);825 × 1200;150 ppi;Yes;Unknown;Wi-Fi, Bluetooth;Yes;Yes;2 GB (1.2 GB);Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Touch;2011;6 in;No;E Ink Pearl;;195 g (6.9 oz);600 × 800;167 ppi;Yes;Unknown;Wi-Fi, Bluetooth, UMTS + GPRS;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Basic New;2012;6 in;No;E Ink;;180 g (6.3 oz);600 × 800;167 ppi;No;Unknown;?;?;Yes;2 GB;up to 32 GB;Yes;Yes;Unknown;
reMarkable;reMarkable[3];2017 pre-order;10.3 in (A5=10.1 in);No;E Ink Carta CANVAS;256 x 177 x 6.7mm (10.1 x 6.9 x .26in);350 g (0.77 lb);1404 x 1872;226 ppi;Yes;Yes;WiFi;No;Yes;8 GB;No;No;PDF and ePUB;Beta;
Sony;DPT-RP1[4];2017;13.3 in (letter=13.9 in, A4=14.3 in);No;E Ink Carta;;349 g (12.3 oz);1650 x 2200;207 ppi;Yes;No;Wi-Fi b/g/n Bluetooth NFC;No;Yes;16 GB;No;Yes;PDF only;Yes;
TrekStor;Pyrus[5];2012;6 in;No;Digital Ink;;216 g (7.6 oz);600 × 800;167 ppi;No;Yes, both sides;No;No;Yes;2 or 4 GB;Yes;No;Unknown;Unknown;
TrekStor;Pyrus 2 LED[6];2013;6 in;No;E Ink Pearl;;205 g (7.2 oz);600 × 800;167 ppi;Yes;Yes;No;No;Yes;2 GB;Yes;No;Unknown;Unknown;
TrekStor;Pyrus mini[7];2013;4.3 in;No;Digital Ink;;111 g (3.9 oz);600 × 800;233 ppi;No;;No;No;Yes;2 GB;Yes;No;Unknown;Unknown;
txtr;beagle;2013;5 in;No;E Ink;;128 g (4.5 oz);600 x 800;200 ppi;No;Unknown;Bluetooth;No;No;5 books, up to 4 GB;No;No;Yes;No;
Various private labels;6"; 4:3, Capacitive touch, EPD AUO+SiPix 16 grayscale Contrast Ratio: 6:1, Whiteness: 30% (w/ touch);varies;6 in;No;SiPix;;240 g (8.5 oz);600 × 800;167 ppi;Yes;Unknown;Wi-Fi;Yes*;Yes;2 GB;SDHC;Yes;Unknown;No;
Fidibook;Hannah F1 Wi-Fi;2018;6 in;Yes;E Ink;159.5 x 118 x 8 mm;190 g;1024 x 758;212 ppi;Yes;Yes;Wi-Fi;No;No;8 GB;Up to 16 GB;Yes;No;Yes;
Maker;Model;Intro year;Screen size (inch);Self-lit;Screen type;Dimensions (HxWxD);Weight;Screen pixels;PPI;Touch screen;Button for Page-turn;Wireless network;Text-to-speech;Folders;Internal storage;micro SDHC;Web browser;Library DRM compatible;USB peripherals;
