Client;Publisher;First public release;Type;Latest stable version;License;
Adium;Adam Iser, Evan Schoenberg;2001-09;Multi-protocol;1.5.10.4 (April 27, 2017; 19 months ago (2017-04-27)) [±];GPLv2;
aMSN;The aMSN team;2002-05;Single-protocol;0.98.4;GPL;
Telegram;Android, Original;Android, Telegram X;iOS, Original;iOS, Telegram X;Windows Phone;Windows, macOS, Linux;macOS (Mac App Store version);Telegram Messenger LLP;2013;Single-protocol;Android, Original 5.0.1 / 12 December 2018; 8 days ago (2018-12-12)[32] Android, Telegram X 0.21.3.1022 / 11 December 2018; 9 days ago (2018-12-11)[33] iOS, Original 5.1 / 10 December 2018; 10 days ago (2018-12-10)[34] iOS, Telegram X 5.0.17 / 13 November 2018; 37 days ago (2018-11-13)[35] Windows Phone 3.4.0 / 12 October 2018; 2 months ago (2018-10-12)[36] Windows, macOS, Linux 1.5.2 / 18 December 2018; 2 days ago (2018-12-18)[37] macOS (Mac App Store version) 4.7.1 / 4 December 2018; 16 days ago (2018-12-04)[38];Android, Original;Android, Telegram X;iOS, Original;iOS, Telegram X;Windows Phone;Windows, macOS, Linux;macOS (Mac App Store version);5.0.1 / 12 December 2018; 8 days ago (2018-12-12)[32];0.21.3.1022 / 11 December 2018; 9 days ago (2018-12-11)[33];5.1 / 10 December 2018; 10 days ago (2018-12-10)[34];5.0.17 / 13 November 2018; 37 days ago (2018-11-13)[35];3.4.0 / 12 October 2018; 2 months ago (2018-10-12)[36];1.5.2 / 18 December 2018; 2 days ago (2018-12-18)[37];4.7.1 / 4 December 2018; 16 days ago (2018-12-04)[38];GPLv2, GPLv3[39];
Android, Original;5.0.1 / 12 December 2018; 8 days ago (2018-12-12)[32];
Android, Telegram X;0.21.3.1022 / 11 December 2018; 9 days ago (2018-12-11)[33];
iOS, Original;5.1 / 10 December 2018; 10 days ago (2018-12-10)[34];
iOS, Telegram X;5.0.17 / 13 November 2018; 37 days ago (2018-11-13)[35];
Windows Phone;3.4.0 / 12 October 2018; 2 months ago (2018-10-12)[36];
Windows, macOS, Linux;1.5.2 / 18 December 2018; 2 days ago (2018-12-18)[37];
macOS (Mac App Store version);4.7.1 / 4 December 2018; 16 days ago (2018-12-04)[38];
Tencent QQ;Tencent Holdings;1999-02;Single-protocol;See current releases;Adware;
TextSecure;Open Whisper Systems;2010-05;Single-protocol;Discontinued (merged with RedPhone to become Signal);GPLv3;
Threema;Threema GmbH;2012-12;Single-protocol;iOS 3.0.8 (March 20, 2018; 8 months ago (2018-03-20)) [±] [40] Android 3.41 (March 13, 2018; 9 months ago (2018-03-13)) [±] [41] Windows Phone 2.3.0 (May 14, 2018; 7 months ago (2018-05-14)) [±] [42];Proprietary commercial software;
Tkabber;Alexey Shchepin;2002-07-03;Single-protocol;1.1.2 (May 10, 2015; 3 years ago (2015-05-10));GPL;
Tox;Tox Foundation;2013;Single-protocol;;GPLv3;
Trillian;Cerulean Studios;2000-07-01;Multi-protocol;Windows: 6.1 (build 17) (September 4, 2018; 3 months ago (2018-09-04)) [±] Mac OS X: 6.1.1 (September 19, 2018; 2 months ago (2018-09-19)) [±] Linux: 6.1 (build 5) (February 27, 2018; 9 months ago (2018-02-27)) [±] Android: 6.1.0.18 (September 13, 2018; 3 months ago (2018-09-13)) [±] iOS: 6.1.3 (March 26, 2018; 8 months ago (2018-03-26)) [±] BlackBerry: 1.1.0.45 (October 25, 2011; 7 years ago (2011-10-25)) [±] Web-Based: 6.1.0.9 (October 17, 2018; 2 months ago (2018-10-17)) [±] Server: 6.0 (build 14) (September 5, 2017; 15 months ago (2017-09-05)) [±];Freemium adware;
Tuenti;Tuenti;2006;Multi-protocol;;Proprietary;
Upptalk;Upptalk;2010;Dual-protocol;iOS 2.4 (November 26, 2014; 4 years ago (2014-11-26)[43]) [±] Android 2.0.2 (February 12, 2014; 4 years ago (2014-02-12)) [±] Windows Phone 7.x 1.0.1.7 (September 12, 2013; 5 years ago (2013-09-12)) [±] Windows Phone 8.x 1.0.0.4 (September 18, 2013; 5 years ago (2013-09-18)) [±] BlackBerry OS 1.0.1 (May 31, 2013; 5 years ago (2013-05-31)) [±] Kindle Fire 2.0 (December 19, 2013; 5 years ago (2013-12-19)[44]) [±];Freeware;
Viber;Talmon Marco, Igor Magazinnik, Sani Maroli and Ofer Smocha;2010-12-02;Single-protocol;Android: WhatsApp 9.5.0.6 (August 21, 2018; 3 months ago (2018-08-21)[45]) [±] iOS: 8.7.1 (April 21, 2018; 7 months ago (2018-04-21)[46]) [±] Windows Mobile: 6.6.1 (April 26, 2018; 7 months ago (2018-04-26)[47]) [±] BlackBerry 10 OS: 4.3.0.728 (April 23, 2014; 4 years ago (2014-04-23)[48]) [±];Freemium;
WeChat;iOS;macOS;Android;Windows 10 Mobile, Windows Phone 8;Symbian V3;Symbian V5;Tencent Holdings;2011-01;Single-protocol;iOS 6.7.2 / August 10, 2018; 4 months ago (2018-08-10)[49][50] macOS 2.3.13 / May 3, 2018; 7 months ago (2018-05-03)[51] Android 6.7.3 / October 10, 2018; 2 months ago (2018-10-10)[52] Windows 10 Mobile, Windows Phone 8 6.0.8[53] Symbian V3 4.2 / February 4, 2013; 5 years ago (2013-02-04)[54] Symbian V5 4.2 / January 17, 2013; 5 years ago (2013-01-17)[55];iOS;macOS;Android;Windows 10 Mobile, Windows Phone 8;Symbian V3;Symbian V5;6.7.2 / August 10, 2018; 4 months ago (2018-08-10)[49][50];2.3.13 / May 3, 2018; 7 months ago (2018-05-03)[51];6.7.3 / October 10, 2018; 2 months ago (2018-10-10)[52];6.0.8[53];4.2 / February 4, 2013; 5 years ago (2013-02-04)[54];4.2 / January 17, 2013; 5 years ago (2013-01-17)[55];Freeware;
iOS;6.7.2 / August 10, 2018; 4 months ago (2018-08-10)[49][50];
macOS;2.3.13 / May 3, 2018; 7 months ago (2018-05-03)[51];
Android;6.7.3 / October 10, 2018; 2 months ago (2018-10-10)[52];
Windows 10 Mobile, Windows Phone 8;6.0.8[53];
Symbian V3;4.2 / February 4, 2013; 5 years ago (2013-02-04)[54];
Symbian V5;4.2 / January 17, 2013; 5 years ago (2013-01-17)[55];
WhatsApp;iOS;Android;Windows Phone 8, Windows 10 Mobile;Symbian;BlackBerry;Facebook, Inc.;2009-08;Single-protocol;iOS 2.18.111 / December 15, 2018; 5 days ago (2018-12-15)[56] Android 2.18.380 / December 14, 2018; 6 days ago (2018-12-14)[57] Windows Phone 8, Windows 10 Mobile 2.18.52[58] Symbian 2.16.57[59] BlackBerry 2.17.2 / June 26, 2016; 2 years ago (2016-06-26)[60];iOS;Android;Windows Phone 8, Windows 10 Mobile;Symbian;BlackBerry;2.18.111 / December 15, 2018; 5 days ago (2018-12-15)[56];2.18.380 / December 14, 2018; 6 days ago (2018-12-14)[57];2.18.52[58];2.16.57[59];2.17.2 / June 26, 2016; 2 years ago (2016-06-26)[60];Freeware;
iOS;2.18.111 / December 15, 2018; 5 days ago (2018-12-15)[56];
Android;2.18.380 / December 14, 2018; 6 days ago (2018-12-14)[57];
Windows Phone 8, Windows 10 Mobile;2.18.52[58];
Symbian;2.16.57[59];
BlackBerry;2.17.2 / June 26, 2016; 2 years ago (2016-06-26)[60];
Wickr;Wickr Inc.;2012-06;Single-protocol;Android: 2.6.3 (March 1, 2016; 2 years ago (2016-03-01)) [±] iOS: 2.6.3 (March 1, 2016; 2 years ago (2016-03-01)) [±] Windows: 2.6.0 [±] Mac OS X: 2.6.0 [±] Linux: 2.6.0 [±];Trialware;
Windows Live Messenger;Microsoft;1999-07;Dual-protocol;2012 (v16.4.3508.205) (April 8, 2013; 5 years ago (2013-04-08)) [±];Discontinued (was freeware);
Wire;Wire Swiss GmbH;2014-12-03;Single-protocol;iOS: 2.2 Android: 2.3 OS X: 2.5 Windows: 2.6ch Web: 2016-04-08;GPLv3;
Xabber;Redsolution Inc.;2011;Single-protocol;iOS: 2.0.1[61];GPLv3;
Xfire;Xfire Inc.;2004;Dual-protocol;1.155 (March 20, 2013; 5 years ago (2013-03-20)) [±];Discontinued (was freeware);
Yahoo! Messenger;Yahoo!;1999-06-21;Dual-protocol;Windows: 11.5.0.228 OS X: 3.0.2 Unix: 1.0.4;Discontinued (was freeware);
Zephyr;Project Athena;1987;Single-protocol;2.0;MIT;
Client;Publisher;First public release;Type;Latest stable version;License;
