;Trident;Tasman;Gecko;WebKit;KHTML;Presto;
Interface HTMLCollection;
length;DOM1;7.0;?;1.0;?;?;1.0;
item();?;?;?;
namedItem();?;?;?;
Interface HTMLOptionsCollection;
length;DOM2;?;?;1.0;?;?;2.0;
item();?;?;?;?;
namedItem();?;?;?;?;
Interface HTMLDocument;
domain;DOM1;4.0;Yes;1.0;Yes;?;1.0;
URL;?;
body;?;
images;?;
applets;?;
isMap;?;?;
longDesc;8.0;?;?;?;2.0;
src;4.0;Yes;?;?;1.0;
useMap;?;?;
vspace;?;?;
width;?;?;
Interface HTMLObjectElement;
form;DOM1;?;?;1.0;?;?;1.0;
code;4.0;Yes;?;?;
align;?;?;
archive;?;?;?;?;
border;?;?;?;?;
codeBase;8.0;Yes;?;?;
codeType;4.0;?;?;
data;8.0;?;?;
declare;?;?;?;?;2.0;
height;4.0;Yes;?;?;1.0;
hspace;?;?;
name;?;?;
standby;?;?;?;?;
tabIndex;?;?;?;?;
type;4.0;Yes;?;?;
useMap;?;?;?;?;
vspace;4.0;Yes;?;?;
width;?;?;
contentDocument;DOM2;No;?;?;2.0;
Interface HTMLParamElement;
name;DOM1;?;?;1.0;?;?;1.0;
type;?;?;?;?;
value;?;?;?;?;
valueType;No;?;?;?;
Interface HTMLMapElement;
areas;DOM1;4.0;Yes;1.0;?;?;1.0;
name;?;?;
Interface HTMLAreaElement;
accesskey;DOM1;?;?;1.0;?;?;1.0;
alt;4.0;Yes;?;?;
coords;?;?;
hrefs;?;?;?;?;
noHrefs;?;?;?;?;
shape;4.0;Yes;?;?;
tabIndex;?;?;?;?;
target;4.0;Yes;?;?;
Interface HTMLScriptElement;
text;DOM1;4.0;0;1.0;?;?;1.0;
htmlFor (reserved for future use);Yes;?;?;No;
event (reserved for future use);?;?;2.0;
charset;?;?;?;?;1.0;
defer;4.0;Yes;?;?;
src;8.0;?;?;
type;4.0;?;?;
target;?;?;?;?;
Interface HTMLTableElement;
caption;DOM1;4.0;Yes;1.0;?;?;1.0;
tHead;?;?;
tFoot;?;?;
rows;?;?;
tBodies;?;?;
align;?;?;
bgColor;?;?;
border;?;?;
cellPadding;No;?;
cellSpacing;?;?;
frame;?;?;
rules;No;?;?;
summary;6.0;?;?;
width;4.0;Yes;?;?;
createTHead();?;?;
deleteTHead();?;?;
createTFoot();?;?;
deleteTFoot();?;?;
createCaption();?;?;
deleteCaption();?;?;
insertRow();?;?;
deleteRow();?;?;
Interface HTMLTableCaptionElement;
align;DOM1;5.0;Yes;1.0;?;?;1.0;
Interface HTMLTableColElement;
align;DOM1;4.0;Yes;1.0;?;?;1.0;
ch;6.0;No;?;?;2.0;
chOff;?;?;
span;5.0;Yes;?;?;1.0;
vAlign;4.0;?;?;
width;5.0;0;?;?;
Interface HTMLTableSectionElement;
align;DOM1;4.0;Yes;1.0;?;?;1.0;
ch;6.0;No;?;?;2.0;
chOff;?;?;
vAlign;4.0;Yes;?;?;1.0;
rows;?;?;
insertRow();?;?;
deleteRow();?;?;
Interface HTMLTableRowElement;
rowIndex;DOM1;4.0;Yes;1.0;?;?;1.0;
sectionRowIndex;?;?;
cells;?;?;
align;?;?;
bgColor;?;?;
ch;6.0;No;?;?;2.0;
chOff;?;?;
vAlign;4.0;Yes;?;?;1.0;
insertCell();?;?;
deleteCell();?;?;
Interface HTMLTableCellElement;
cellIndex;DOM1;4.0;Yes;1.0;Incorrect;?;1.0;
abbr;6.0;?;?;2.0;
align;4.0;?;?;1.0;
axis;6.0;?;?;
bgColor;4.0;?;?;
ch;6.0;No;?;?;2.0;
chOff;?;?;
colSpan;4.0;Yes;?;?;1.0;
headers;6.0;?;?;
height;4.0;?;?;
noWrap;?;?;
rowSpan;?;?;
scope;?;?;?;?;
vAlign;4.0;Yes;?;?;
width;?;?;
Interface HTMLFrameSetElement;
cols;DOM1;4.0;Yes;1.0;?;?;1.0;
rows;?;?;
Interface HTMLFrameElement;
frameBorder;DOM1;4.0;Yes;1.0;?;?;1.0;
longDesc;8.0;?;?;
marginHeight;6.0;?;?;
marginWidth;?;?;
name;4.0;?;?;
noResize;?;?;
scrolling;?;?;
src;8.0;?;?;
contentDocument;DOM2;No;Yes;1.0;?;?;1.0;
Interface HTMLIFrameSetElement;
align;DOM1;4.0;Yes;1.0;?;?;1.0;
frameBorder;?;?;?;?;
height;4.0;Yes;?;?;
longDesc;8.0;?;?;
marginHeight;4.0;?;?;
marginWidth;?;?;
name;?;?;
scrolling;?;?;
src;8.0;?;?;
width;4.0;?;?;
contentDocument;DOM2;No;?;?;
