Name;Developer;Software license;Latest stable software release;Operating system;Year (not dynamic, but easier for sorting);
KGet;KDE;GPL;4.14.3 (November 11, 2014; 4 years ago (2014-11-11)) [±][14];Linux;2014;
KTorrent;Joris Guisson, Ivan Vasi?;GPL;5.1.1 (August 28, 2018; 3 months ago (2018-08-28)[15]) [±];Linux;2017;
Lftp;Alexander V. Lukya;GPL;4.8.4 (August 1, 2018; 4 months ago (2018-08-01)[16]) [±];Linux;2018;
LimeWire;Lime Wire LLC;GPL;5.5.16 (September 30, 2010; 8 years ago (2010-09-30)) [±];Windows, macOS, Linux;2010;
Meerkat Bittorrent Client;47 Software;Proprietary;1.5.8 (August 28, 2011; 7 years ago (2011-08-28)) [±];Windows;2011;
Miro;Participatory Culture Foundation;GPL;6.0 (April 16, 2013; 5 years ago (2013-04-16)) [±][17];Windows, macOS, Linux;2013;
MLDonkey;MLDonkey Project;GPL;3.1.5 (March 22, 2014; 4 years ago (2014-03-22)[18]) [±];Windows, macOS, Linux, MorphOs;2014;
µTorrent;Ludvig Strigeus;Proprietary, Adware [a];Microsoft Windows: 3.5.4 (build 44846) (November 14, 2018; 34 days ago (2018-11-14)) [±][19][20] macOS for Intel: 1.8.7 (build 43796) (December 6, 2017; 12 months ago (2017-12-06)) [±][21][22] macOS for PPC: 1.6.5 (build 27624) (May 15, 2015; 3 years ago (2015-05-15)) [±][21][23] Android: 5.3.3 (September 4, 2018; 3 months ago (2018-09-04)) [±][24][25];Windows, macOS, Android;2018;
OneSwarm;University of Washington;GPL;0.7.5 (May 23, 2011; 7 years ago (2011-05-23)[26]) [±];;2011;
Opera 12;Opera Software;Proprietary;Windows (Presto) – 12.17 Linux, FreeBSD, macOS – 12.16;Windows, macOS, Linux;2016;
qBittorrent;Christophe Dumez;GPL;4.1.3 (September 18, 2018; 2 months ago (2018-09-18)) [±][27] [28];Windows, macOS, Linux, BSD;2018;
rTorrent;Jari Sundell;GPL;rTorrent 0.9.7 / libTorrent 0.13.7 (June 6, 2018; 6 months ago (2018-06-06)) [±][29];Linux;2018;
Robert;Sponge, co-developer of I2P;GPL;Template:Latest stable software release/Robert (P2P software);;2009;
Shareaza;Shareaza Development Team;GPL;2.7.10.2 (September 18, 2017; 14 months ago (2017-09-18)[30]) [±];Windows;2017;
SymTorrent;Imre Kelényi;GPL;1.51 (October 23, 2012; 6 years ago (2012-10-23)[31]) [±];Symbian;2012;
Tixati;Kevin Hearn;Proprietary;2.58 (July 7, 2018; 5 months ago (2018-07-07)[32]) [±];Windows, Linux;2018;
Tomato Torrent;Sarwat Khan;BT OSL;1.5.1 (October 27, 2007; 11 years ago (2007-10-27)[33]);macOS;2007;
Tonido;CodeLathe;Proprietary;3.62.0.21836 (December 31, 2012; 5 years ago (2012-12-31)) [±];Windows, macOS, Linux, BSD;2012;
TorrentFlux;various;GPL;2.4 (June 18, 2008; 10 years ago (2008-06-18)[34]) [±];PHP Server;2008;
Transmission;various;GPL/MIT;2.94 (May 1, 2018; 7 months ago (2018-05-01)) [±][35];Windows, macOS, Linux;2018;
Tribler;The Tribler Team;LGPL;7.1.0 (October 9, 2018; 2 months ago (2018-10-09)) [±][36];Windows, macOS, Linux, Android;2018;
Vuze (formerly Azureus);Vuze;Proprietary (platform), GPL (core engine), Adware;5.7.6.0 (November 2, 2017; 13 months ago (2017-11-02)) [±][37];Windows, macOS, Linux, Android;2017;
Xunlei;Thunder Networking Technologies;Proprietary;Microsoft Windows: 9.1.43.938 (10 November 2017; 13 months ago (2017-11-10)) [±][38] macOS: 3.1.7.3266 (27 October 2017; 13 months ago (2017-10-27)) [±][38] iOS: 5.20 (18 June 2016; 2 years ago (2016-06-18)) [±][38] Android: 5.33 (28 February 2017; 21 months ago (2017-02-28)) [±][38];Windows, macOS, Android, iOS;2017;
Name;Developer;Software license;Latest stable software release;;Year;
