;Description;Creator;First public release date;Latest stable version;Latest Stable Release Date;List Price (USD);Software license;
Corel PHOTO-PAINT;Professional image editor and graphics creator with advanced features;Corel Corporation;1992;X7/17;;;Proprietary;
darktable;Photography workflow application and raw developer;Johannes Hanika;April 2009;2.0;;;GPL 3;
Deluxe Paint*;Discontinued basic editor;Dan Silva;1985;5;;;Proprietary;
Deneba Canvas;Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.;Jorge Miranda, Joaquin de Soto, Manny Menendez;September 1987;14;;;Proprietary;
DigiKam;Free photo organizer and image editor;Renchi Raju, Gilles Caulier;2002;4.10.0;;;GPL;
Digital Photo Professional;Photo organizer and image editor from Canon;Canon Inc.;;4.2.10;;;Proprietary;
Erdas Imagine;Advanced remote sensing and GIS ability; handles multispectral images;ERDAS, Inc.;1980;2016 (16);June 14, 2016;;Proprietary;
Fatpaint;Full featured web-based graphic design and photo editing application;Mersica Inc.;2010;1.99.55;;;Freeware;
Fotografix;Freeware, portable image editor;L. Madhavan;April 14, 2009;1.5;;;Freeware;
F-Spot;Image viewer and organizer for GNOME;Ettore Perazzoli;2005;0.8.2;;;GPLv2;
G'MIC;Free command line software for 2D or 3D image processing and visualization;David Tschumperlé;October 2008;1.7.9;;;CeCILL;
GIMP;Free image editor and graphics creator;Spencer Kimball, Peter Mattis;January 1996;2.10.0;April 27, 2018;;GNU (L)GPLv3+ v2.7+[2];
GimPhoto;Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop.;Ek Kian;;1.4.3;;;GPLv2;
GIMPshop;GIMP with a GUI similar to Adobe Photoshop;Scott Moschella;;2.2.11;;;GPL;
GNU Paint;Free and open-source raster graphics editor;Andy Tai;September 10, 2007;0.3.3;;;GPL;
GrafX2;GrafX2 with a GUI similar to Deluxe Paint;Sunset Design (Guillaume Dorme, Karl Maritaud);1996;2.5;May 19, 2018;;GPL;
GraphicConverter;Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins;Thorsten Lemke;1992;10;;;Proprietary;
GraphicsMagick;Commandline image converter and editor;GraphicsMagick Group;2002;1.3.21;;;MIT;
gThumb;Image viewer and organizer for the GNOME desktop environment;Paolo Bacchilega;2001;3.4.0;;;GPL3;
HDR PhotoStudio;HDR (High Dynamic Range Editor) with human vision imaging model;Unified Color;October 2009;2.15.37;;;Proprietary;
Helicon Filter;Advanced image editor with a simplified tabbed interface;Helicon Soft Ltd.;August 2004;5.0.28;;;Proprietary;
ImageJ;Image processing program developed at the National Institutes of Health.;Wayne Rasband (NIH);1997;1.46m;;;Public Domain;
ImageMagick;Command line software suite for displaying, converting, and editing raster image files;ImageMagick Studio LLC;1990;6.7.7-7;;;Apache 2.0;
iPhoto*;Image organizer and basic editor for macOS; replaced by Photos;Apple Inc.;2002;9.6;;;Proprietary;
IrfanView;Image and video viewer with basic editing functions;Irfan Skiljan;1996;4.44[3];December 20, 2016;;Freeware;
Iridient Developer;Powerful raw image conversion application designed and optimized for macOS;Iridient Digital;2004;3.0.3;;;Proprietary;
Kolourpaint;;KDE;2004;1.2.2;;;BSD;
Krita;Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.;KDE;2005;4.1.1;July 17, 2018;;GPL;
LazPaint;Free multiplatform layered image editor;circular;2011;6.2;;;GPL;
LiveQuartz;Basic multi-layer photo editor;Romain Piveteau;2005;2.8;December 1, 2018;;Proprietary;
MacPaint*;Obsolete basic editor;Bill Atkinson;1984;2.0;;;Proprietary;
Microsoft Office Picture Manager*;Basic image editor;Microsoft;2002;14.0;;;Proprietary;
Microsoft Paint;Basic graphic creator and editor packaged with Microsoft Windows operating systems;Microsoft;1985;6.1;;;Proprietary;
Microsoft Photo Editor*;Obsolete basic image editor for Windows;Microsoft;2000;3.01;;;Proprietary;
MyPaint;Digital painting Application;Martin Renold;March 12, 2005;1.2.1;January 21, 2017;;GPL2;
OpenCanvas;;Portalgraphics;2000;4;;;Proprietary;
paint.net;Freeware image editor and graphics creator based on the .Net framework;Rick Brewster, et al.;May 6, 2004;4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP);October 2, 2017;;Freeware[4][5];
PC Paintbrush*;Obsolete basic editor;ZSoft Corporation;1984;5;;;Proprietary;
Pencil2D;2D graphical animation software.;Pascal Naidon;;0.4.4;;;GPL;
Phatch;Editor for batch processing digital graphics and photographs.;Stani Michiels;;0.2.7;;;GPL;
Photofinish*;;ZSoft Corporation;1993;2;;;Proprietary;
Photogenics;Made to create 32-bit HDRs;Idruna Software Inc.;1995;HDR 7.0;;;Proprietary;
PhotoLine;Image editor with advanced features;Computerinsel (Germany);1995;20.53;2018;€59;Proprietary;
PhotoPerfect*;Image editor with some advanced features;Arcadia Software AG, Joachim Koopmann Software;2002;2.9;;;Proprietary;
Photos;Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards;Apple Inc.;2014;1.0;;;Proprietary;
Photo Raster;Advanced online photo editor;David Levinsky;2012;0.9;;;Proprietary;
Picasa*;Efficient image organizer with basic editing tools, other image effects;Google;2002;3.9.141.259;October 9, 2015;Discontinued;Freeware;
PicMaster;Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more;Alexander Sabov;December 1999;4.03;;;Proprietary;
Pinta;Mid-level Free and Open Source raster graphics editor, based on Paint.Net;Jonathan Pobst;February 7, 2010;1.5;;;MIT;
PixBuilder Photo Editor;;WnSoft Graphic Software;June 2005;1.31;;;Proprietary;
Pixelmator;Image editor and graphics creator for macOS;Pixelmator Team ltd.;September 25, 2007;3.0;;;Proprietary;
Pixen;Pixel art and sprite editor for macOS;Open Sword Group;;3.8;;;Proprietary;
Pixia;Originally designed for Anime/Manga art.;Isao Maruoka;1998;4.70d;;;Proprietary;
PMview;Fast image viewer with basic editing functions;Peter Nielsen;1992};3.80 (2017);;;Proprietary;
Project Dogwaffle;Dan Ritchie retired but others continue active development[6];Dan Ritchie;1997;2011 (7.0) (1.2 available as freeware);;;Proprietary;
QFX;Mature and complete image editing package;Ron Scott;1990;8;;;Proprietary;
Rawstudio;Raw image processor.;Anders Brander & Anders Kvist;June 22, 2006;2.0;;;GPL 2;
RawTherapee;Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.;Gabor Horvath;September 21, 2006;4.0.11;;;GPL;
Seashore;Basic counterpart to GIMP, using its XCF format; full support for a few graphics formats;Mark Pazolli;June 2007;0.1.9;;;GPLv3;
Serif PhotoPlus;Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use;Serif;1999;X8;August 10, 2015;;Proprietary;
Shotwell;Image organizer for GNOME;Yorba Foundation;June 26, 2009;0.12.3;;;LGPL 2.1;
Tux Paint;Drawing program for young children.;Bill Kendrick;June 16, 2002;0.9.21;;;GPL;
TVPaint;2D animation software;Herve ADAM;June 16, 1991;9.5.11;;;Proprietary;
UFRaw;Raw image format processor;Udi Fuchs;;0.22;;;GPL;
Ulead PhotoImpact*;;Ulead Systems;;12;;;Proprietary;
Ultimate Paint*;Basic graphics editor based on Deluxe Paint;Joseph Ladanyi, Daniel Szabo;1998;2.88;;;Proprietary;
WinImages;Animation-centric;Black Belt Systems;1985;7.5;;;Proprietary;
Xara Photo & Graphic Designer;Graphic design program including photo editing and vector illustration tools;Xara;1995 (Windows);9;;;Proprietary;
XnView;Cross-platform image viewer used for converting, organising and editing graphical & video files.;Pierre-emmanuel Gougelet;1998 (1.06);2.20 (Windows)/0.64 (Linux, macOS);;;Proprietary;
XPaint;Simple Drawing program for Unix/X11 with Xaw3d widgets;David Koblas, Torsten Martinsen, Jean-Pierre Demailly;1993;2.9.10.3;;;Custom free license;
Zoner Photo Studio;All-in-one editor package;Zoner Inc.;;11.0 build 8;;;Proprietary;
