IRCjr;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Ircle;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Irssi;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
KiwiIRC;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Konversation;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};
KVIrc;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|Supported_Via_Scripting}};{{yes}}{{r|group=Note|Supported_Via_Scripting}};{{yes}}{{#tag:ref|Incompatible with other IRC clients[50]|name=voice|group=Note}};
LimeChat;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Linkinus;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mibbit;{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
mIRC;{{yes}};{{dunno}};{{yes}};{{yes}}{{#tag:ref|Supports the DCC Resume protocol[51]|name=dcc|group=Note}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}}{{#tag:ref|Supported via a script[52]|name=script|group=Note}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}}{{r|group=Note|script}};{{dunno}};
Nettalk;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{partial}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Opera;{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
PIRCH;{{yes}};{{no}};{{yes}};{{yes}}{{r|group=Note|dcc}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
PJIRC;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Quassel;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
qwebirc;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
rcirc;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Smuxi;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Snak;{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Visual IRC;{{dunno}};{{yes}};{{dunno}};{{yes}}{{r|group=Note|dcc}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}}{{r|group=Note|voice}};
WeeChat;{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
XChat;{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}}{{#tag:ref|Supported via scripts and plugins[53]|name=DCCXChatA|group=Note}};{{dunno}};
Client;CHAT;Whiteboard;SEND;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;VOICE;
