;ZIP;TAR;gzip;bzip2;7z;xz;RAR;LHA/LZH;ACE;StuffIt;StuffIt X;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
PeaZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};
PKZIP;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};
PowerArchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
Star;{{no}};{{yes}};{{yes}}{{Ref label|tar-compression-w|1}};{{yes}}{{Ref label|tar-compression-w|1}};{{yes}}{{Ref label|tar-compression-w|1}};{{yes}}{{Ref label|tar-compression-w|1}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
StuffIt{{Ref label|StuffIt-only|4}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{no}}{{Ref label|StuffIt|9}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};
TUGZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}}{{Ref label|writing-tugzip|2}};{{yes}};{{no}}{{Ref label|writing-tugzipace|4}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{unk}};{{no}};
WinAce;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{yes}};{{unk}};{{yes}};{{no}};
WinRAR;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
WinZip;{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}}{{Ref label|writing-winzip|3}};{{no}};{{unk}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Xarchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}}{{Ref label|writing-xarchiver|11}};{{yes}};{{no}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};
ZipGenius;{{yes}};{{yes}}{{Ref label|zipgenius-updating|7}};{{yes}}{{Ref label|zipgenius-updating|7}};{{yes}}{{Ref label|zipgenius-updating|7}};{{yes}};{{unk}};{{no}};{{yes}}{{Ref label|zipgenius-external|8}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{yes}}{{Ref label|zipgenius-updating|7}};{{no}};{{no}};{{no}};
! ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
