Comodo Backup;{{yes}};{{no}};{{no}};;;{{yes}}[19];{{no}};?;{{yes}};{{no}};{{yes}} (5);;Comodo Backup;{{no}};{{no}};;{{no}};;{{USA}};{{no}};;;;;
CrashPlan;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[20];{{yes}}, except for web restore[21];{{yes}};{{no}};{{yes}};{{no}};{{yes}}[22];CrashPlan;{{no}};{{no}};{{yes}}[23];{{no}};{{yes}};{{USA}}, {{AUS}}[24];{{no}};{{yes|No Limit}};{{yes}}[25];{{no}};;
Dropbox;{{yes}};{{partial|Does not work on other filesystems than ext4}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}}[26];?;;;{{yes}};;Dropbox;{{no}};{{yes}};{{yes}};{{yes}};;;{{yes|2 GB}};;;;;
Dropmysite;{{yes}};{{yes}};{{yes}};;;{{yes}};{{no}};?;{{yes}};{{no}};{{no}};{{yes}};Dropmysite;;{{yes}};{{yes}};{{yes}};;Global;{{yes|2 GB}};{{yes|No limit}};;{{dunno}};;
Egnyte;{{yes}};{{yes}};{{yes}};;;{{optional}}[27];{{optional}}[27];?;;;;;Egnyte;{{yes}}[28];{{yes}};{{yes}};{{yes}};;{{USA}};{{no}};{{yes|No limit}};;?;;
ElephantDrive;{{yes}};{{yes}}[29];{{yes}};{{yes}}[30];;{{yes}};{{optional}} (off by default) [31];?;{{yes}};{{no}};;;ElephantDrive;{{yes}}[32];{{yes}}[33];{{yes}};{{yes}}[34];;{{USA}};{{yes|2 GB}};;{{yes}};?;{{no}}, Amazon AWS[35][36];
FilesAnywhere;{{yes}};{{partial}};{{yes}};{{yes}}, via Storage Made Easy client;{{yes}}, via Storage Made Easy client;{{optional}}[37];{{no}}[38];?;{{yes}};{{no}};{{yes}};{{yes}};FilesAnywhere;{{yes}}[39];{{yes}};{{yes}};{{yes}};{{yes}};{{USA}};{{yes|1 GB}};{{yes|No limit}};{{yes}};;;
Provider;Win.{{ref|1|1}};Linux{{ref|1|1}};Mac{{ref|1|1}};Android{{ref|1|1}};iOS{{ref|1|1}};Encrypted storage;Zero knowledge{{ref|2|2}};Secure Key Management{{ref|3|3}};Limited MB plan{{ref|4|4}};Unlimited MB plan{{ref|4|4}};$/MB plan{{ref|4|4}};Unlimited BW {{ref|16|16}};Provider;Cloud hosted Net Drive{{ref|5|5}};Sync{{ref|7|7}};Autodetect changes{{ref|12|12}};Public file hosting{{ref|8|8}};physical media restore{{ref|9|9}};Server location{{ref|10|10}};Free online storage (non-trial){{ref|13|13}};Maximum per-file size;External hard drive support{{ref|14|14}};Hybrid Option{{ref|15|15}};Green Hosting;
Google Drive;{{yes}};{{no}}, no provider-sanctioned Linux support.[40][41][42];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};?;;{{yes}} (Enterprise Only) [43];{{yes}};{{yes}};Google Drive;{{no}};{{yes}};{{yes}};{{yes}};;{{USA}}, Worldwide;{{yes|15 GB}};{{no|5 TB[44]}};;;{{partial}}: 34%[45];
IASO Backup;{{yes}};{{yes}};{{yes}};;{{yes}}[46];{{yes}}[46];{{yes}};?;{{yes}};{{no}};{{yes}};;IASO Backup;{{no}};{{no}};{{no}};{{yes}};;{{USA}}, Worldwide;{{no}};{{yes|No limit}};{{yes}};{{yes}};;
iCloud;{{yes}};{{yes}}, via Storage Made Easy client;{{yes}};{{yes}}, via Storage Made Easy client;{{yes}};{{yes}};{{no}};?;{{no}};{{no}};{{yes}};;iCloud;{{dunno}};{{yes}};{{dunno}};{{dunno}};;unknown;{{yes|1 GB (everyone) <ref ... if they don't have access to an Apple device ... 1 GB of free storage for any notes and documents you create. https://support.apple.com/en-us/HT204174 5 GB (Apple users only)}} [47];;;;{{yes}}, 94%[35];
iDrive;{{yes}};{{yes}}, but you have to manually run perl scripts.[48];{{yes}};{{yes}};{{yes}};{{yes}}[49];{{no}};;{{no}};{{no}};{{yes}}[50];;iDrive;;{{yes}};{{yes}};{{yes}};{{yes}};unknown;{{yes|5 GB}};;{{yes}};;;
Infrascale;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{optional}};{{optional}};{{yes}};{{yes}};{{no}};{{yes}};Infrascale;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{USA}}, {{CAN}}, {{UK}}, {{ZAF}}, {{AUS}}, {{NZ}}, {{JAM}};{{no}};{{yes|No limit}};{{yes}};{{optional}};;
Iperius Online Storage;{{yes}};{{no}};{{no}};;;{{yes}}[51];{{Optional}}[51];?;{{yes|50, 100, 200, 500 GB}};{{no}};{{no}};{{yes}};Iperius Online Storage;;{{yes}};{{yes}};{{no}};Iperius Online Storage;;;{{yes|No limit}};;;;
Intronis;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};configurable;{{yes}};{{no}}[52];{{yes}};{{yes}};Intronis;{{yes}};{{yes}}[53];{{yes}};{{no}};{{yes}}[54];{{USA}}, {{CAN}};{{no}};{{yes|No limit}};{{yes}};{{optional}};{{yes}};
Jumpshare;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}}[55];;;{{yes}};{{no}};{{no}};{{yes}}[56];Jumpshare;;{{yes}};{{yes}};{{yes}};{{no}};{{USA}}, {{EUR}};{{yes|2 GB}};{{yes|250 MB on free, Unlimited on Jumpshare Plus}};;;{{yes}};
Provider;Win.{{ref|1|1}};Linux{{ref|1|1}};Mac{{ref|1|1}};Android{{ref|1|1}};iOS{{ref|1|1}};Encrypted storage;Zero knowledge{{ref|2|2}};Secure Key Management{{ref|3|3}};Limited MB plan{{ref|4|4}};Unlimited MB plan{{ref|4|4}};$/MB plan{{ref|4|4}};Unlimited BW {{ref|16|16}};Provider;Cloud hosted Net Drive{{ref|5|5}};Sync{{ref|7|7}};Autodetect changes{{ref|12|12}};Public file hosting{{ref|8|8}};Physical media restore{{ref|9|9}};Server location{{ref|10|10}};Free online storage (non-trial){{ref|13|13}};Maximum per-file size;External hard drive support{{ref|14|14}};Hybrid Option{{ref|15|15}};Green Hosting;
Jungle Disk;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[57];{{yes}}[57];{{yes}};;;{{yes}};{{yes}};Jungle Disk;{{yes}}[58];{{yes}};{{yes}};{{yes}};;{{USA}}, {{EUR}};{{no}};{{yes|No limit in Backup Vault}};{{yes}};;{{partial}}, Amazon AWS[35][59] or Rackspace Cloud Files.;
KeepVault;{{yes}};{{no}};{{no}};;;{{yes}}[60];{{yes}}[61];?;{{yes}};{{no}};{{yes}};;KeepVault;;;{{yes}};;;{{USA}};;{{no|20 GB}};;;;
Livedrive;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};?;{{yes}};{{yes|Online Backup only}};{{no}};{{yes}};Livedrive;{{yes}} (paid-only)[62];{{yes}};{{yes}};{{yes}};{{yes}};{{UK}};{{no}};{{good|No limit}};{{yes}};;;
MediaFire;{{yes}};{{no | Upload only [1]}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};?;{{yes}};{{no}};{{yes}};{{yes}};MediaFire;{{no}};{{yes}};{{yes}};{{yes}};;{{USA}};{{yes|10 GB}};{{yes|No Limit}};{{no}};{{no}};;
Mega;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[63];{{yes}};{{no}};{{yes}};{{yes}};Mega Ltd.;{{no}};{{yes}};{{yes}}, using MEGAsync client;{{yes}};{{no}};{{EUR}}, {{NZ}};{{yes|15 GB + 35 GB first 30 days}};{{yes|No limit}};{{no}};{{no}};;
Memopal;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[64];{{no}}[65];?;;;{{yes}};;Memopal;;{{yes}};;{{yes}};{{yes}};{{USA}}, {{EUR}}, Asia;{{yes|3 GB}};{{no|5 GB}};;;;
MiMedia;{{Yes}};{{No}};{{No}};;;{{Yes}}[66];{{no}};?;{{Yes}};{{No}};{{Yes}};{{Yes}};MiMedia;{{No}}[67];{{No}};{{Yes}};{{No}};{{No}};{{USA}};{{yes|7 GB}};{{no|3 GB}};{{Yes}};;;
Mozy;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[68];{{optional}}[68];?;{{yes}};{{no}};;;Mozy;;{{yes}};{{yes}};;{{yes}};{{USA}}, {{EUR}};{{yes|2 GB}};{{yes|No limit}} [69];{{yes}};{{No}};;
OneDrive;{{yes}};{{no}}, see note[70];{{yes}};{{yes}}[71];{{yes}};{{no}}[72];{{no}};?;{{yes}};{{no}};;;OneDrive;{{no}};{{yes}};;;;;{{yes|5 GB for new users, 25 GB for older users}};{{no|10 GB}};;;{{partial}}, 29%[35];
SpiderOak;{{yes}};{{yes}};{{yes}};{{partial|Download Only}};{{partial|Download Only}};{{yes}}[73];{{yes}}[74];?;{{yes}};{{yes|Business only}} (min 10 users);{{yes}};{{yes}};SpiderOak;{{no}}[75];{{yes}};{{yes}};{{yes}};;;{{No|(2 GB free for 60 days only)}};{{yes|No limit}};{{yes}};{{yes}}[76];;
Provider;Win.{{ref|1|1}};Linux{{ref|1|1}};Mac{{ref|1|1}};Android{{ref|1|1}};iOS{{ref|1|1}};Encrypted storage;Zero knowledge{{ref|2|2}};Secure Key Management{{ref|3|3}};Limited MB plan{{ref|4|4}};Unlimited MB plan{{ref|4|4}};$/MB plan{{ref|4|4}};Unlimited BW {{ref|16|16}};Provider;Cloud hosted Net Drive{{ref|5|5}};Sync{{ref|7|7}};Autodetect changes{{ref|12|12}};Public file hosting{{ref|8|8}};physical media restore{{ref|9|9}};Server location{{ref|10|10}};Free online storage (non-trial){{ref|13|13}};Maximum per-file size;External hard drive support{{ref|14|14}};Hybrid Option{{ref|15|15}};Green Hosting;
SugarSync;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}}[77];{{no}}[78];?;{{yes}};{{no}};{{no}};;SugarSync;;{{yes}};{{yes}};{{yes}} (SugarSync account needed for folders);;;{{no}};{{no|100 MB (web) No limit (client app)[79]}};;;;
Syncplicity;{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{yes}}[80];{{no}}[80];?;;;{{Yes}};;Syncplicity;;{{Yes}};{{Yes}};{{Yes}};;{{USA}};{{yes|10 GB}};;;;;
Tarsnap;{{yes | Yes via Cygwin}};{{yes}};{{yes}};{{no}};{{no}};Yes;{{yes}}[81];?;{{no}};{{no}};{{yes}};;Tarsnap;{{no}};;;;;;{{no}};;;;{{no}}, Amazon AWS[35][82];
Tencent Weiyun;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};?;{{no}};{{no}};{{yes}};;Tencent;;{{yes}};{{yes}};{{yes}};;{{CHN}};{{yes | 10 GB }};{{no|1 GB (free), 20 GB (paid)}};;{{dunno}};;
Trend Micro SafeSync;{{yes}};{{partial}};{{yes}};{{yes}}, via Storage Made Easy client;{{yes}}, via Storage Made Easy client;;{{no}};?;;;{{yes}};;Trend Micro SafeSync;{{yes}}{{citation needed|date=June 2014}};{{yes}};;{{yes}};;{{UK}};;;;;;
Tresorit;{{yes}};{{yes}}[83];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[84];{{yes}};{{no}};{{yes}};{{yes}};Tresorit;{{yes}}[85];{{yes}};{{yes}};{{yes}};{{no}};{{EUR}}[86];{{yes|3 GB}}[87];{{no|0.5 GB (free), 10 GB (paid)}}[88];{{yes}};{{no}};;
Unitrends Vault2Cloud;{{yes}};{{yes}};{{yes}};;;{{yes}}[89];{{no}};?;{{no}};{{yes}};{{yes}};;Unitrends Vault2Cloud;{{yes}}{{citation needed|date=June 2014}};{{yes}};;{{no}};{{yes}};{{USA}};{{no}};;;;;
UpdateStar Online Backup;{{yes}};{{no}};{{no}};;;{{yes}}[90];{{no}}[91];?;{{yes}}[92];{{yes}};;;UpdateStar Online Backup;;;;;;{{EUR}};;;;;;
Yandex.Disk;{{yes}};{{yes}}[93];{{yes}};{{yes}};{{yes}};{{no}}[94];{{no}};?;{{yes}};;;;Yandex.Disk;{{yes}}[95];{{yes}};{{yes}};{{yes}};;{{RUS}};{{yes|10 GB}};{{no|50 GB}};;;;
Zetta.net;{{yes}}[96];{{yes}};{{yes}};;;{{yes}};{{no}};?;{{yes}};{{no}};{{yes}}[97];{{yes}};Zetta.net;{{yes}}[98];{{yes}};{{yes}};{{no}};{{yes}};{{USA}}[99];{{no}};{{yes|No limit}};{{yes}};{{yes}};;
Zmanda Cloud Backup;{{yes}};{{no}};{{no}};;;{{optional}}[100];{{optional}}[100];?;;;{{yes}};;Zmanda Cloud Backup;{{yes}}{{citation needed|date=June 2014}};;;;{{yes}};{{USA}}, {{EUR}}, {{SIN}}, {{JPN}};;{{yes|No limit}};{{yes}};{{yes}};{{partial}}, Amazon AWS or Google Cloud Storage[35][101];
Provider;Win.{{ref|1|1}};Linux{{ref|1|1}};Mac{{ref|1|1}};Android{{ref|1|1}};iOS{{ref|1|1}};Encrypted storage;Zero knowledge{{ref|2|2}};Secure Key Management{{ref|3|3}};Limited MB plan{{ref|4|4}};Unlimited MB plan{{ref|4|4}};$/MB plan{{ref|4|4}};Unlimited BW {{ref|16|16}};Provider;Cloud hosted Net Drive{{ref|5|5}};Sync{{ref|7|7}};Autodetect changes{{ref|12|12}};Public file hosting{{ref|8|8}};physical media restore{{ref|9|9}};Server location{{ref|10|10}};Free online storage (non-trial){{ref|13|13}};Maximum per-file size;External hard drive support{{ref|14|14}};Hybrid Option{{ref|15|15}};Green Hosting;
