Rank;Country and (Argentine provinces);Intl. $;
147;{{flag|Senegal}};1,739;
148;{{flag|Kenya}};1,712;
149;{{flag|Chad}};1,663;
150;{{flag|Côte d'Ivoire}};1,643;
151;{{flag|Benin}};1,608;
152;{{flag|Ghana}};1,518;
153;{{flag|Zambia}};1,482;
154;{{flag|Bangladesh}};1,399;
155;{{flag|The Gambia}};1,395;
156;{{flag|Tanzania}};1,353;
157;{{flag|Haiti}};1,317;
158;{{flag|Lesotho}};1,305;
159;{{flag|Burkina Faso}};1,268;
160;{{flag|Comoros}};1,157;
161;{{flag|Burma}};1,156;
162;{{flag|Uganda}};1,147;
163;{{flag|Nepal}};1,144;
164;{{flag|Mali}};1,129;
165;{{flag|Rwanda}};1,043;
166;{{flag|Guinea}};1,014;
167;{{flag|Madagascar}};996;
168;{{flag|Mozambique}};903;
169;{{flag|Ethiopia}};898;
170;{{flag|Malawi}};836;
171;{{flag|Togo}};812;
172;{{flag|Afghanistan}};760;
173;{{flag|Eritrea}};748;
174;{{flag|Central African Republic}};740;
175;{{flag|Niger}};740;
176;{{flag|Sierra Leone}};725;
177;{{flag|Guinea-Bissau}};486;
178;{{flag|Burundi}};390;
179;{{flag|Liberia}};373;
180;{{flag|Democratic Republic of the Congo}};330;
181;{{flag|Zimbabwe}};268;
