LibreCMC;{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
Mandriva Linux One;{{nts|700}};{{nts|128}} to {{nts|768}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Manjaro Linux;{{nts|473}} to {{nts|2,200}}[153];{{nts|256}} to {{nts|1024}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
MEPIS;{{nts|700}} to {{nts|4000}};{{nts|128}} to {{nts|512}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Musix GNU+Linux;{{nts|2000}};{{dunno}};{{No}};{{Yes}};{{Yes}};{{Yes}};
Nanolinux;{{nts|18}};{{nts|64|prefix=?}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
openGEU;{{nts|700}};{{nts|192}} to {{nts|512}};{{Yes}};;{{Yes}};;
openSUSE (Not 42.1);{{nts|700}};{{nts|128}} to {{nts|768}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
OpenWrt;{{nts|4|prefix=min }};{{nts|16|prefix=min }};{{No}};{{No}};{{No}};{{No}};
Parabola GNU/Linux-libre;{{nts|400}} to {{nts|3300}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};
Pardus;{{nts|1256}} to {{nts|1276}};{{nts|256}} to {{nts|1024}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
PCLinuxOS;{{nts|130}} to {{nts|700}};{{nts|96}} to {{nts|512}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Pentoo;{{nts|666}} and {{nts|700}};{{nts|48}} to {{nts|96}};{{Yes}};{{Yes}};{{Yes |By hand}}[154];{{Yes |By hand}};
Porteus;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{Yes}};
Puppy Linux (Slacko);{{nts|235}};{{nts|32}} to {{nts|192}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Puredyne;{{nts|542}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Sabayon Linux Live CD;{{nts|695}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Sabayon Linux Live DVD;{{nts|2400}};;{{no}};{{Yes}};{{Yes}};{{Yes}};
Scientific Linux;{{nts|431}} to {{nts|2300}}[155];{{nts|640}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Slax;{{nts|200}};{{nts|96}} to {{nts|320}};{{Yes}};{{Yes}};;{{Yes}};
Solus;{{nts|1200}};{{nts|1024}};{{No}};{{Yes}};{{Yes}};{{Yes}};
SystemRescueCD;{{nts|459}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
SliTaz GNU/Linux;{{nts|35}};{{nts|24}} to {{nts|192}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Tails;{{nts|900|prefix=?}};{{nts|1024|prefix=?}};{{No}};{{Yes}};{{Yes}};{{Yes}} (when run from DVD);
Tiny Core Linux;{{nts|16}};{{nts|46}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Tiny SliTaz;{{nts|1.44}};{{nts|4}};{{Yes}};{{Yes}};{{Yes |By SliTaz}};{{Yes |By SliTaz}};
Tor-ramdisk;{{nts|5}};{{nts|256}} or >[156];{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Trisquel;{{nts|1,500}}[157];{{nts|384}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
TurnKey GNU/Linux Core (base) appliance ISO;{{nts|212}};{{nts|173|prefix=~}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Ubuntu;{{nts|1,700}}[158];{{nts|384}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Ututo;{{nts|3500}};{{dunno}};{{No}};{{Yes}};{{Yes}};{{dunno}};
Edubuntu;{{nts|2,900}}[159];;{{Yes}};{{Yes}};{{Yes}};;
Kubuntu;{{nts|1,400}}[160];{{nts|384}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
XBMC Live;{{nts|700}};{{nts|256}} to {{nts|1024}};{{Yes}};{{no}};{{Yes}};{{Yes}};
Zentyal;{{nts|600}};{{nts|256}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Xubuntu;{{nts|1200}}[161];{{nts|256}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Distribution;Size of media (MB);RAM use (MB);Boots from CD;Boots from DVD;Installable live CD/DVD;Installable from USB;
