Software;Platform;License;Latest version;Last release year;Size (MB){{efn|The size depends on chosen installation. The lower limit is for a minimal installation. The upper limit is for a full installation with all features.}};Description;Number{{efn|Number of editable tags}};Supported metadata standards{{efn|EXIF - Exchangeable image file format for digital still cameras GPS - The global positioning system IPTC - IPTC-NAA Information Interchange Model XMP - Extensible Metadata Platform Maker - Proprietary Maker Notes Other - Other standards, for example: IRB Adobe Photoshop image resource blocks, MPF - Multu-Picture Format R - Can Read tags E - Can Edit tags W - Can Write tags D - Can Delete tags}};Supported file formats{{efn|JPEG - ISO/IEC IS 10918-1 1993(E) TIFF - Tagged Image File Format Raw - Proprietary raw formats Other - Other formats, for example: PSD Adobe Photoshop, DNG Digital Negative, JP2 JPEG2000 Yes - Format is supported}};
EXIF;GPS;IPTC;XMP;Maker;Other;JPEG;TIFF;Raw;Other;
ExposurePlot[27];Windows;{{proprietary|Freeware}};1.1.6;2015;0.6;Analyze your usage of the focal length of your lenses, ISO, shutter speed and aperture.;{{n/a}};{{partial|R}};;;;;;{{Yes}};;;;
Free EXIF Eraser[28];Windows;{{proprietary|Freeware}};1.1;2011;0,8;Allows you to easily and effectively delete entire EXIF/IPTC/XMP information from image files.;{{n/a}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Yes}};;;
GeoSetter[29];Windows;{{proprietary|Freeware}};3.5.0;2018;19;Show and change geo data and other metadata (IPTC/XMP/EXIF) of image files (e.g. images taken by digital cameras). Batch changes possible;{{dunno}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};;;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
GUI2[30];Windows;{{proprietary|Freeware}};1.3;2010;15.7;GUI extension for the ExifTool.;12;{{partial|R}};{{Yes|REW}};{{partial|R}};{{partial|R}};{{partial|R}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Image Info Toolkit[31];MacOS, Windows;{{proprietary|Shareware}};3.0;2012;4.9;Editor for IPTC and XMP metadata.;36;{{partial|R}};{{partial|R}};{{Yes|REW}};{{Yes|REW}};;;{{Yes}};{{Yes}};;{{Yes}};
ImBatch[32];Windows;{{proprietary|Free for non-commercial use}};4.7.0 (actually 5.9.1);2016;11.9;Batch image processing tool;>50;{{Yes|REW}};;{{Yes|REW}};;;;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
IPTC-PLUS Photo Metadata Toolkit[33];Windows;{{proprietary|Freeware}};4;2011;1.2;Editor for IPTC and PLUS photo metadata with Adobe CS3 to CS5.;150;;;{{Yes|REW}};{{Yes|REW}};;;{{Yes}};{{Yes}};;{{Yes}};
irfanview[34];Windows;Freeware for non-commercial use;4.51;2018;3.36;Image viewer that also supports viewing image metadata;?;R;;R;;;;Yes;Yes;Yes;Yes;
iTag[35];Windows;{{proprietary|Shareware}};500;2015;9.1;A tool that adds title, description and keyword tags to photos.;10;;;{{Yes|REW}};{{Yes|REW}};;;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
JabRef;Java;{{free|GPL}};{{dunno}};{{dunno}};{{dunno}};Reference management software that uses BibTeX.;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes|RDEW}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes|PDF}};
JExifViewer[36];Linux, Windows;{{free|GPL}};1.8;2010;5.3;View EXIF information stored in JPEG files.;{{n/a}};{{partial|R}};{{partial|R}};;;;;{{Yes}};;;;
JPEG & PNG Stripper[37];Windows;{{proprietary|Freeware}};1.5.4;2012;0.1;A tool for stripping/cleaning/removing unnecessary metadata.;{{n/a}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Yes}};;;{{Yes}};
JPEG Comment Editor[38];Windows;{{proprietary|Freeware and Shareware}};1.0;2015;1.0;Software for creating, viewing, editing, and saving metadata as text file for your photos.;{{dunno}};;;;;;;{{Yes}};;;;
Metadata++[39];Windows;{{proprietary|Freeware}};1.11.4;2018;1.2;Edit, modify, add, delete any metadata from audio, video, photo, text...;>200;{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
{{abbr|MAT|Metadata Anonymisation Toolkit}}[40];Linux MacOS;{{free|GPLv2}};0.5.2;2014;3.1;Toolbox composed of a GUI application, a CLI application and a library, to anonymize/remove metadata;{{n/a}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
MetadataFox[41];Windows;{{proprietary|Shareware}};1.1;2010;0.4;A tool to explore files by their XMP metadata.;{{n/a}};;;;{{partial|R}};;;{{Yes}};;;{{Yes}};
MetadataTouch[42];Windows;{{proprietary|Shareware}};5.2;2011;0.6;A tool to view and edit IPTC and XMP metadata.;70;;;{{Yes2|EW}};{{Yes2|EW}};;;{{Yes}};;;{{Yes}};
MetaEditor;Windows;{{proprietary|Freeware}};3.3.0.0;2014;7.1;Allows you read and edit metadata within your digital photos.;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};;;{{Yes}};{{Yes}};;;
MetaLith[43];Windows;{{proprietary|Freeware}};10.00;2018;16;Allows you read, analyze and edit metadata. The main feature of the program is the ability to simultaneously edit any number of files.;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};;{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Opanda PowerExif[44];Windows;{{proprietary|Shareware}};1.22;2013;1.6;A powerful GUI tool with batch processing to edit EXIF/GPS data and completely remove all data (include EXIF) in images.;>130;{{Yes|REW}};{{Yes|REW}};;;;;{{Yes}};{{Yes}};;;
PhotoME[45];Windows;{{proprietary|Freeware}};0.8ß2;2009;3.1;Show and edit the metadata of image files, analyze and modify EXIF and IPTC-NAA data, and analyze ICC profiles.;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|RE}};;{{Yes|REW}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
QuickImageComment[46];Windows;{{Free|GPLv3}};4.31;2018;15.8;Windows GUI to show images and edit meta data (using exiv2 library); GPS data can be shown and modified on a map; optimised to edit comments.;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};;{{Yes}};{{Yes}};{{Yes}};;
VRmeta[47];Linux, MacOS, Windows;{{proprietary|Paid subscription}};1.0;2018;11.9;Add .xmp metadata, embed in-frame time-based metadata, export as .csv or .xmp, embed IPTC keywords and captions.;>unlimited;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
XnView[48];Linux, MacOS, Windows;{{proprietary|Freeware (for private and educational use)}};2.45;2018;4.6 to 14.6;Picture viewer, editor with slide show, scan module, add ons;>31;{{Yes|RD}};{{dunno}};{{Yes|RDEW}};{{Yes|DEW}}{{efn|There is an option to update, delete or create XMP metadata along when editing IPTC metadata.}};{{dunno}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
