Outlook Express;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};;;Microsoft Windows;{{proprietary}};Part of Microsoft Windows (up to Windows Server 2003);
Pan;GUI;Combination;{{Yes}};{{No}};{{Yes}};{{No}};;{{Yes}};{{Yes}};;Free;Unix-like, Microsoft Windows;{{free|GPL}};Gtk+;
Name;Interface;Type of Client;Downloading headers XOVER;PAR;NZB;unZip & unRAR;Integrated Search Service (retention / $$$/yr);IPv6;SSL/TLS;Audio Video Streaming;Price;Platform;License;Other;
Seamonkey Mail & Newsgroups;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};{{No}};;;;Free;Cross-platform;{{free|MPL}};Replaced Mozilla Mail & Newsgroups;
slrn;text-based;Traditional Newsreader;{{Yes}};{{Yes}} (using macros);{{Yes}} (using macros);{{Yes}} (using macros);{{No}};{{Yes}};{{Yes}};{{No}};Free;Cross-platform;{{free|GPLv2+}};Highly extensible using S-Lang scripts (macros);
Sylpheed;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;;{{Yes}};;Free;Cross-platform;{{free|GPL/LGPL}};Gtk+;
tin;text-based;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};;{{Yes}};{{No}};;Free;Unix-like;{{free|BSD}};Free Software;
Unison;GUI;Combination;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};{{Yes}} (audio only);Free;Mac OS X;{{proprietary}};Development has ceased. Free but unsupported.;
Usenet Explorer;GUI;Combination;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} ( 1500 days / $23.34/yr );{{Yes}};{{Yes}};;$35;Microsoft Windows;{{proprietary}};Shareware;
Windows Live Mail;GUI;Traditional Newsreader;{{Yes}};;;;;{{Yes}};;;Free;Microsoft Windows;{{proprietary}};;
Windows Mail;GUI;Traditional Newsreader;{{Yes}};;;;;{{Yes}};;;;Microsoft Windows;{{proprietary}};Part of Windows Vista and Windows Server 2008;
Xnews;GUI;Combination;{{Yes}};{{No}};{{No}} (Can create NBZs);;;{{No}};;;Free;Microsoft Windows;{{proprietary}};;
XPN;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;;{{Yes}};;Free;Cross-platform;{{free|GPL}};;
Name;Interface;Type of Client;Downloading headers XOVER;PAR;NZB;unZip unRAR;Integrated Search Service (retention / $$$/yr);IPv6;SSL/TLS;Audio Video Streaming;Price;Platform;License;Other;
