Name;FAT16, dosfs; FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems;
Linux;{{yes}};{{yes}}{{r|group=Note|f5}}{{r|group=Note|f7}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}}[34];{{yes}};{{yes}}{{r|group=Note|f9}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};9P,{{r|group=Note|f3}} FUSE,{{r|group=Note|f3}} sysfs,{{r|group=Note|f3}} configfs,{{r|group=Note|f3}} Reiser4,{{r|group=Note|f3}}{{r|group=Note|f4}} JFS, Btrfs, UnionFS, Ext4;
Haiku;{{yes}};{{yes}} {{r|group=Note|f7}};{{yes}} {{r|group=Note|f12}};{{yes}} {{r|group=Note|f12}};;;;;;;;{{yes}};{{yes}};{{yes}};{{yes}};{{no}}{{r|group=Note|f11}};;;;
KolibriOS;{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f2}};;;;;;;;{{yes}};;;;{{yes}};;;
MenuetOS;{{yes}};;;;;;;;;;;;;;;;;;;
GNU;{{yes}};;{{yes}};{{yes}}{{r|group=Note|f13}};;;{{yes}}{{r|group=Note|f14}};;;;;;{{yes}};;{{yes}};;{{yes}};{{no}};;
ReactOS;{{yes}};;{{yes}};{{no}};{{no}};{{no}};{{no}};;;;{{no}};{{no}};;;;;;;;
L4, Fiasco, Pistachio;{{yes}};{{no}};;;;;;;;;;;;;;;;;;
Plan 9;{{yes}};;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};Fossil, Venti, most system services;
AROS;{{yes}};;;;;;;;;;;;;;;;{{yes}};;SFS, AFFS;
Syllable;{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f2}};;;;;;;;{{yes}};{{yes}};;;;{{yes}};;AFS;
Inferno;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};;kfs, most system services;
FreeRTOS;;;;;;;;;;;;;;;;;;{{no}};;
eCos;{{yes}};;{{yes}}{{r|group=Note|f2}};;;;;;;;;;;;;;{{yes}};;MMFS, ROMfs, JFFS2, YAFFS;
RTEMS;{{yes}};;;;;;;;;;;;;;{{yes}};;{{yes}};;TarFS, TFTP FS, IMFS, miniIMFS;
HelenOS;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;locfs, exFAT;
E/OS;V2 OS;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}}{{r|group=Note|f6}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};;;
K42;
UnixLite -->;
Name;FAT16, dosfs; FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems;
