;Windows;macOS;Linux;iOS;BSD;Unix;AmigaOS;Other;
PhotoLine;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{yes|ATARI ST}};
PhotoPerfect*;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Photos;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Photo Raster;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
Picasa*;{{yes}};{{yes}};{{partial|Up to version 3.0}};;{{no}};{{no}};{{no}};{{no}};
PicMaster;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Pinta;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
PixBuilder Photo Editor;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Pixelmator;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Pixen;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Pixia;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
PMview;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{yes| OS/2}};
Project Dogwaffle;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
QFX;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{yes|DOS 3.3 and up}};
Rawstudio;{{no}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
RawTherapee;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
Seashore;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Serif PhotoPlus;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Shotwell;{{no}};{{no}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
Tux Paint;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
TVPaint;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{partial|Up to version 3.59[13]}};{{no}};
UFRaw;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
Ulead PhotoImpact*;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Ultimate Paint*;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
WinImages;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Xara Photo & Graphic Designer;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
XnView;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{partial|varying[14]}};
XPaint;{{no}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{yes|IBM AIX}};
Zoner Photo Studio;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
