Avira;Avira Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2002;Germany;Tjark Auerbach;;
Bitdefender;Bitdefender Antivirus Free;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};2013;Romania;;;
Bitdefender;Bitdefender Antivirus Plus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{v}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1996;Romania;;;
Bitdefender;Bitdefender Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{No}}[1];{{Proprietary}};{{Nonfree}};2008;Romania;;;
Check Point;ZoneAlarm PRO Antivirus + Firewall;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};?;{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{Nonfree}};2002;Israel;;Third-party antivirus engine (Kaspersky) [2];
Check Point;ZoneAlarm Extreme Security;{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{Nonfree}};2002;United States;;;
ClamWin;ClamWin;{{Yes}};{{Yes}} (with Winpooch or Clam Sentinel);{{Yes}} (with Clam Sentinel);{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};?;;{{GPL-lic}};{{Free}};2002;Australia;;Third-party antivirus engine (ClamAV);
Comodo Group;Comodo Antivirus;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};;{{Proprietary}};{{Free}};2008;United States;;;
Comodo Group;Comodo Antivirus Advanced;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{Nonfree}};2008;United States;;;
Comodo Group;Comodo Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{Free}};2010;United States;;;
Dr.Web;Dr.Web Anti-virus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{some|Trialware}};1992;Russia;Igor Danilov;;
Dr.Web;Dr.Web Security Space;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{Nonfree}};2006;Russia;Igor Danilov;;
ESET;ESET NOD32 Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{Yes}}[3][4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{some|Trialware[5]}};1987;Slovakia;Peter Paško and Miroslav Trnka;;
ESET;ESET Smart Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}}[3][4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}}[1];{{Proprietary}};{{some|Trialware[5]}};2007;Slovakia;Peter Paško and Miroslav Trnka;;
F-Secure;F-Secure Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1991;Finland;Petri Allas and Risto Siilasmaa;Third-party antivirus engine (Bitdefender);
F-Secure;F-Secure Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2004;Finland;Petri Allas and Risto Siilasmaa;Third-party antivirus engine (Bitdefender);
FRISK Software;F-PROT Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{some|Trialware}};1989;Iceland;Friðrik Skúlason (second engine also with Dr. Vesselin Bontchev);;
Fortinet;FortiClient;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};2004;United States;;;
G Data Software;G DATA AntiVirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1987;Germany;Andreas Lüning and Kai Figge;Third-party antivirus engine (Bitdefender);
G Data Software;G DATA InternetSecurity;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2004;Germany;Andreas Lüning and Kai Figge;Third-party antivirus engine (Bitdefender);
Kaspersky Lab;Kaspersky Anti-Virus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1997;Russia;Eugene Kaspersky and Natalia Kaspersky;Banned by USG;
Kaspersky Lab;Kaspersky Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2007;Russia;Eugene Kaspersky and Natalia Kaspersky;Banned by USG;
Kaspersky Lab;Kaspersky Total Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Proprietary}};{{Nonfree}};;Russia;Eugene Kaspersky and Natalia Kaspersky;Banned by USG;
McAfee;McAfee Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1987;United States;John McAfee;John McAfee "uninstall video" scandal;
McAfee;McAfee Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2006;United States;John McAfee;John McAfee "uninstall video" scandal;
Microsoft;Windows Defender;{{Yes}};{{Yes}};{{No}};{{No}} Only Windows 10;{{No}};{{No}} excepting Windows Firewall[6];{{No}};{{No}};?;{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{Free}};2012;United States;;;
NANO Security Ltd;NANO Antivirus;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{free}};2009;Russia;;;
Panda Security;Panda Antivirus Pro;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1990;Spain;Mikel Urizarbarrena;;
Panda Security;Panda Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2002;Spain;Mikel Urizarbarrena;;
Panda Security;Panda Antivirus Free;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};?;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};2009;Spain;;;
Qihoo 360;360 Total Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};2006;China;;;
Quick Heal;Quick Heal Total Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};Yes;;{{Proprietary}};{{Nonfree}};1995;India;;;
Sophos;Sophos Anti-Virus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};?;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1988;United Kingdom;Jan Hruska and Peter Lammer;;
Sophos;Sophos EndUser Protection;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2000;United Kingdom;Jan Hruska and Peter Lammer;;
Cisco (originally Immunet);Immunet;{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};2010;United States;;Third-party antivirus engine (ClamAV);
Symantec;Norton AntiVirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1991;United States;;Whitelists FBI backdoor scandal[7][8];
Symantec;Norton Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2000;United States;;Whitelists FBI backdoor scandal[7][8];
Symantec (originally PC Tools);Spyware Doctor with AntiVirus;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};?;;{{Proprietary}};{{Nonfree}};2003;United States;;;
Trend Micro;Titanium Antivirus Plus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1990;Japan;;;
Trend Micro;Titanium Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2008;Japan;;;
TrustPort;TrustPort Antivirus;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{some|Trialware}};2008;Czech Republic;;Third-party antivirus engine (?);
TrustPort;TrustPort Internet Security;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{some|Trialware}};2008;Czech Republic;;Third-party antivirus engine (?);
TrustPort;TrustPort Total Protection;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};?;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{some|Trialware}};2008;Czech Republic;;Third-party antivirus engine (?);
VirusBlokAda;Vba32 AntiVirus;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};?;;{{Proprietary}};{{Nonfree}};2010;Belarus;;;
Webroot;SecureAnywhere AntiVirus;{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{some|Trialware}};2011;United States;;;
Webroot;SecureAnywhere Internet Security Plus and Complete;{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};?;{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};2011;United States;;;
Company;Software;On-demand scan;On-access scan;Boot-time scans;Heuristics;CloudAV;Firewall;IDS;IPS;Sandbox;Email Security;AntiSpam;Web protection;Macro protection;Live-Update;Support;Settings Import/Export;installer/ updater MIMA safe;License;Price;First release;Country of origin;Original author/s;Notes;
