hMailServer;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}} ClamAV;{{yes}} SpamAssassin;
IBM Lotus Domino;{{yes}}[32];{{dunno}};{{dunno}};{{dunno}};{{no}}[33];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
IceWarp Mail Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Ipswitch IMail Server;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}}[34];{{yes}}[35];{{no}};{{yes}};{{yes}};{{yes}} Symantec, BitDefender;{{yes}} CYREN;
Kolab;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{optional}} with spamassassin etc.;{{yes}};{{optional}} (via content filter interface);{{optional}} (via content filter interface);
Mailsite;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
Mailtraq;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mercury Mail Transport System;{{yes}};{{dunno}};{{dunno}};{{yes}} (GreyWall extension);{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}} (SpamHalter extension);{{dunno}};{{yes}} (ClamWall extension);{{dunno}};
Microsoft Exchange Server;{{yes}} (2003 & later);{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}} (2003 & later);{{dunno}};{{dunno}};{{dunno}};{{dunno}};
NetMail;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OpenSMTPD;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}}[36];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Oracle Communications Messaging Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{optional}} with spamassassin etc.;{{yes}};{{optional}} any;{{optional}} any;
Postfix;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{optional}}[37];{{optional}}[38];{{dunno}};{{optional}} with spamassassin etc.;{{yes}};{{optional}} (via content filter interface);{{optional}} (via content filter interface);
qmail;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{no}};{{no}};
Scalix;{{yes}};{{yes}} (via Scalix AntiSpam powered by Cyren or SpamAssassin);{{yes}} (via Scalix AntiSpam powered by Cyren or SpamAssassin);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (via Scalix ZeroHour AntiVirus powered by Cyren or ClamAV);{{yes}};
Sendmail;{{yes}};{{yes}} (via milter/SA);{{dunno}};{{yes}};{{optional}};{{optional}}[37];{{optional}}[38];{{dunno}};{{optional}} with spamassassin etc.;{{dunno}};{{yes}} ClamAV;{{yes}} SpamAssassin;
SparkEngine;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Synovel Collabsuite;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}}ClamAV;{{yes}} SpamAssassin;
UW IMAP;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
WinGate;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Zarafa;{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};{{optional|External[10]}};
Zimbra;{{yes}};{{yes}} (via SpamAssassin);{{dunno}};{{yes}} (via Cluebringer Policy Daemon);{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}} (partially);{{yes}} (via ClamAV, optionally any via Amavisd);{{yes}} (via SpamAssassin);
Mail Server;DNSBL;SURBL;Spamtraps;Greylisting;SPF;DKIM;DMARC;Tarpit;Bayesian filters;Regular expressions;Embedded Antivirus;Embedded Antispam;
