Microsoft Access (JET);{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};GUI & SQL;{{Yes}};
Microsoft Visual FoxPro;{{No}};{{Yes}};{{Yes}};{{dunno}};{{dunno}};{{No}};GUI & SQL;{{Yes}};
Microsoft SQL Server;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking)[46];{{yes}};{{yes}};GUI & SQL;{{Yes}};
Microsoft SQL Server Compact (Embedded Database);{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};GUI & SQL;{{Yes}};
Mimer SQL;{{yes}};{{yes}};{{yes}};{{yes}} (Optimistic locking);{{yes}};{{yes}};API & GUI & SQL;{{Yes}};
MonetDB;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
MySQL;{{yes}}2;{{yes}}3;{{yes}}2 except for DDL[44];{{yes}} (Row-level locking)[47];{{yes}};{{yes}};GUI 5 & SQL;{{Yes}};
OpenBase SQL;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};GUI & SQL;{{Yes}};
OpenEdge;{{yes}};{{yes}}7;{{yes}};{{yes}} (Row-level locking);{{dunno}};{{yes}};GUI & SQL;{{Yes}};
OpenLink Virtuoso;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};API & GUI & SQL;{{Yes}};
Oracle;{{yes}};{{yes}};{{yes}} except for DDL[44];{{yes}} (Row-level locking)[48];{{yes}};{{yes}};API & GUI & SQL;{{Yes}};
Oracle Rdb;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
Pervasive PSQL;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}}6;API & GUI & SQL;{{Yes}};
Polyhedra DBMS;{{yes}};{{yes}};{{yes}};{{yes}} (optimistic and pessimistic cell-level locking)[49];{{dunno}};{{yes}};API & SQL;{{Yes}};
PostgreSQL;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking)[50];{{yes}};{{yes}};API & GUI & SQL;{{No}}[51];
Raima Database Manager;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};SQL & API;{{Yes}};
RDM Server;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL & API;{{Yes}};
SAP HANA;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{yes}};{{yes}};API & GUI & SQL;{{Yes}};
solidDB;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{dunno}};{{yes}};API & SQL;{{Yes}};
SQL Anywhere;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
SQLBase;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};API & GUI & SQL;{{Yes}};
SQLite;{{yes}};{{yes}};{{yes}};{{no}} (Database-level locking)[52];{{no}};{{optional}}[53];API & SQL;{{Yes}};
Teradata;{{yes}};{{yes}};{{yes}};{{yes}} (Hash and Partition);{{dunno}};{{yes}};SQL;{{Yes}};
Tibero;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{yes}};{{yes}};API & GUI & SQL;{{Yes}};
UniData;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};Multiple;{{Yes}};
UniVerse;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};Multiple;{{Yes}};
Database Name;ACID;Referential integrity;Transactions;Fine-grained locking;Multiversion concurrency control;Unicode;Interface;Type inference;
