KooRaRoo Media;{{Nonfree|Prop.}};{{nonfree}}[10];{{Yes}}[11];{{Yes}}[12];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};C++;{{Yes}}[13];{{Yes}};
LimboMedia;{{Nonfree|Prop.}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};Java;{{Yes}};{{Yes}};
LXiMedia;{{Free|GPL}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}, mandatory;{{Yes}};{{Yes}};{{unknown}};C++;{{Yes}};{{No}};
Majestic Media Server;{{Nonfree|Prop.}};{{nonfree}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};
MediaMonkey;{{Nonfree|Prop.}};{{nonfree}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};Delphi;{{Yes}};{{Yes}};
MediaTomb;{{Free|GPL}};{{Free}};{{Partial}}[14];{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{unknown}};C++;{{unknown}};{{No}};
ReadyMedia (formerly MiniDLNA);{{Free|GPL/BSD}};{{Free}};{{Partial}}[15];{{Yes}};{{Yes}}[16];{{Yes}};{{Yes}};{{Yes}};{{Partial}}[17];{{Partial}}[18];{{Yes}};{{unknown}};C;{{Yes}};{{unknown}};
Mezzmo;{{Nonfree|Prop.}};{{Free}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};C++;{{Yes}};{{Yes}};
myiHome;{{Nonfree|Prop.}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{unknown}};{{unknown}};Java;{{unknown}};{{unknown}};
MythTV with uPnP;{{Free|GPL}};{{Free}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{unknown}};{{unknown}};C++;{{unknown}};{{unknown}};
Nullriver Medialink;{{Nonfree|Prop.}};{{nonfree}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{unknown}};{{unknown}};{{Yes}};{{unknown}};
PlayOn;{{Nonfree|Prop.}};{{nonfree}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};C#;{{Partial}}[19];{{unknown}};
Plex;{{Nonfree|Prop.}};{{nonfree}}[20];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};C++ / Python;{{Yes}};{{Yes}};
PS3 Media Server;{{Free|GPL}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}[21];{{Yes}};{{Yes}};Java;{{Yes}};{{No}};
PyMedS;{{Free|MIT}};{{Free}};{{Partial}}[3];{{Partial}}[3];{{No}};{{unknown}};{{unknown}};{{unknown}};{{Yes}}[22];{{No}};{{unknown}};{{unknown}};Python;{{unknown}};{{No}};
Rygel;{{Free|LGPLv2}};{{Free}};{{No}};{{Yes}};{{No}} [23];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};Vala;{{unknown}};{{Yes}};
Rivet[24];{{Nonfree|Prop.}};{{Free}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};{{No}}[24];
Serviio;{{Nonfree|Prop.}};{{nonfree}}[25];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}[26];{{Yes}};{{Yes}};Java;{{Partial}}[27];{{unknown}};
SimpleCenter Premium;{{Nonfree|Prop.}};{{nonfree}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};
Skifta;{{Nonfree|Prop.}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{unknown}};Java;{{unknown}};{{unknown}};
Songbird;{{Free|GPLv2}};{{Free}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};C++;{{No}};{{No}}[28];
TVble;{{Nonfree|Prop.}};{{Free}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};C#/C++;{{unknown}};{{Yes}};
TVersity;{{Nonfree|Prop.}};{{nonfree}}[29];{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{unknown}};{{unknown}};{{Yes}};{{Yes}};
TVMOBiLi;{{Nonfree|Prop.}};{{nonfree|[30]}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Partial}};C++;{{Yes}};{{Yes}};
TVShare;{{Nonfree|Prop.}};{{nonfree}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{unknown}};{{unknown}};Java;{{unknown}};{{unknown}};
TwonkyMedia server;{{Nonfree|Prop.}};{{nonfree}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Partial}}[31];{{Yes}};{{Yes}};{{Yes}};{{unknown}};{{unknown}};{{Yes}};
Universal Media Server;{{Free|GPL}};{{Free}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};Java;{{Yes}};{{Yes}};
Windows Media Connect;{{Nonfree|Prop.}};{{Free}} [32];{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} [33];{{No}};{{Yes}};{{Yes}};{{unknown}};{{unknown}};{{Yes}};
Wild Media Server;{{Nonfree|Prop.}};Trialware;{{Yes}}[34];{{Yes}}[35];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};Delphi;{{Yes}};{{Yes}};
xupnpd;{{Free|GPLv2}};{{Free}};{{No}};{{Yes}};{{No}};{{Yes}};{{unknown}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{unknown}};C++;{{unknown}};{{unknown}};
Yazsoft Playback;{{Nonfree|Prop.}};{{nonfree}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{unknown}};{{unknown}};{{unknown}};{{unknown}};{{No}};
Name;License;Cost;OS X;Unix-like;Windows;Audio;Images;Video;Transcoding;Web Interface;DLNA support;Multilingual[1];Implementation;Subtitles[2];Still Supported;
