Path Finder;{{dunno}};{{yes}};{{no}} [50];{{no}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};
PCManFM;{{no}};{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
ROX-Filer;{{dunno}};With helper applications;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
STDU Explorer;{{dunno}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Thunar;{{no}};{{no}};{{no}};{{dunno}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};
Total Commander;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Log file}};{{yes}};{{dunno}};
Windows Explorer;{{yes}};{{yes}};{{partial}}[51];{{no}};{{yes}};{{no}};{{no}};{{partial}} [52];{{no}};{{yes}} [53];{{partial}};{{yes}};
Xandros File Manager;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Xfe;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{dunno}};{{yes}};{{no}};{{dunno}};{{yes}};{{no}};{{dunno}};
Xfm;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
xplorer²;{{no}};{{yes}};{{partial}} [51];{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} [54];{{yes}};{{dunno}};
XYplorer;{{yes}};{{yes}};{{partial}} [51];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
ZTreeWin;{{dunno}};{{yes}};{{partial}} [55];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{dunno}};
File Manager;Undo/redo file operation;File compression;File encryption;Rename busy files;File preview;File coloring filter;File selection filter;Paste clipboard as file;File and folder reports;ACL (Access control list);Mass Rename;Run executable files;
