Software;Web-based;Hosted On-Premises;SaaS;License;Programming language;
FinancialForce.com;{{yes}};{{unk}};{{yes}};{{Proprietary}};;
FogBugz;{{yes}};{{yes}};{{yes}};{{Proprietary}};ASP.NET;
Fossil-scm;{{yes}}[7];{{yes}}[8];{{yes}}[9];{{Free|2-clause BSD license}};SQLite and C;
Freedcamp;{{yes}};{{no}};{{yes}};{{Proprietary}};;
FusionForge;{{yes}};{{yes}};{{unk}};{{Free|GPL}};PHP;
GanttProject;{{no}};{{yes}};{{unk}};{{Free|GPL}};Java;
Genius Project;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Group-Office;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Groupiful;{{Yes}};{{No}};{{Yes}};{{Proprietary}};PHP;
GroveSite;{{yes}};{{unk}};{{yes}};{{unk}};;
Hall.com;{{yes}};{{unk}};{{yes}};{{unk}};;
Helix ALM;{{yes}};{{yes}};{{yes}};{{Proprietary}};C++;
HeySpace;{{yes}};{{no}};{{yes}};{{Proprietary}};JavaScript;
HP Project & Portfolio Software;{{yes}};{{yes}};{{Proprietary}};;
Huddle;{{yes}};{{unk}};{{unk}};{{Proprietary}};;
Hyperoffice;{{yes}};{{unk}};{{unk}};{{Proprietary}};;
iManageProject;{{yes}};{{unk}};{{yes}};{{unk}};;
InLoox;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
in-Step BLUE;{{yes}};{{yes}};{{no}};{{Proprietary}};;
IRise;{{yes}};{{yes}};{{yes}};{{Proprietary}};Java;
Jira;{{yes}};{{yes}};{{yes}};{{Proprietary}};Java;
Launchpad;{{yes}};{{No}};{{Yes}};{{Free|AGPL}};Python;
LibrePlan;{{yes}};{{yes}};{{yes}};{{Free|AGPL}};Java;
LiquidPlanner;{{yes}};{{no}};{{yes}};{{Proprietary}};Ruby;
LisaProject;{{no}};{{unk}};{{unk}};{{Proprietary}};;
MacProject;{{no}};{{unk}};{{unk}};{{Proprietary}};;
MantisBT;{{yes}};{{yes}};{{no}};{{Free|GPL}};PHP;
Métier;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Microsoft Dynamics AX;{{no}};{{yes}};{{no}};{{Proprietary}};X++;
Microsoft Office Project Server;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Microsoft Project;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Microsoft SharePoint Server;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Microsoft Team Foundation Server;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Milestones Professional;{{no}};{{yes}};{{no}};{{Proprietary}};C++;
Mingle;{{yes}};{{yes}};{{yes}};{{Proprietary}};Ruby on Rails;
NetPoint;{{no}};{{unk}};{{unk}};{{Proprietary}};;
NetSuite;{{yes}};{{unk}};{{yes}};{{unk}};;
MyWorkPLAN;{{no}};{{unk}};{{unk}};{{Proprietary}};;
O3Spaces;{{no}};{{unk}};{{unk}};{{Proprietary}};;
OmniPlan;{{no}};{{yes}};{{no}};{{Proprietary}};;
Onepager pro;{{no}};{{yes}};{{no}};{{Proprietary}};ASP.NET;
Open Workbench;{{no}};{{unk}};{{unk}};Open source;;
OpenProj;{{no}};{{unk}};{{yes}};{{Free|CPAL}};Java;
OpenProject;{{yes}};{{yes}};{{yes}};{{Free|GPL}};Ruby on Rails and AngularJS;
OnlyOffice;{{yes}};{{yes}};{{yes}};{{Free|GPL}};ASP.NET;
Oracle Primavera EPPM (Primavera P6);{{yes}};{{yes}};{{yes}};{{Proprietary}};;
phpGroupWare;{{yes}};{{unk}};{{unk}};{{Free|GPL}};PHP;
PHProjekt;{{yes}};{{unk}};{{unk}};{{Free|LGPL}};PHP;
Pivotal Tracker;{{yes}};{{no}};{{yes}};{{unk}};Ruby;
Plandora;{{yes}};{{yes}};{{unk}};{{Free|LGPL}};Java;
Planisware;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
PLANTA Project;{{yes}};{{yes}};{{no}};{{Proprietary}};;
Project Builder;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Project KickStart;{{no}};{{yes}};{{unk}};{{Proprietary}};;
Project Team Builder;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Projector PSA;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
ProjectLibre;{{no}} (Cloud based version under development)[10];{{yes}};{{no}} (Included in future plans)[11];{{Free|CPAL}};Java;
ProjectManager.com;{{yes}}[12];{{no}};{{yes}};{{Proprietary}};;
Project.net;{{yes}};{{yes}};{{yes}};{{Free|GPL}};Java;
Projectplace;{{yes}};{{no}};{{yes}};{{Proprietary}};;
Projektron BCS;{{yes}};{{yes}};{{yes}};{{Proprietary}};Java;
ProjeQtOr;{{yes}};{{yes}};{{yes}};{{Free|AGPL}};PHP;
Proliance;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
ProjectLink;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Prolog;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Priority Matrix;{{yes}};{{no}};{{yes}};{{Proprietary}};
Pyrus;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
RationalPlan;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Realisor;{{no}};{{yes}};{{no}};{{Proprietary}};;
Redbooth;{{yes}}[13];{{yes}};{{yes}}[13];{{Free|AGPL}};[14] Proprietary (version 4);Ruby on Rails;
Redmine;{{yes}};{{yes}};{{yes}} [15][16][17];{{Free|GPL}};Ruby;
Rillsoft Project & Integration Server;{{yes}};{{yes}};{{yes}};{{Proprietary}};C++ and PHP;
RiskyProject;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
SAP Business ByDesign;{{yes}};{{unk}};{{yes}};{{Proprietary}};;
Sciforma;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Scoro;{{yes}};{{no}};{{yes}};{{Proprietary}};PHP[18];
Seavus Project Viewer (software);{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};C++;
Severa;{{yes}};{{unk}};{{yes}};{{unk}};;
Smartsheet;{{yes}};{{unk}};{{yes}};{{Proprietary}};PHP;
Spider Project;{{no}};{{no}};{{no}};{{Proprietary}};
Streamtime Software;{{yes}};{{no}};{{yes}};{{Proprietary}};PHP;
TACTIC;{{yes}};{{yes}};{{yes}};{{Free|Eclipse Public License}};Python;
Talygen;{{yes}};{{no}};{{yes}};{{Proprietary}};ASP.NET;
TaskJuggler;{{no}};{{yes}};{{no}};{{Free|GPL}};Ruby;
Teamcenter;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
TeamDynamixHE;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Teamwork.com;{{yes}};{{no}};{{yes}};{{Proprietary}};;
The Bug Genie;{{yes}};{{yes}};{{yes}};{{Free|Mozilla Public License}};PHP;
Tom's Planner;{{yes}};{{unk}};{{unk}};{{Proprietary}};;
Trac;{{yes}};{{yes}};{{yes}};{{Free|(modified) BSD license}};Python;
TrackerSuite.Net;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Traction TeamPage;{{yes}};{{yes}};{{yes}};{{Proprietary}};Java;
Trello;{{yes}};{{no}};{{yes}};{{Proprietary}};JavaScript;
Triskell;{{Yes}};{{No}};{{Yes}};{{Proprietary}};Java;
Tuleap;{{Yes}};{{Yes}};{{Yes}};{{Free|GPL}};;
Twproject;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
UniPhi;{{yes}};{{yes}};{{yes}};{{Proprietary}};ASP.NET;
Vpmi;{{yes}};{{unk}};{{unk}};{{Proprietary}};;
web2project;{{yes}};{{unk}};{{unk}};{{Free|GPL}};PHP;
Workamajig;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Workfront;{{yes}}[19];{{no}};{{yes}};{{Proprietary}};;
WorkPLAN Enterprise;{{no}};{{unk}};{{unk}};{{Proprietary}};;
workspace.com;{{yes}};{{unk}};{{yes}};{{Proprietary}};;
Wrike;{{yes}};{{unk}};{{yes}};{{Proprietary}};
Zoho Projects;{{yes}};{{no}};{{yes}};{{Proprietary}};PHP;
