Protopage;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0}};{{dunno}};{{yes}};{{yes}};
Pulse;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Quiterss;{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
Rhythmbox;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{yes}};
RSS Bandit;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};
RSSOwl;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Newsgroup}};{{no}};{{yes}};{{yes}};
Safari;{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
Sage;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};
SeaMonkey Mail & Newsgroups;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes|Newsgroup}};{{dunno}};{{yes}};{{yes}};
Songbird;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
Shiira;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Sleipnir;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{dunno}};
The Bat!;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
The Old Reader;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes|PubSubHubbub}};{{no}};{{yes}};{{yes}};
Tiny Tiny RSS;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}};
Winamp;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes2}} Notification only;
Windows Live Mail;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Zimbra;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Zune;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Client;feed URI scheme;RSS 0.91;RSS 1.0;RSS 2.0;RSS enclosure;MRSS;Atom;other standard;Delta updates;IPv6;Auto updates;
