Linux kernel [6];Linux, Android, webOS, Firefox OS, Chrome OS, Syllable Server, Mastodon Linux, OpenBSD/Linux, Plan 9/Linux, Sailfish OS, Tizen, others;Linus Torvalds;ELF, others;monolithic;{{yes|*ipfwadm (2.0 –) ipchains (2.2 –) Netfilter (2.4 – 3.x) nftables (3.13 –)}};{{yes}};{{yes}};{{yes}};{{yes|cgroups, chroot, Lguest, Xen, KVM, kvm-lite, LXC}};{{yes|Unix permissions, POSIX ACL, POSIX Capabilities, keyctl, LSM(SELinux, SMACK, TOMOYO Linux, AppArmor)}};{{yes|OProfile, kprobe, SystemTap, JProbe, ftrace, KDB, KGDB, kernel marker, perf tools}};{{yes|CONFIG_PREEMPT}};{{no|(CONFIG_PREEMPT_RT Patch)}};{{yes}};
Compute Node Linux;Compute Node Linux;Cray Inc.;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mach [7];NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX;Carnegie Mellon University;Mach-O;microkernel, hybrid kernel;{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};
MINIX 3 kernel [8];MINIX 3;Andrew S. Tanenbaum;ELF,[7] a.out[8][9];microkernel;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes|Unix permissions}};{{yes|Call profiling, statistical profiling, Minix Debugger (mdb)}};{{no}};{{no}};{{dunno}};
MkLinux [9];{{dunno}};OSF Research Institute and Apple Computer;{{dunno}};microkernel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
NetBSD kernel;NetBSD, GNU/kNetBSD (Debian GNU/NetBSD),;The NetBSD Project;ELF, others - platform dependent;monolithic, anykernel using rump kernel architecture;{{yes|IPFilter, PF, NPF}};{{yes}};{{yes}};{{yes}};{{yes|Xen, chroot}};{{yes|kauth, Unix permissions}};{{yes|DDB, KGDB, tprof}};{{yes|POSIX real-time scheduling extensions}};{{yes|Kernel preemption}} [10];{{dunno}};
NetWare kernel;NetWare;Novell;NLM;hybrid;{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OpenBSD kernel;OpenBSD;OpenBSD developers;ELF, others - platform dependent;monolithic;{{yes|PF}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes|Unix permissions}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OS/2 kernel;OS/2 version 2 and above;IBM;LX;hybrid;{{no}};{{yes}};{{no}} PowerPC version developed but never officially released.;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};
Plan 9 kernel;Plan 9 from Bell Labs;Bell Labs;{{dunno}};hybrid;{{yes|ipmux}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ReactOS kernel;ReactOS;ReactOS Foundation;PE, others?;hybrid;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Rockbox kernel;Rockbox;The Rockbox Project;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SunOS kernel;SunOS;Sun Microsystems;a.out;monolithic;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes|Unix permissions}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Solaris kernel;Solaris, OpenSolaris, GNU/kOpenSolaris (Nexenta OS);Sun Microsystems;ELF (32-bit only until Solaris 7 in 1998);monolithic;{{yes|IPFilter}};{{yes}};{{yes}};{{yes}};{{yes|Zones, chroot}};{{yes|Unix permissions, ACL, RBAC, Auditing, Privileges, Zones, Trusted Extensions}};{{yes|DTrace, CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb}};{{yes|Real-time scheduler}};{{dunno}};{{dunno}};
Trix kernel;Trix;Massachusetts Institute of Technology;a.out;monolithic;{{dunno}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows NT kernel [10];Windows NT, 2000, XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10;Microsoft;PE, others?;hybrid;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Hyper-V}};{{yes|ACL}};{{yes|Event Tracing[11]}};{{yes|Multimedia Class Scheduler Service}};{{no}};{{unofficial}}[12];
XNU (Darwin kernel) [11];Mac OS X, iOS, OpenDarwin, PureDarwin GNU/Darwin;Apple Computer;Mach-O;hybrid;{{yes|Ipfirewall, PF (starting in Lion)}};{{yes}};{{yes}};{{yes}};{{yes|chroot}};{{yes|Unix permissions, NT/NFSv4 ACLs, TrustedBSD MAC, OpenBSM}};{{yes|KDB, DDB, DTrace}};{{yes}};{{no}};{{yes}};
SPARTAN kernel [12];HelenOS;Jakub Jermar;ELF;microkernel;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Kernel name;Used in;Creator;Executable format (also see section below);Type;Integrated firewall;SMP support;Multiple architecture support (also see section below).;Multitasking;Virtualization;Security;Profiling/Debugging;Soft real-time support;Hard real-time support;Can keep RTC in UT;
