Music on Console;Damian Pietras;{{dts|2002-01-01}};{{Latest stable software release/Music on Console}};{{free}};{{free|GPL}};;C;
Music Player Daemon;Warren Dukes;{{dts|2003-05-01}};{{Latest stable software release/Music Player Daemon}};{{free}};{{free|GPL}};;C;
MusicBee;Steven Mayall;{{dts|2008-12-04}};3.2.6827 {{Start date and age|2018|08|12}};{{free}};{{proprietary}};BASS audio library;Visual Basic .NET;
musikCube;Casey Langen;{{dts|2005-01-01}};{{Latest stable software release/musikCube}};{{free}};{{free|BSD}};;;
Napster;William Christopher Gorog;{{dts|2003-10-01}};{{Latest stable software release/Napster (pay service)}};{{nonfree}};{{proprietary}};;;
Quod Libet;Quod Libet Team;{{dts|2004-11-08}};{{Latest stable software release/Quod_Libet_(software)}};{{free}};{{free|GPL}};GStreamer;Python (GTK) PyGTK;
Rdio;Rdio Inc;{{When|date=August 2014}} {{dts| }};Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 ({{Start date and age|df=yes|2013|10|28}}) iOS: 3.0.3 ({{Start date and age|df=yes|2014|09|27}});{{Subscription}};{{proprietary}};;;
Rhapsody;RealNetworks;{{dts|2003-01-01}};{{Latest stable software release/Rhapsody}};{{Subscription}};{{proprietary}};;;
Rhythmbox;Colin Walters;{{dts|2004-04-01}};{{Latest stable software release/Rhythmbox}};{{free}};{{free|GPL}};GStreamer;C;
Songbird;POTI Inc.;{{dts|2006-02-08}};{{Latest stable software release/Songbird}};{{free}};{{free|GPL}};GStreamer;
Sonic Visualiser;Centre for Digital Music at Queen Mary, University of London;;3.1.1 (August 14, 2018);{{free}};{{free|GPLv2 or later}};;;
Sonique;Media Science;{{dts|1998-11-01}};1.96 (March 2002);{{free}};{{proprietary}};;;
Spotify;Spotify LTD;{{dts|2008}};{{Latest stable software release/Spotify}};{{Nonfree}};{{proprietary}};;;
Style Jukebox;Digital Geek LTD;{{dts|2009-07-01}};{{Latest stable software release/Style Jukebox}};{{free}};{{proprietary}};;C#;
Winamp;Nullsoft;{{dts|April 21, 1997}};{{Latest stable software release/Winamp}};{{free}};{{proprietary}};Wasabi;C/C++;
XMMS;XMMS Team;{{dts|1997-11-01}};{{Latest stable software release/XMMS}};{{free}};{{free|GPL}};original;C;
XMPlay;Un4seen Developments;{{dts|1998}};3.8 ({{dts|2013|12|23}});{{free}};{{proprietary}};original (based on the BASS audio library);;
Name;Author;First public release date;Stable version;Cost;Software license;Based framework;Written in;
