;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention;
Polyhedra DBMS;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
PostgreSQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}7;{{yes}};{{yes}};{{yes}};{{yes}}[94];PostGIS[95];{{dunno}};{{no}};
Raima Database Manager;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
RDM Server;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
SAP HANA;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
solidDB;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
SQL Anywhere;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{no}};
SQLite;{{yes}}[96];{{no}};{{yes}}[97];{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}}[98];SpatiaLite[99];{{dunno}};{{no}};
SQream DB;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Teradata;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{dunno}}[100];{{dunno}};{{dunno}};{{no}};
UniVerse;{{yes}};{{yes}};{{yes}}3;{{yes}}3;{{yes}}3;{{no}};{{no}};{{no}};{{dunno}};{{yes}}[101];{{dunno}};{{no}};
! R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention;
