License;Author;Latest version;Publication date;Linking;Distribution;Modification;Patent grant;Private use;Sublicensing;<abbr title="trademark">TM</abbr> grant;
GNU General Public License;Free Software Foundation;3.0;2007June 2007;{{free|GPLv3 compatible only}}[24][25];{{free|Copylefted}}[22];{{free|Copylefted}}[22];{{yes}}[26];{{yes}}[26];{{free|Copylefted}}[22];{{yes}}[26];
GNU Lesser General Public License;Free Software Foundation;3.0;2007June 2007;{{free|With restrictions}}[27];{{free|Copylefted}}[22];{{free|Copylefted}}[22];{{yes}}[28];{{yes}};{{free|Copylefted}}[22];{{yes}}[28];
IBM Public License;IBM;1.0;1999August 1999;{{free|Copylefted}};{{dunno}};{{free|Copylefted}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ISC license;Internet Systems Consortium;{{n/a}};2003June 2003;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
LaTeX Project Public License;LaTeX project;1.3c;{{dunno}};{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Public License;Microsoft;{{n/a}};{{dunno}};{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{no}};{{yes|Permissive}};{{dunno}};{{no}};
MIT license / X11 license;MIT;{{n/a}};1988;{{yes|Permissive}}[29];{{yes|Permissive}}[29];{{yes|Permissive}}[29];{{no|Manually}}[29];{{yes}}[29];{{yes|Permissive}}[29];{{no|Manually}}[29];
Mozilla Public License;Mozilla Foundation;2.0;2012January 3, 2012;{{yes|Permissive}}[30];{{free|Copylefted}}[30];{{free|Copylefted}}[30];{{yes}}[30];{{yes}}[30];{{free|Copylefted}}[30];{{no}}[30];
Netscape Public License;Netscape;1.1;{{dunno}};{{partial|Limited}};{{dunno}};{{partial|Limited}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Open Software License[10];Lawrence Rosen;3.0;2005;{{yes|Permissive}};{{free|Copylefted}};{{free|Copylefted}};{{yes}};{{yes}};{{free|Copylefted}};{{dunno}};
OpenSSL license;OpenSSL Project;{{n/a}};{{dunno}};{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Python Software Foundation License;Python Software Foundation;2;{{dunno}};{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Q Public License;Trolltech;{{dunno}};{{dunno}};{{partial|Limited}};{{dunno}};{{partial|Limited}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Sleepycat License;Sleepycat Software;{{n/a}};1996;{{yes|Permissive}};{{partial|With restrictions}};{{yes|Permissive}};{{no}};{{yes}};{{no}};{{no}};
Unlicense;unlicense.org;1;2010December 2010;{{yes|Permissive/Public domain}};{{yes|Permissive/Public domain}};{{yes|Permissive/Public domain}};{{dunno}};{{yes|Permissive/Public domain}};{{yes|Permissive/Public domain}};{{dunno}};
W3C Software Notice and License;W3C;20021231;2002December 31, 2002;{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Do What The Fuck You Want To Public License (WTFPL);Banlu Kemiyatorn, Sam Hocevar;2;2004December 2004;{{yes|Permissive/Public domain}};{{yes|Permissive/Public domain}};{{yes|Permissive/Public domain}};{{no}};{{yes}};{{yes}};{{no}};
XCore Open Source License also separate "Hardware License Agreement";XMOS;{{dunno}};2011February 2011;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{no|Manually}};{{yes}};{{yes|Permissive}};{{dunno}};
XFree86 1.1 License;The XFree86 Project, Inc;{{dunno}};{{dunno}};{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
zlib/libpng license;Jean-Loup Gailly and Mark Adler;{{dunno}};{{dunno}};{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
