;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
CRAX Commander;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};
Disk ARchiver;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Filzip;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
FreeArc;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}}{{Ref label|reading-7zip|1}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}}{{Ref label|reading-arc|12}};{{yes}};{{no}};{{yes}};{{no}};
GNU tar{{Ref label|tar-compression|2}};{{no}}{{Ref label|tar-compression|2}};{{yes}};{{yes}}{{Ref label|tar-compression|2}};{{yes}}{{Ref label|tar-compression|2}};{{no}}{{Ref label|reading-7zip|3}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
iArchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Info-ZIP;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
KGB Archiver;{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
PeaZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
PKZIP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
PowerArchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Star{{Ref label|tar-compression|2}};{{no}}{{Ref label|tar-compression|2}};{{yes}};{{yes}}{{Ref label|tar-compression|2}};{{yes}}{{Ref label|tar-compression|2}};{{yes}}{{Ref label|tar-compression|2}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
StuffIt;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
The Unarchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Partial}};{{yes}};{{Partial}}{{Ref label|Unarchiver-SITX|11}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
TUGZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
WinAce;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};
WinRAR;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
WinZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}}{{Ref label|reading-winzip|4}};{{yes}};{{no}};{{no}};{{no}};{{yes}}{{Ref label|reading-winzip|5}};{{no}};{{no}};{{yes}}{{Ref label|reading-winzip|5}};{{yes}};{{no}};{{yes}};{{no}};
XAD;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{yes}};{{yes}};{{Partial}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Xarchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
ZipGenius;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}}{{Ref label|ZipGenius-external|10}};{{yes}};{{no}};{{no}};{{yes}}{{Ref label|ZipGenius-external|10}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
! ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
