GFS;{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
HPFS;{{partial}} (with third-party drivers);{{no}};{{partial}} (with NT 3.1 to 4.0 only);{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}} (from OS/2 1.2);{{dunno}};{{no}};{{dunno}};{{dunno}};
NTFS;{{partial}} (with third-party drivers);{{yes}} (with 3rd-party drivers like “Paragon NTFS for Win98”,“DiskInternals NTFS Reader”?;{{yes}};{{yes}} with ntfs-3g;{{no}};{{yes}} natively read only, write support with Paragon NTFS or ntfs-3g;{{yes}} with ntfs-3g;{{dunno}};{{yes}} with ntfs-3g;{{no}};{{yes}} with ntfs-3g;{{dunno}};
Apple HFS;{{no}};{{no}};{{yes}} with Paragon HFS+ [68];{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{no}};{{dunno}};{{no}};
Apple HFS Plus;{{no}};{{no}};{{yes}} with Paragon HFS+ [68];{{partial}} - writing support only to unjournalled FS;{{yes}} from Mac OS 8.1;{{yes}};{{no}};{{dunno}};{{yes2|with addon}};{{no}};{{dunno}};{{no}};
FFS;{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
UFS1;{{no}};{{no}};{{partial}} (with ufs2tools, read only);{{partial}} - read only;{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
UFS2;{{no}};{{no}};{{partial}} (with ufs2tools, read only);{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
LFS;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ext;{{no}};{{no}};{{no}};{{yes}} - until 2.1.20;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Xiafs;{{no}};{{no}};{{no}};{{yes}} - until 2.1.20 Experimental port available to 2.6.32 and later [69][70];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ext2;{{no}};{{no}};{{yes}} with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];{{yes}};{{no}};{{yes}} with Paragon ExtFS [74] or ext2fsx;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
ext3;{{no}};{{no}};{{yes}} with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];{{yes}};{{partial}} (read only){{citation needed|date=October 2016}};{{yes}} with Paragon ExtFS [74] or partial with ext2fsx (journal not updated on writing);{{partial}} (read-only)[75][76];{{no}};{{yes2|with addon}};{{dunno}};{{yes}};{{dunno}};
ext4;{{no}};{{no}};{{yes}} with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];{{yes}};{{dunno}};{{yes}} with Paragon ExtFS [74];{{partial}} support in kernel since version 10.1 (read-only)[75][76];{{no}};{{yes2|with addon}};{{dunno}};{{dunno}};{{dunno}};
NOVA;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Lustre;{{no}};{{no}};{{no}};{{yes}}[77];{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
NILFS;{{no}};{{no}};{{dunno}};{{yes}} as an external kernel module;{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
F2FS;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ReiserFS;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{partial}} Read Only;{{dunno}};{{yes2|with addon}};{{dunno}};{{dunno}};{{dunno}};
Reiser4;{{no}};{{no}};{{no}};{{yes}} with a kernel patch;{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SpadFS;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};
OCFS;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OCFS2;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
XFS;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{partial}};{{dunno}};{{partial|with addon (read only)}};{{dunno}};{{dunno}};{{dunno}};
JFS;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
QFS;{{no}};{{no}};{{no}};{{partial}} - client only[78];{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Be File System;{{no}};{{no}};{{no}};{{partial}} - read-only;{{dunno}};{{dunno}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
NSS;{{no}};{{no}};{{no}};{{yes}} via EVMS{{efn |name=EVMS |Supported using only EVMS; not currently supported using LVM}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
NWFS;{{partial}} (with Novell drivers);{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ODS-2;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ODS-5;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
UDF;{{no}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
VxFS;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Fossil;{{no}};{{no}};{{no}};{{yes}}{{efn |name=fossil-p9p |Provided in Plan 9 from User Space}};{{no}};{{yes}}{{efn |name=fossil-p9p}};{{yes}}{{efn |name=fossil-p9p}};{{no}};{{no}};{{no}};{{yes}}{{efn |name=fossil-p9p}};{{dunno}};
ZFS;{{no}};{{no}};{{no}};{{yes}} with FUSE[79] or as an external kernel module[80];{{dunno}};{{yes}} with Read/Write Developer Preview[81];{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Btrfs;{{no}};{{no}};{{Partial}} with WinBtrfs[82];{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
VMFS2;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
VMFS3;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
IBM HFS;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};
IBM zFS;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};
ReFS;{{no}};{{no}};{{yes}} (from Windows Server 2012 and from Windows 8.1);{{Partial}} - with Paragon ReFS for Linux;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ISO 9660;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Rock Ridge;{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
Joliet ("CDFS");{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
SquashFS;{{no}};{{no}};{{partial}} (There are ports of unsquashfs and mksquashfs.);{{yes}};{{no}};{{partial}} (There are ports of unsquashfs and mksquashfs.);{{partial}} (There are ports of unsquashfs and mksquashfs and fusefs-port.[83][84]);{{no}};{{no}};{{no}};{{no}};{{no}};
File system;DOS;Windows 9x;Windows NT;Linux;"classic" Mac OS;macOS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;
