Client name;Platform;License;WebDAV ACL editor;Discovery of other user’s collections;ICalendar events;ICalendar tasks;ICalerdar journals;ICalendar VAVAILABILITY (RFC 7953);CalDAV Scheduling;CardDAV;vCard Synchronization;User interface;Online store;.well-known URLs;FBURL;DNS SRV;handles home-sets;
KCardDAV[11] (discontinued);Cross-platform Kontact add-on;{{GPL-lic}};{{unk}};{{unk}};{{n/a}};{{n/a}};{{n/a}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
KOrganizer, KAddressBook, Kontact;Unix-KDE;{{GPL-lic}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};KOrganizer;{{yes|KOrganizer}};{{unk}};{{unk}};{{unk}};{{unk}};
Lightning[12];Cross-platform Thunderbird Add-on;{{free|MPL, GPL, LGPL}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{n/a}};Out of scope;Lightning;{{yes|Lightning}};{{unk}};{{unk}};{{unk}};{{unk}} probably not;
CardBook[13];Cross-platform Thunderbird Add-on;{{free|MPL}};{{no}};{{no}};Out of scope;Out of scope;Out of scope;Out of scope;Out of scope;{{yes}} vCard 3.0 and vCard 4.0;{{yes}};CardBook;Mozilla Add-ons (ATN);{{yes}};Out of scope;{{no}};partial;
MineTime[14];Cross-platform;{{proprietary}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};MineTime;minetime.ai;{{no}};{{no}};{{no}};
Mulberry[15];Cross-platform;{{free|Apache}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
Outlook CalDav Synchronizer[16];Windows;{{free|AGPL}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};Outlook;{{unk}};{{yes}};{{unk}};{{yes}};{{yes}};
pyCardDAV[17];Cross-platform Python;{{free|MIT}};{{unk}};{{unk}};{{n/a}};{{n/a}};{{n/a}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
The Bat![18];Windows;{{proprietary}};{{unk}};{{unk}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{yes}};{{unk}};The Bat!;{{yes|The Bat!'s address book}};{{unk}};{{unk}};{{unk}};{{unk}};
Inverse SOGo Connector-Integrator[19];Cross-platform Thunderbird Add-on;{{free|MPL, GPL, LGPL}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};Mozilla;{{yes|Mozilla Add-ons}};{{unk}};{{unk}};{{unk}};{{unk}};
Evolution;Cross-platform;{{GPL-lic}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}} vCard 3.0 only;{{unk}};Evolution;{{yes|Evolution}};{{yes}};{{yes}} if the URL does not require authentication;{{yes}};{{yes}};
ReminderFox[20];Cross-platform Firefox;{{free|MPL 1.1}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{no}};{{n/a}};{{unk}};ReminderFox;{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};
