Model;Level;Image processor;Sensor format;Sensor type;Sensor manufacturer;Megapixels;Focus points;Metering pixels;Viewfinder coverage;Viewfinder magnification;ISO min (expanded);ISO min;ISO max;ISO max (expanded);Display size, pixels;Touch screen;Storage media;Live view;Movie mode;Max FPS;Shutter Rating;Weight (g);Dimensions (mm);Video;Release Date;WiFi/Bluetooth;GPS;
D810;Professional;EXPEED 4;Full-frame;CMOS;Sony;36.3;51;91000;100%;0.7x;32;64;12800;51200;3.2" 1229k;;CF, SDHC, SDXC (×2);Yes;Yes;5;200.000;880;146 x 123 x 81.5;1080p60;2014 2Q;;GP-1(A);
D800;Professional;EXPEED 3;Full-frame;CMOS;Sony;36.3;51;91000;100%;0.7x;50;100;6400;25600;3.2" 921k;;CF, SDHC, SDXC;Yes;Yes;4;200.000;900;145 × 122 × 81;1080p30;2012 1Q;;GP-1(A);
D700;High-end;EXPEED;Full-frame;CMOS;Nikon;12.1;51;1005;95%;0.7x;100;200;6400;25600;3.0" 921k;;CF;Yes;No;5;150.000;995;147 × 123 × 77;;2008 3Q;;GP-1(A);
D750;High-end;EXPEED 4;Full-frame;CMOS;Sony;24.3;51;91000;100%;0.7x;50;100;12800;51200;3.2" 1229k;;SD SDHC SDXC (×2);Yes;Yes;6.5;150.000;750;150.5 × 113 × 78;1080p60;2014 3Q;WiFi built in;GP-1(A);
Df;High-end;EXPEED 3;Full-frame;CMOS;Nikon;16.2;39;2016;100%;0.7x;50;100;12800;204800;3.2" 921k;;SD/SDHC/SDXC;Yes;No;5.5;150.000;710;144 × 110 × 67;;2013 4Q;;GP-1(A);
D610;Advanced;EXPEED 3;Full-frame;CMOS;Sony;24.3;39;2016;100%;0.7x;50;100;6400;25600;3.2" 921k;;SD/SDHC/SDXC (×2);Yes;Yes;6;150.000;760;141 × 113 × 82;1080p30 720p60;2013 3Q;;GP-1(A);
D600;Advanced;EXPEED 3;Full-frame;CMOS;Sony;24.3;39;2016;100%;0.7x;50;100;6400;25600;3.2" 921k;;SD/SDHC/SDXC (×2);Yes;Yes;5.5;150.000;760;141 × 113 × 82;;2012 3Q;;GP-1(A);
D500;Advanced;EXPEED 5;APS-C;CMOS;Sony;20.9;153{{refn|group=a|name="153 AF"}};180000;100%;1x;50;100;51200;1640000;3.2? 2359k;Tilting;SD/SDHC/SDXC, XQD;Yes;Yes;10;200.000;760;147 × 115 × 81;4K30 1080p60;2016 1Q;WiFi + Bluetooth built in;GP-1(A) + SnapBridge;
D300S;Advanced;EXPEED;APS-C;CMOS;Sony;12.3;51;1005;100%;0.94x;100;200;3200;6400;3.0" 921k;;CF, SD, SDHC;Yes;Yes;7;150.000;840;147 × 114 × 74;;2009 3Q;;GP-1(A);
D300;Advanced;EXPEED;APS-C;CMOS;Sony;12.3;51;1005;100%;0.94x;100;200;3200;6400;3.0" 921k;;CF, MicroDrive;Yes;No;6;150.000;825;147 × 114 × 74;;2007 3Q;;GP-1(A);
D200;Advanced;;APS-C;CCD;Sony;10.2;11;1005;95%;0.94x;100;100;1600;1600;2.5" 230k;;CF, MicroDrive;No;No;5;;830;147 × 113 × 74;;2005 4Q;;GP-1(A);
D100;Advanced;;APS-C;CCD;Sony;6.1;5;1005;95%;0.8x;200;200;1600;1600;1.8" 118k;;CF, MicroDrive;No;No;3;;700;115 × 117 × 81;;2002 1Q;;;
D7500;Mid-range;EXPEED 5;APS-C;CMOS;Sony;20.9;51{{refn|group=a|name="153 AF"}};180000;100%;0.94x;50;100;51200;1640000;3.2? 922k;Tilting;SD/SDHC/SDXC;Yes;Yes;8;150.000;640;135.5 × 104 × 72.5;4K30 1080p60;2017 2Q;WiFi + Bluetooth built in;GP-1(A) + SnapBridge;
