;sRGB;Adobe RGB;Indexed;Grayscale;CMYK;LAB;HSV;
Erdas Imagine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
Fatpaint;{{yes}};{{no}};{{partial}};{{partial}};{{partial}};{{no}};{{partial}};
Fotografix;{{yes}};{{no}};{{partial|Import only}};{{partial|Import only}};{{partial|Import only}};{{no}};{{no}};
GIMP;{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[28];{{partial}}[27];{{yes}};
GIMPshop;{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[28];{{no}};{{yes}};
GrafX2;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
GraphicConverter;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
Helicon Filter;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};;;
iPhoto*;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
IrfanView;{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};;;
Iridient Developer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Kolourpaint;{{yes}};{{dunno}};{{no}};{{yes}};{{no}};;;
Krita;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
MacPaint*;{{no}};{{no}};{{no}};{{yes}};{{no}};;;
Microsoft Office Picture Manager*;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};;;
Microsoft Paint;{{yes}};{{dunno}};{{partial|Import only}};{{no}};{{no}};{{no}};{{no}};
Microsoft Photo Editor*;{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};;;
OpenCanvas;{{yes}};{{dunno}};{{dunno}};{{yes}};{{no}};;;
Paint.NET;{{yes}};{{no}};{{partial}};{{partial}};{{partial}};{{no}};{{partial}};
PC Paintbrush*;{{no}};{{dunno}};{{yes}};{{no}};{{no}};;;
Photofinish*;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;;
Photogenics;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
PhotoLine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
PhotoPerfect*;{{yes}};{{partial|Import only}};{{no}};{{yes}};{{partial|Import only}};{{partial|Curve editing only}};{{no}};
Photos;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
Photo Raster;{{yes}};{{no}};{{no}};{{partial}};{{no}};{{no}};{{no}};
Picasa*;{{yes}};{{dunno}};{{partial}};{{partial}};{{no}};;;
PicMaster;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
PixBuilder Photo Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;;
Pixelmator;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Pixia;{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;
Project Dogwaffle;{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;
QFX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
RawTherapee;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};
Seashore;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Serif PhotoPlus;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};
Tux Paint;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
TVPaint;{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;
Ulead PhotoImpact*;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Import only}};{{no}};{{yes}};
Ultimate Paint*;{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};;;
WinImages;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};;{{yes}};
Xara Photo & Graphic Designer;{{yes}};{{partial}};{{partial}};{{partial}};{{partial}};{{no}};{{partial}};
XnView;{{yes}};{{dunno}};{{yes}};{{yes}};{{partial}};{{no}};{{partial}};
XPaint;{{yes}};{{no}};{{partial}};{{yes}};{{no}};{{no}};{{no}};
Zoner Photo Studio;{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{partial}};{{no}};
