Software;Creates?;Modifies?;Mounts?;Restores?;Extracts?;Burns?;Input;Output;OS;License;Last_Update_Release;
CDRoller;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{?}};ISO;ISO;Windows;{{Nonfree|Shareware}};;
CDRWIN;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{?}};CUE, BIN;CUE, BIN;Windows;{{Nonfree|Shareware}};;
CloneCD;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};{{N/A}};ISO, UFD, IMG (CloneCD){{Verify source|date=January 2010}};Windows;{{Nonfree|Shareware}};;
CloneDVD;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{?}};ISO;ISO;Windows;{{Nonfree|Shareware}};;
CopyCatX;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{?}};DMG;DMG;Mac OS X;{{Nonfree|Shareware}};;
Daemon Tools;{{yes}};{{Partial|All editions except Lite}};{{yes}};{{yes}}{{efn|Lite editions requires Astroburn[2]}};{{Partial|All editions except Lite}};{{?}};BIN+CUE, B5T, B6T, BWT, CCD, CDI, ISO, ISZ, MDF+MDS, MDX, NRG, VHD, VMDK and TrueCrypt{{Efn|Daemon Tools supports the following non-image formats: ZIP, APE+CUE, FLAC+CUE, WAV+CUE}};ISO, MDS+MDF, MDX – VHD and TrueCrypt in Ultra edition;Windows;{{Nonfree|Freemium}}{{efn|All editions are trialware, except Lite edition, which is only shareware in Korea but freeware elsewhere.[3][4][5][6]}};;
DeepBurner;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO;ISO;Windows;{{Nonfree|Freemium}};;
Disco;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};CDR, ISO, DMG;CDR, ISO, DMG;Mac OS X;{{Free|Freeware}};;
DiscJuggler;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{?}};CDI, ISO;CDI;Windows;{{Nonfree|Shareware}};;
Disk Utility;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{?}};DMG, ISO;DMG, ISO;Mac OS X;{{Proprietary|Integral part of Mac OS X}};;
DiskImageMounter;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{?}};DMG, ISO;DMG, ISO;Mac OS X;{{Proprietary|Integral part of Mac OS X}};;
DVD Shrink;{{yes}};{{no}};{{no}};{{no}};{{yes}}{{efn|Opens DVD images (File menu or Ctrl-I)}};{{?}};ISO, NRG, IMG, MDS/Ixx;ISO;Windows;{{Free|Freeware}};;
Exact Audio Copy;{{yes}}{{efn|Audio tracks only. Leaves an ISO placeholder for the data track in the CUE for mixed-mode discs.}};{{no}};{{no}};{{no}};{{no}};{{?}};CUE;CUE/audio file types;Windows;{{Free|Free software}};;
Furius ISO Mount;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{?}};ISO, IMG, BIN, MDF, NRG;{{dunno}};Linux;{{Free|Free software (GPL)}};;
Image for Windows;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{?}};TBI, VHD, VMDK;TBI, VHD, VMDK;Windows;{{Nonfree|Shareware}};;
ImgBurn;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};APE, BIN, CDI, CDR, CUE, DI (Atari Disk Image), DVD, FLAC, GCM, GI, IBQ, IMG, ISO, LST, MDS, NRG, PDI, UDI, WV;ISO, IMG, BIN/CUE;Windows;{{Free|Freeware contains malware / adware}};;
InfraRecorder;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO;ISO;Windows;{{Free|Free software (GPL)}};;
ISO Master[7] [8];{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{?}};ISO;ISO;Linux;{{Free|Free software (GPL)}};;
ISO Recorder;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO;ISO;Windows;{{Free|Free software (BSD license)}};;
IsoBuster;{{Yes}};{{no}};{{no}};{{no}};{{yes}};{{?}};[9]DAO, TAO, ISO, BIN, IMG, CCD, CIF, FCD, NRG, GCD, P01, C2D, CUE, CDI, CD, GI, PXI, MDS/MDF, VC4/000, B5T/B5I, B6T/B6I, DMG, IBP/IBQ, NCD, FLP, E01/S01/Ex01, RMG, UDF, DSK, VMDK, IBADR/IBDAT, DD, XISO, XBX, IMAGE, VHD, VHDX, DC42[10], WBFS, 512E, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN[11];ISO, TAO, BIN, CUE, IBADR/IBDAT, DSK, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN[11], IBP and IBQ;Windows;{{Nonfree|Shareware}};;
IsoCreator;{{yes}};{{no}};{{no}};{{no}};{{no}};{{?}};{{N/A}};ISO;Windows;{{Free|Free software (AFL)}};;
K3b;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{?}};ISO;{{N/A}};Unix-like;{{Free|Free software (GPL)}};;
libguestfs;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{?}};raw, qcow2, VMDK, VHD;raw, qcow2, VMDK, VHD;Linux;{{Free|Free software (LGPL)}};;
Loop device[12];{{no}};{{no}};{{partial|Single volume only}};{{no}};{{no}};{{?}};Raw image;{{N/A}};Linux, FreeBSD;{{Free|Free software}};;
MagicISO;{{yes}};{{yes}};{{partial|With MagicDisc}};{{yes}};{{yes}};{{Yes}};Supported by both MagicISO and MagicDisc: ISO, BIN/CUE, IMA/IMG, CIF, NRG, IMG/CCD, MDF/MDS, VCD, VaporCD, P01/MD1/XA, VC4/000, VDI, C2D, BWI/BWT, CDI, TAO/DAO, PDI.[13][14] Supported by MagicISO only: DMG, FLP, DSK, BFI, BIF, WBT[13];ISO, BIN/CUE, UIF, NRG, DMG[15];Windows;{{Nonfree|Shareware}}{{efn|MagicDisc is Freeware}}[16];5.5 (build 281) 2/21/2010;
mount;{{no}};{{no}};{{yes}};{{no}};{{no}};{{?}};ISO;{{N/A}};Linux;{{Free|Free software (GPL)}};;
Nero Multimedia Suite;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO, NRG;ISO, NRG;Windows;{{Nonfree|Shareware}};;
Nero Burning ROM;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO, NRG;ISO, NRG;Windows;{{Software license|License]]}};;
Nero Linux;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO, NRG;ISO, NRG;Linux;{{Nonfree|Shareware (Discontinued)}};;
Norton Ghost;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{?}};GHO, GHS, VMDK, V2I, IV2I, PQI;GHO, GHS, VMDK;Windows;{{Nonfree|Shareware}};;
OSFmount;{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{?}};IMG, DD, ISO, BIN/CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD;{{dunno}};Windows;{{Free|Freeware}};;
Partimage;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};Compressed file system image: Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS;Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS;Linux;{{Free|Free software (GPL)}};;
PeaZip;{{no}};{{no}};{{no}};{{no}};{{yes}};{{?}};DMG, ISO, VHD, WIM[17];{{N/A}};Windows, Linux;{{Free|Free software (LGPL v3)}};;
Roxio Creator[18];{{Yes}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO, C2D, BIN/CUE, GI;ISO, GI;Windows;{{Nonfree|Proprietary commercial}};;
Roxio Toast[19];{{no}};{{no}};{{no}};{{yes}};{{no}};{{?}};ISO, BIN/CUE, IMG, DMG, CDR, NRG;{{N/A}};Mac OS X;{{Nonfree|Proprietary commercial}};;
UltraISO;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{?}};BIN/CUE, BWI/BWT/B5T/B5I/B6T/B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD/GI, IMA, IMG/CCD, IML, ISO/ISZ, LCD, MDF/MDS, NCD, NRG, P01/MD1/XA, PDI, PXI, TAO/DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD/XMF [20];BIN/CUE, CCD/IMG/SUB, ISO/ISZ, MDF/MDS, NRG;Windows;{{Nonfree|Trialware}};9.7.1.3519 24/01/2018;
Virtual CloneDrive;{{no}};{{no}};{{yes}};{{no}};{{no}};{{?}};ISO, BIN, IMG, UDF, DVD, CCD;{{n/a}};Windows;{{Free|Freeware}};;
Virtual CD-ROM Control Panel;{{no}};{{no}};{{yes}};{{no}};{{no}};{{?}};ISO;{{n/a}};Windows;{{Free|Freeware}};;
VirtualDrive Pro;{{no}};{{no}};{{yes}};{{no}};{{no}};{{?}};{{N/A}};{{N/A}};Windows;{{Nonfree|Shareware}};;
WADK;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{?}};WIM, WSM;WIM, WSM;Windows NT;{{Nonfree|Freeware; DISM component is included with Windows}};;
WinCDEmu;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{?}};ISO, BIN, NRG, MDS/MDF, CCD, IMG;{{N/A}};Windows;{{Free|Free software (LGPL)}};;
Windows Explorer;{{Partial|VHD only}};?;{{yes}};{{Partial|ISO only}};{? || {{?}} | ISO,[21][22] VHD[23] || VHD || Windows NT || {{Needs|Part of Windows}} | |- ! {{rh}} | WinRAR | {{no}} || {{no}} || {{no}} || {{no}} || {{yes}} || {{?}} | ISO || {{N/A}} || Windows || {{Nonfree|Shareware}} | |- ! {{rh}} | WinZip | {{no}} || {{no}} || {{no}} || {{no}} || {{yes}} || {{?}} | ISO || {{N/A}} || Windows || {{Nonfree|Shareware}} | |- class="sortbottom" ! Software ! Creates? ! Modifies? ! Mounts? ! Restores? ! Extracts? ! ! Input? ! Output? ! OS ! License ! |} See also Disk image Disk partitioning Optical disc authoring List of optical disc authoring software Comparison of disc authoring software List of disk cloning software Comparison of disk cloning software Notes {{Notelist}} References {{reflist|refs= [3] [4] [7] [8] [13] [14] [15] [5] [6] [18] [19] [11] [10] [9] }} {{Use dmy dates|date=January 2012}};
