Pegasus Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} {{r|group=Note|pegasusaddins}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pine;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Pocomail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
RoundCube;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
SeaMonkey Mail & Newsgroups;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{partial}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Spicebird;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{partial}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SquirrelMail;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Sylpheed;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};
The Bat!;{{yes}};{{yes}} {{r|group=Note|SelectiveDownload}};{{yes}} {{r|group=Note|MessageDispatcher}};{{yes}};{{yes}};{{yes}} {{r|group=Note|BAT_mygate}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Trojitá;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Turnpike;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows Live Mail;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{no}};
Windows Mail;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};
YAM;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Zimbra;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Client;POP3 fetch all messages;POP3 selected by filter;POP3 selected by user;IMAP4;SMTP;NNTP;LDAP v2;LDAP v3;EWS;IPv6;MAPI;
