Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
MEPIS;Warren Woodford;MEPIS LLC;{{date|2003|iso}};{{dunno}};{{dunno}};{{dunno}};{{Proprietary|X}};Debian;desktop, server;{{Free|Gratis}};{{site inactive}};
Musix GNU+Linux;Musix team;Musix team;{{date|2008|iso}};3.0.1;{{dunno}};{{date|2014-03-13|iso}};{{Free|100% Free: GNU FSDG}};Debian;multimedia;{{Free|Gratis}};{{site active}};
Netrunner;Blue Systems;dev team;{{date|2009|iso}};18.03;as per Debian Testing or Manjaro (rolling);{{date|2018-03-11|iso}};{{Proprietary|X}};Debian, Manjaro/Arch;desktop;{{Free|Gratis}};{{site active}};
NixOS;Eelco Dolstra and Armijn Hemel;NixOS Foundation;{{date|2003|iso}};17.09;6 months;{{date|2017-10-02|iso}};{{Proprietary|X}};;general, server, desktop;{{Free|Gratis}};{{site active}};
Novell Open Enterprise Server;Novell;Novell, Inc. dev team;{{date|2003|iso}};{{dunno}};{{dunno}};{{dunno}};{{Proprietary|X}};SUSE Linux Enterprise Server;server;{{no|Commercial}}[26];{{site active}};
OpenELEC;Stephan Raue, OpenELEC Team;OpenELEC Team;{{date|2011|iso}};8.0.4;{{dunno}};{{date|2017-06-04|iso}};{{Proprietary|X}};–;multimedia;{{Free|Gratis}};{{site active}};
openSUSE;SUSE Linux, Novell;openSUSE Project;{{date|2006|iso}};42.3;3 years[27];{{date|2017-07-26|iso}};{{Proprietary|X}};–;general, desktop;{{Free|Gratis}};{{site active}};
OpenWrt;{{dunno}};OpenWrt team;{{date|2007|iso}};15.05.1;{{dunno}};{{date|2017-03-16|iso}};{{Proprietary|X}};–;embedded systems;{{Free|Gratis}};{{dunno}};
Oracle Linux;Oracle Corporation;Oracle Corporation;{{date|2006|iso}};7.4;{{dunno}};{{date|2017-08-08|iso}};{{Proprietary|X}};Red Hat Enterprise Linux (RHEL);server;{{Free|Gratis}};{{site active}};
Parabola GNU/Linux-libre;Parabola Hackers;Parabola Hackers;{{date|2009|iso}};Rolling;Rolling;{{date|2017-05-28|iso}}[28];{{Free|100% Free: GNU FSDG followed in Parabola Social Contract}};Arch Linux;general;{{Free|Gratis}};{{site active}};
Pardus;Scientific and Technological Research Council of Turkey (TÜB?TAK);TÜB?TAK;{{date|2005|iso}};5;{{dunno}};{{date|2015-04-25|iso}};{{Proprietary|X}};–;general;{{Free|Gratis}};{{dunno}};
Parsix;Alan Baghumian;Parsix Project;{{date|2005|iso}};8.15;{{dunno}};{{date|2017-01-25|iso}};{{Proprietary|X}};Debian;desktop;{{Free|Gratis}};{{site inactive}};
PCLinuxOS;Bill Reynolds;dev team;{{date|2003|iso}};2017.04[29];Semi-rolling;{{date|2017-04-02|iso}};{{Proprietary|X}};Mandriva Linux;desktop;{{Free|Gratis}};{{Active}};
