Client name;Encrypted by default;Development status;Open source client[68];Decentralized[69];Servers;Contact verification[70];Encryption ciphers;Forward secrecy[71];Multiple encryption[72][73];Encrypted groupchat[74];Encrypted file transfer[74];Public key and IP unrelated[75];Proxy /Tor[76];Transport[77];Asynchronous encryp. communication[78];Encrypted client data[79];Screenshot protection[80];Self-destructing messages[80];
Open source;Distributed;Federated;Data;Symmetric[72][81];Asymmetric[82];Asym. key size[83];TCP;UDP;SCTP;
Profile information[84];Chat metadata[85];Contact lists[86];Cloud backup;McEliece;RSA;DSA;ECC;NTRU;El Gamal;Default;Max.;
Sicher;{{yes}};{{Active}};{{no}}[102];{{no}};{{no}};{{dunno}};{{no}};;;;;{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};RSA-2048[106];{{n/a}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{dunno}};{{yes}};
Signal;{{yes}}[107];{{Active}};{{yes}}[102];{{no}};{{yes}};{{yes}}[108];{{no}}[109];{{good|Stored; client-side encrypted}}[110];{{good|Not stored}}[111];{{good|Not stored}}[111][112];{{no}};{{yes}}[87];{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};ECC-256[113];{{n/a}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[114];{{yes}}[114];{{no}};{{yes}};{{yes}}[115];{{Yes}};{{Yes}};
Silent Phone;{{yes}};{{Active}};{{yes|Viewable source}}[116];{{no}};{{no}};{{no}};{{no}};{{bad|Stored}}[117];{{good|Not stored}}{{cn|date=May 2018}};{{good|Not stored}}{{cn|date=May 2018}};{{dunno}};{{yes}}[87];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[87];{{yes}}[118];{{yes}}[119];{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}}{{cn|date=May 2018}};{{yes}};{{yes}};
Surespot;{{yes}};{{Active}};{{yes}}[102];{{no}};{{no}};{{dunno}};{{no}};{{good|Stored; client-side encrypted}}[120];{{bad|Stored}}[120];{{bad|Stored}}[120];{{no}};{{yes}}[87];{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}}[121];{{no}};{{no}};ECC-521[121];{{n/a}};{{yes}};{{no}};No groupchat;{{no}};{{no}};{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Threema;{{yes}};{{Active}};{{partial|Partially}}[122][123];{{no}};{{no}};{{dunno}};{{no}};{{good|Stored; client-side encrypted}}[124];{{good|Not stored}}[124];{{good|Not stored}}[124];{{optional}};{{yes}}[87];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}}[125];{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{no}};
Tox;{{yes}};{{Active}};{{yes}}[102];{{yes}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{no}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Viber;{{yes-no|allows unencrypted}}[126][127];{{Active}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{bad|Stored; not client-side encrypted}}[128];{{bad|Stored}}[128];{{bad|Stored}}[128];{{optional}};{{yes}}[129];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[129];{{dunno}};{{dunno}};ECC-256[129];{{n/a}};{{yes}}[129];{{dunno}};{{depends}}[129][130];{{yes}}[129];{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[129];{{dunno}};{{no}};{{no}};
WhatsApp;{{yes}};{{Active}};{{partial|Partially}}[122][131];{{no}};{{no}};{{yes}};{{no}};{{bad|Stored; not client-side encrypted}}[132];{{bad|Stored}}[132];{{bad|Stored}}[132];{{optional|Optional, icloud backup is encrypyed by phone#}}[133];{{yes}}[131];{{yes}}[131];{{dunno}};{{dunno}};{{dunno}};{{yes}}[131];{{dunno}};{{dunno}};ECC-256[131];{{n/a}};{{yes}}[131];{{yes}}[131];{{yes}}[131];{{yes}}[131];{{yes}}[131];{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[131];{{no}};{{no}};{{no}};
Wickr Me;{{yes}};{{Active}};{{partial|Partially}}[122][134];{{no}};{{no}};{{dunno}};{{no}};{{bad|Stored; not client-side encrypted}}[135];{{good|Not stored}}[136];{{good|Not stored}}[136];;{{yes}}[137];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[137];{{no}};{{no}};ECC-521[137];{{n/a}};{{yes}}[137];{{yes}}[137];{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}}[137];{{yes-no|Capture notification}}[138];{{yes}};
Wickr Pro;{{yes}};{{Active}};{{partial|Partially}}[122][139];{{no}};{{no}};{{dunno}};{{no}};{{bad|Stored; not client-side encrypted}}[135];{{good|Not stored}}[136];{{good|Not stored}}[136];;{{yes}}[137];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[137];{{no}};{{no}};ECC-521[137];{{n/a}};{{yes}}[137];{{yes}}[137];{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}}[137];{{dunno}};{{yes}};
Wire;{{yes}};{{Active}};{{yes}}[140];{{no}};{{yes}}[141];{{dunno}};{{no}}[141];{{bad|Stored; not client-side encrypted}}[142];{{bad|Stored}}[142];{{bad|Stored}}[142];{{no}};{{Yes}}[143];{{Yes}}[144];{{dunno}};{{dunno}};{{dunno}};{{Yes}}[144];{{dunno}};{{dunno}};ECC-256[144];{{n/a}};{{Yes}};{{Yes}};{{Yes}};{{yes}}[145];{{dunno}};{{No}};{{Yes}}[144];{{Yes}}[144];{{dunno}};{{Yes}};{{Yes}}{{citation needed|date=May 2016}};{{No}};{{yes}}[146];
TextSecure;{{yes}};{{No|Discontinued}}[147];{{yes}}[102][148];{{partial|Partially}}[149];{{Yes}}[149];{{Yes}};{{Yes|Yes, briefly}}[149];{{n/a}};{{good|Not stored}};{{good|Not stored}};{{no}};{{yes}}[87];{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};ECC-256[113];{{n/a}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}}[150];{{yes}};{{yes}};{{no}};
WASTE;{{yes}};{{No|Discontinued}};{{yes}}[102];{{yes}};{{n/a}};{{n/a}};{{n/a}};;;;;{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Adium;{{no}};{{Active}};{{yes}}[102];{{yes}};{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
Google Allo (incognito mode)[151];{{no}};{{Active}};{{partial|Partially}}[122];{{no}};{{no}};{{yes}}[152];{{no}};;;;{{no}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};ECC-256;{{n/a}};{{yes}};{{yes}};{{optional}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};
Facebook Messenger (secret conversations)[153];{{no}};{{Active}};{{partial|Partially}}[122][154];{{no}};{{no}};{{yes}}[155];{{no}};{{bad|Stored; not client-side encrypted}};;{{bad|Stored}};{{no}};{{yes}}[154];{{yes}}[154];{{dunno}};{{dunno}};{{dunno}};{{yes}}[154];{{dunno}};{{dunno}};ECC-256[154];{{n/a}};{{yes}}[154];{{yes}};{{no|Includes groupchat, but it is not encrypted}}[156];{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}}[154];{{dunno}};{{yes}}[154];
Gajim;{{no}};{{Active}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88];{{Optional}};{{Optional}}[38];{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{Optional}};{{dunno}};{{dunno}};{{no}};
Jitsi;{{no}};{{Active}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}}[87];{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{no}};{{no}};
KakaoTalk (secret chats)[157];{{no}};{{Active}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Kopete[158];{{no}};{{Active}};{{yes}}[102];{{yes}};{{yes}};{{yes}};{{yes}};;;;;{{yes}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{no|Includes groupchat, but it is not encrypted}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};
Miranda IM;{{no}};{{Active}};{{yes}}[102];{{yes}};{{dunno}};{{dunno}};{{dunno}};;;;;{{yes}}[159];{{yes}}[160];{{dunno}};{{Optional}}[38][161];{{dunno}};{{dunno}};{{dunno}};{{dunno}};ECC-192[161];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[162];{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pidgin;{{no}};{{Active}};{{yes}}[102];{{yes}};{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}}[87];{{yes}}[88][163];{{dunno}};{{Optional}}[38][164];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88][163];{{dunno}};{{dunno}};{{yes}}[163];{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{optional}}[165];{{dunno}};{{dunno}};{{dunno}};
Riot.im;{{no}};{{Active}}, public beta;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes|Device verification}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};ECC-256;{{dunno}};{{Optional}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};
Telegram (secret chats);{{no}};{{Active}};{{yes}}[102];{{no}};{{no}};{{yes}};{{no}};{{bad|Stored; not client-side encrypted}};{{good|Not stored}}[166];{{bad|Stored}}[166];{{no}};{{yes}}[87];{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};RSA-2048[167];{{n/a}};{{yes-no|Sort of}}[168];{{yes}};{{no|Includes groupchat, but it is not encrypted}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{optional}};{{yes}}, warning;{{Yes}};
Xabber;{{no}};{{Active}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};;;{{bad|Stored}};{{dunno}};{{dunno}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Client name;Encrypted by default;Development status;Open source client[68];Decentralized[69];Servers;Contact verification[70];Encryption ciphers;Forward secrecy[71];Multiple encryption[72][73];Encrypted groupchat[74];Encrypted file transfer[74];Public key and IP unrelated[75];Proxy /Tor[76];Transport[77];Asynchronous encryp. communication[78];Encrypted client data[79];Screenshot protection[80];Self-destructing messages[80];
Open source;Distributed;Federated;Data;Symmetric[72][81];Asymmetric[82];Asym. key size[83];TCP;UDP;SCTP;
Profile information[84];Chat metadata[85];Contact lists[86];Cloud backup;McEliece;RSA;DSA;ECC;NTRU;El Gamal;Default;Max.;
