Name;Founded year;Latest stable version;Release year;License;Online;Windows;Mac OS X;Linux;BSD;Programming language;SDK?;Languages;Fonts;Output Formats;Notes;
gImageReader[29];2009;3.2.99;2017-07;{{free|GPL}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};C++;{{dunno}};100+;Any printed font;TXT, PDF, hOCR;uses Tesseract OCR engine;
GOCR;2000;0.52[30];2018-10-15;{{free|GPL}};{{yes}}[31];{{yes}};{{yes}};{{yes}};{{yes}};C;{{dunno}};20+;{{dunno}};;;
Ocrad;{{dunno}};0.26[32];2017-03-31;{{free|GPL}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};C++;{{yes}};Latin alphabet;{{dunno}};;Command line;
SmartScore;1991;10.5.8;2015-07;{{proprietary}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;For musical scores;
Microsoft Office Document Imaging;{{dunno}};Office 2007;2007;{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;Uses OmniPage{{citation needed|date=March 2011}};
OCR.net;2016;{{dunno}};2016;{{proprietary}};{{Yes}};{{No}};{{No}};{{No}};{{No}};Java, C++, PHP, Objective-c;{{No}};100+;{{dunno}};TXT, Searchable PDF;Online service powered by PDF OCR X for conversions.;
PDF OCR X;2008;3.0.11;2018;{{proprietary}};{{no}};{{yes}};{{yes}};{{no}};{{no}};Java, C++, Objective-C;{{no}};100+;{{dunno}};TXT, Searchable PDf;Drag and drop UI.;
Puma.NET;{{dunno}};{{dunno}};2009-10-29;{{free|BSD}};{{no}};{{yes}};{{no}};{{no}};{{no}};C#;{{yes}};28;Any printed font;;.NET OCR SDK based on Cognitive Technologies' CuneiForm recognition engine. Wraps Puma COM server and provides simplified API for .NET applications;
ReadSoft;{{dunno}};{{dunno}};14{{dunno}};{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;Scan, capture and classify business documents such as invoices, forms and purchase orders integrated with business processes.;
Scantron;{{dunno}};{{dunno}};{{dunno}};{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;For working with localized interfaces, corresponding language support is required.;
OCRFeeder;2009-03;0.8.1;2014-12-22;{{free|GPL}};{{no}};{{no}};{{no}};{{yes}};{{no}};Python;{{dunno}};{{dunno}};{{dunno}};;Features a full user interface and has a command-line tool for automatic operations. Has its own segmentation algorithm but uses system-wide OCR engines like Tesseract or Ocrad;
OCRopus;2007;1.3.3;2017-12-16;{{free|Apache}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};Python;{{dunno}};All languages using Latin script (other languages can be trained);Normal Latin script and Fraktur (other scripts can be trained);TXT, hOCR[33], PDF[34];Pluggable framework under active development, used for Google Books;
MathOCR;2014;0.0.3;2015;{{free|GPL}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};Java;{{dunno}};{{dunno}};{{dunno}};HTML, LaTeX;Features mathematical formula recognition and logical layout analysis, can use OCR engines like Tesseract or Ocrad as back-end.;
MeOCR;2012;1.0.0;2012;{{proprietary|Freeware}};{{no}};{{yes}};{{no}};{{no}};{{no}};C/C++/C#;{{yes}};28;Any printed font;HTML, hOCR, native, RTF, TeX, TXT;Windows application. Converts scanned documents to editable text documents using OCR and exports them to Microsoft Word with one click. Features a full user interface and also has a .NET Interface library[35] for developers.;
Yunmai OCR SDK;2002;1.0;2013;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Java, C++, C, object pascal, objective-C;{{yes}};14;Any printed font;TXT, PDF;Has the advantage of Chinese characters recognition.[36];
Anyline SDK;2013[37];3.5.1[38];2016[38];{{proprietary|Free non-commercial use[39]}};{{no}};{{no|No*}};{{no|No*}};{{no|No*}};{{no|No*}};Java (Android), Objective-C & Swift (iOS), C# (Windows Phone, Xamarin), JavaScript (Cordova)[40];{{yes|Yes[39]}};2 (German, English);Any printed trainable font[41];Plain text, verification image;Customizable mobile OCR SDK for Android, iOS, Windows Phone, Smart glasses (Google Glass, Epson Moverio,...);
Name;Founded year;Latest stable version;Release year;License;Online;Windows;Mac OS X;Linux;BSD;Programming language;SDK?;Languages;Fonts;Output Formats;Notes;
